Según hayan o no trabajado antes;Tiempo de búsqueda de empleo;Sexo;Periodo;Total
total;2 o más;mujeres;1995TIV;806,8
total;2 o más;mujeres;1995TIII;814,1
total;2 o más;mujeres;1995TII;823,7
total;2 o más;mujeres;1995TI;848,5
total;2 o más;mujeres;1994TIV;819,6
total;2 o más;mujeres;1994TIII;797,5
total;2 o más;mujeres;1994TII;758,5
total;2 o más;mujeres;1994TI;731,3
total;2 o más;mujeres;1993TIV;689,2
total;2 o más;mujeres;1993TIII;646,5
total;2 o más;mujeres;1993TII;614,9
total;2 o más;mujeres;1993TI;582,9
total;2 o más;mujeres;1992TIV;550,7
total;2 o más;mujeres;1992TIII;511,4
total;2 o más;mujeres;1992TII;526,3
total;2 o más;mujeres;1992TI;530,9
total;2 o más;mujeres;1991TIV;520,9
total;2 o más;mujeres;1991TIII;505,3
total;2 o más;mujeres;1991TII;498,3
total;2 o más;mujeres;1991TI;503,1
total;2 o más;mujeres;1990TIV;522,6
total;2 o más;mujeres;1990TIII;540,1
total;2 o más;mujeres;1990TII;546,8
total;2 o más;mujeres;1990TI;571,5
total;2 o más;mujeres;1989TIV;594,1
total;2 o más;mujeres;1989TIII;610,3
total;2 o más;mujeres;1989TII;643,4
total;2 o más;mujeres;1989TI;656,4
total;2 o más;mujeres;1988TIV;665,6
total;2 o más;mujeres;1988TIII;694,6
total;2 o más;mujeres;1988TII;713,2
total;2 o más;mujeres;1988TI;700,1
total;2 o más;mujeres;1987TIV;683,7
total;2 o más;mujeres;1987TIII;671,6
total;2 o más;mujeres;1987TII;705,2
total;2 o más;mujeres;1987TI;468,1
total;2 o más;mujeres;1986TIV;465,5
total;2 o más;mujeres;1986TIII;439,8
total;2 o más;mujeres;1986TII;452,9
total;2 o más;mujeres;1986TI;432,2
total;2 o más;mujeres;1985TIV;433,1
total;2 o más;mujeres;1985TIII;410,9
total;2 o más;mujeres;1985TII;420,1
total;2 o más;mujeres;1985TI;401,8
total;2 o más;mujeres;1984TIV;372,9
total;2 o más;mujeres;1984TIII;349,3
total;2 o más;mujeres;1984TII;327,1
total;2 o más;mujeres;1984TI;323,4
total;2 o más;mujeres;1983TIV;300,0
total;2 o más;mujeres;1983TIII;284,3
total;2 o más;mujeres;1983TII;266,2
total;2 o más;mujeres;1983TI;253,7
total;2 o más;mujeres;1982TIV;232,3
total;2 o más;mujeres;1982TIII;219,4
total;2 o más;mujeres;1982TII;202,2
total;2 o más;mujeres;1982TI;166,5
total;2 o más;mujeres;1981TIV;155,8
total;2 o más;mujeres;1981TIII;128,3
total;2 o más;mujeres;1981TII;113,8
total;2 o más;mujeres;1981TI;96,3
total;2 o más;mujeres;1980TIV;83,6
total;2 o más;mujeres;1980TIII;75,7
total;2 o más;mujeres;1980TII;65,2
total;2 o más;mujeres;1980TI;65,2
total;2 o más;mujeres;1979TIV;53,8
total;2 o más;mujeres;1979TIII;45,0
total;2 o más;mujeres;1979TII;40,8
total;2 o más;mujeres;1979TI;42,5
total;2 o más;mujeres;1978TIV;35,7
total;2 o más;mujeres;1978TIII;34,8
total;2 o más;mujeres;1978TII;30,1
total;2 o más;mujeres;1978TI;20,8
total;2 o más;mujeres;1977TIV;16,5
total;2 o más;mujeres;1977TIII;15,8
total;2 o más;mujeres;1977TII;13,4
total;2 o más;mujeres;1977TI;12,3
total;2 o más;mujeres;1976TIV;12,1
total;2 o más;mujeres;1976TIII;11,6
total;ya lo ha encontrado;ambos sexos;1995TIV;21,8
total;ya lo ha encontrado;ambos sexos;1995TIII;34,0
total;ya lo ha encontrado;ambos sexos;1995TII;25,5
total;ya lo ha encontrado;ambos sexos;1995TI;25,1
total;ya lo ha encontrado;ambos sexos;1994TIV;23,7
total;ya lo ha encontrado;ambos sexos;1994TIII;29,9
total;ya lo ha encontrado;ambos sexos;1994TII;29,0
total;ya lo ha encontrado;ambos sexos;1994TI;22,9
total;ya lo ha encontrado;ambos sexos;1993TIV;27,2
total;ya lo ha encontrado;ambos sexos;1993TIII;32,3
total;ya lo ha encontrado;ambos sexos;1993TII;21,7
total;ya lo ha encontrado;ambos sexos;1993TI;24,1
total;ya lo ha encontrado;ambos sexos;1992TIV;31,2
total;ya lo ha encontrado;ambos sexos;1992TIII;35,2
total;ya lo ha encontrado;ambos sexos;1992TII;31,5
total;ya lo ha encontrado;ambos sexos;1992TI;32,8
total;ya lo ha encontrado;ambos sexos;1991TIV;27,0
total;ya lo ha encontrado;ambos sexos;1991TIII;38,6
total;ya lo ha encontrado;ambos sexos;1991TII;27,7
total;ya lo ha encontrado;ambos sexos;1991TI;28,1
total;ya lo ha encontrado;ambos sexos;1990TIV;34,7
total;ya lo ha encontrado;ambos sexos;1990TIII;47,4
total;ya lo ha encontrado;ambos sexos;1990TII;34,2
total;ya lo ha encontrado;ambos sexos;1990TI;36,4
total;ya lo ha encontrado;ambos sexos;1989TIV;34,7
total;ya lo ha encontrado;ambos sexos;1989TIII;40,5
total;ya lo ha encontrado;ambos sexos;1989TII;28,3
total;ya lo ha encontrado;ambos sexos;1989TI;27,5
total;ya lo ha encontrado;ambos sexos;1988TIV;25,7
total;ya lo ha encontrado;ambos sexos;1988TIII;41,8
total;ya lo ha encontrado;ambos sexos;1988TII;31,1
total;ya lo ha encontrado;ambos sexos;1988TI;25,4
total;ya lo ha encontrado;ambos sexos;1987TIV;30,1
total;ya lo ha encontrado;ambos sexos;1987TIII;31,2
total;ya lo ha encontrado;ambos sexos;1987TII;25,3
total;ya lo ha encontrado;ambos sexos;1987TI;13,7
total;ya lo ha encontrado;ambos sexos;1986TIV;19,0
total;ya lo ha encontrado;ambos sexos;1986TIII;20,7
total;ya lo ha encontrado;ambos sexos;1986TII;15,5
total;ya lo ha encontrado;ambos sexos;1986TI;17,8
total;ya lo ha encontrado;ambos sexos;1985TIV;16,4
total;ya lo ha encontrado;ambos sexos;1985TIII;18,2
total;ya lo ha encontrado;ambos sexos;1985TII;15,5
total;ya lo ha encontrado;ambos sexos;1985TI;15,0
total;ya lo ha encontrado;ambos sexos;1984TIV;12,0
total;ya lo ha encontrado;ambos sexos;1984TIII;17,1
total;ya lo ha encontrado;ambos sexos;1984TII;11,8
total;ya lo ha encontrado;ambos sexos;1984TI;9,5
total;ya lo ha encontrado;ambos sexos;1983TIV;9,2
total;ya lo ha encontrado;ambos sexos;1983TIII;16,0
total;ya lo ha encontrado;ambos sexos;1983TII;10,2
total;ya lo ha encontrado;ambos sexos;1983TI;10,9
total;ya lo ha encontrado;ambos sexos;1982TIV;7,2
total;ya lo ha encontrado;ambos sexos;1982TIII;11,4
total;ya lo ha encontrado;ambos sexos;1982TII;10,0
total;ya lo ha encontrado;ambos sexos;1982TI;12,1
total;ya lo ha encontrado;ambos sexos;1981TIV;11,4
total;ya lo ha encontrado;ambos sexos;1981TIII;15,3
total;ya lo ha encontrado;ambos sexos;1981TII;11,6
total;ya lo ha encontrado;ambos sexos;1981TI;10,7
total;ya lo ha encontrado;ambos sexos;1980TIV;9,6
total;ya lo ha encontrado;ambos sexos;1980TIII;11,5
total;ya lo ha encontrado;ambos sexos;1980TII;10,9
total;ya lo ha encontrado;ambos sexos;1980TI;9,7
total;ya lo ha encontrado;ambos sexos;1979TIV;11,1
total;ya lo ha encontrado;ambos sexos;1979TIII;17,4
total;ya lo ha encontrado;ambos sexos;1979TII;10,5
total;ya lo ha encontrado;ambos sexos;1979TI;10,0
total;ya lo ha encontrado;ambos sexos;1978TIV;8,3
total;ya lo ha encontrado;ambos sexos;1978TIII;15,3
total;ya lo ha encontrado;ambos sexos;1978TII;14,0
total;ya lo ha encontrado;ambos sexos;1978TI;12,3
total;ya lo ha encontrado;ambos sexos;1977TIV;11,1
total;ya lo ha encontrado;ambos sexos;1977TIII;13,9
total;ya lo ha encontrado;ambos sexos;1977TII;13,4
total;ya lo ha encontrado;ambos sexos;1977TI;14,2
total;ya lo ha encontrado;ambos sexos;1976TIV;13,5
total;ya lo ha encontrado;ambos sexos;1976TIII;15,7
total;ya lo ha encontrado;varones;1995TIV;13,4
total;ya lo ha encontrado;varones;1995TIII;17,0
total;ya lo ha encontrado;varones;1995TII;14,4
total;ya lo ha encontrado;varones;1995TI;14,4
total;ya lo ha encontrado;varones;1994TIV;14,2
total;ya lo ha encontrado;varones;1994TIII;17,6
total;ya lo ha encontrado;varones;1994TII;20,0
total;ya lo ha encontrado;varones;1994TI;16,7
total;ya lo ha encontrado;varones;1993TIV;14,9
total;ya lo ha encontrado;varones;1993TIII;18,6
total;ya lo ha encontrado;varones;1993TII;14,2
total;ya lo ha encontrado;varones;1993TI;13,9
total;ya lo ha encontrado;varones;1992TIV;16,6
total;ya lo ha encontrado;varones;1992TIII;18,6
total;ya lo ha encontrado;varones;1992TII;19,4
total;ya lo ha encontrado;varones;1992TI;20,4
total;ya lo ha encontrado;varones;1991TIV;15,1
total;ya lo ha encontrado;varones;1991TIII;17,8
total;ya lo ha encontrado;varones;1991TII;16,8
total;ya lo ha encontrado;varones;1991TI;17,2
total;ya lo ha encontrado;varones;1990TIV;20,2
total;ya lo ha encontrado;varones;1990TIII;28,2
total;ya lo ha encontrado;varones;1990TII;22,9
total;ya lo ha encontrado;varones;1990TI;21,4
total;ya lo ha encontrado;varones;1989TIV;19,1
total;ya lo ha encontrado;varones;1989TIII;20,3
total;ya lo ha encontrado;varones;1989TII;15,7
total;ya lo ha encontrado;varones;1989TI;13,9
total;ya lo ha encontrado;varones;1988TIV;16,1
total;ya lo ha encontrado;varones;1988TIII;27,3
total;ya lo ha encontrado;varones;1988TII;19,8
total;ya lo ha encontrado;varones;1988TI;16,8
total;ya lo ha encontrado;varones;1987TIV;20,5
total;ya lo ha encontrado;varones;1987TIII;19,7
total;ya lo ha encontrado;varones;1987TII;18,1
total;ya lo ha encontrado;varones;1987TI;8,2
total;ya lo ha encontrado;varones;1986TIV;13,6
total;ya lo ha encontrado;varones;1986TIII;13,8
total;ya lo ha encontrado;varones;1986TII;10,3
total;ya lo ha encontrado;varones;1986TI;11,5
total;ya lo ha encontrado;varones;1985TIV;10,9
total;ya lo ha encontrado;varones;1985TIII;10,1
total;ya lo ha encontrado;varones;1985TII;9,6
total;ya lo ha encontrado;varones;1985TI;11,4
total;ya lo ha encontrado;varones;1984TIV;8,2
total;ya lo ha encontrado;varones;1984TIII;9,0
total;ya lo ha encontrado;varones;1984TII;8,3
total;ya lo ha encontrado;varones;1984TI;7,1
total;ya lo ha encontrado;varones;1983TIV;6,3
total;ya lo ha encontrado;varones;1983TIII;9,2
total;ya lo ha encontrado;varones;1983TII;5,2
total;ya lo ha encontrado;varones;1983TI;6,4
total;ya lo ha encontrado;varones;1982TIV;4,0
total;ya lo ha encontrado;varones;1982TIII;7,4
total;ya lo ha encontrado;varones;1982TII;7,5
total;ya lo ha encontrado;varones;1982TI;7,8
total;ya lo ha encontrado;varones;1981TIV;7,8
total;ya lo ha encontrado;varones;1981TIII;11,7
total;ya lo ha encontrado;varones;1981TII;8,9
total;ya lo ha encontrado;varones;1981TI;8,6
total;ya lo ha encontrado;varones;1980TIV;5,7
total;ya lo ha encontrado;varones;1980TIII;7,2
total;ya lo ha encontrado;varones;1980TII;7,8
total;ya lo ha encontrado;varones;1980TI;7,8
total;ya lo ha encontrado;varones;1979TIV;7,9
total;ya lo ha encontrado;varones;1979TIII;12,8
total;ya lo ha encontrado;varones;1979TII;8,1
total;ya lo ha encontrado;varones;1979TI;7,4
total;ya lo ha encontrado;varones;1978TIV;5,8
total;ya lo ha encontrado;varones;1978TIII;9,0
total;ya lo ha encontrado;varones;1978TII;10,3
total;ya lo ha encontrado;varones;1978TI;7,7
total;ya lo ha encontrado;varones;1977TIV;8,8
total;ya lo ha encontrado;varones;1977TIII;8,8
total;ya lo ha encontrado;varones;1977TII;11,0
total;ya lo ha encontrado;varones;1977TI;10,1
total;ya lo ha encontrado;varones;1976TIV;9,7
total;ya lo ha encontrado;varones;1976TIII;10,9
total;ya lo ha encontrado;mujeres;1995TIV;8,4
total;ya lo ha encontrado;mujeres;1995TIII;17,0
total;ya lo ha encontrado;mujeres;1995TII;11,1
total;ya lo ha encontrado;mujeres;1995TI;10,7
total;ya lo ha encontrado;mujeres;1994TIV;9,6
total;ya lo ha encontrado;mujeres;1994TIII;12,3
total;ya lo ha encontrado;mujeres;1994TII;9,0
total;ya lo ha encontrado;mujeres;1994TI;6,3
total;ya lo ha encontrado;mujeres;1993TIV;12,4
total;ya lo ha encontrado;mujeres;1993TIII;13,7
total;ya lo ha encontrado;mujeres;1993TII;7,6
total;ya lo ha encontrado;mujeres;1993TI;10,1
total;ya lo ha encontrado;mujeres;1992TIV;14,6
total;ya lo ha encontrado;mujeres;1992TIII;16,6
total;ya lo ha encontrado;mujeres;1992TII;12,1
total;ya lo ha encontrado;mujeres;1992TI;12,5
total;ya lo ha encontrado;mujeres;1991TIV;11,9
total;ya lo ha encontrado;mujeres;1991TIII;20,8
total;ya lo ha encontrado;mujeres;1991TII;10,9
total;ya lo ha encontrado;mujeres;1991TI;10,9
total;ya lo ha encontrado;mujeres;1990TIV;14,5
total;ya lo ha encontrado;mujeres;1990TIII;19,2
total;ya lo ha encontrado;mujeres;1990TII;11,3
total;ya lo ha encontrado;mujeres;1990TI;14,9
total;ya lo ha encontrado;mujeres;1989TIV;15,6
total;ya lo ha encontrado;mujeres;1989TIII;20,3
total;ya lo ha encontrado;mujeres;1989TII;12,6
total;ya lo ha encontrado;mujeres;1989TI;13,6
total;ya lo ha encontrado;mujeres;1988TIV;9,6
total;ya lo ha encontrado;mujeres;1988TIII;14,4
total;ya lo ha encontrado;mujeres;1988TII;11,3
total;ya lo ha encontrado;mujeres;1988TI;8,7
total;ya lo ha encontrado;mujeres;1987TIV;9,6
total;ya lo ha encontrado;mujeres;1987TIII;11,5
total;ya lo ha encontrado;mujeres;1987TII;7,2
total;ya lo ha encontrado;mujeres;1987TI;5,4
total;ya lo ha encontrado;mujeres;1986TIV;5,4
total;ya lo ha encontrado;mujeres;1986TIII;6,9
total;ya lo ha encontrado;mujeres;1986TII;5,2
total;ya lo ha encontrado;mujeres;1986TI;6,3
total;ya lo ha encontrado;mujeres;1985TIV;5,5
total;ya lo ha encontrado;mujeres;1985TIII;8,1
total;ya lo ha encontrado;mujeres;1985TII;6,0
total;ya lo ha encontrado;mujeres;1985TI;3,6
total;ya lo ha encontrado;mujeres;1984TIV;3,8
total;ya lo ha encontrado;mujeres;1984TIII;8,1
total;ya lo ha encontrado;mujeres;1984TII;3,5
total;ya lo ha encontrado;mujeres;1984TI;2,4
total;ya lo ha encontrado;mujeres;1983TIV;2,8
total;ya lo ha encontrado;mujeres;1983TIII;6,8
total;ya lo ha encontrado;mujeres;1983TII;5,0
total;ya lo ha encontrado;mujeres;1983TI;4,5
total;ya lo ha encontrado;mujeres;1982TIV;3,2
total;ya lo ha encontrado;mujeres;1982TIII;4,0
total;ya lo ha encontrado;mujeres;1982TII;2,5
total;ya lo ha encontrado;mujeres;1982TI;4,4
total;ya lo ha encontrado;mujeres;1981TIV;3,6
total;ya lo ha encontrado;mujeres;1981TIII;3,6
total;ya lo ha encontrado;mujeres;1981TII;2,7
total;ya lo ha encontrado;mujeres;1981TI;2,2
total;ya lo ha encontrado;mujeres;1980TIV;3,9
total;ya lo ha encontrado;mujeres;1980TIII;4,3
total;ya lo ha encontrado;mujeres;1980TII;3,1
total;ya lo ha encontrado;mujeres;1980TI;1,9
total;ya lo ha encontrado;mujeres;1979TIV;3,2
total;ya lo ha encontrado;mujeres;1979TIII;4,6
total;ya lo ha encontrado;mujeres;1979TII;2,4
total;ya lo ha encontrado;mujeres;1979TI;2,6
total;ya lo ha encontrado;mujeres;1978TIV;2,6
total;ya lo ha encontrado;mujeres;1978TIII;6,3
total;ya lo ha encontrado;mujeres;1978TII;3,7
total;ya lo ha encontrado;mujeres;1978TI;4,6
total;ya lo ha encontrado;mujeres;1977TIV;2,2
total;ya lo ha encontrado;mujeres;1977TIII;5,1
total;ya lo ha encontrado;mujeres;1977TII;2,4
total;ya lo ha encontrado;mujeres;1977TI;4,1
total;ya lo ha encontrado;mujeres;1976TIV;3,8
total;ya lo ha encontrado;mujeres;1976TIII;4,7
buscan primer empleo;total;ambos sexos;1995TIV;812,2
buscan primer empleo;total;ambos sexos;1995TIII;845,7
buscan primer empleo;total;ambos sexos;1995TII;809,9
buscan primer empleo;total;ambos sexos;1995TI;834,6
buscan primer empleo;total;ambos sexos;1994TIV;849,5
buscan primer empleo;total;ambos sexos;1994TIII;841,5
buscan primer empleo;total;ambos sexos;1994TII;786,8
buscan primer empleo;total;ambos sexos;1994TI;775,2
buscan primer empleo;total;ambos sexos;1993TIV;759,4
buscan primer empleo;total;ambos sexos;1993TIII;737,5
buscan primer empleo;total;ambos sexos;1993TII;669,9
buscan primer empleo;total;ambos sexos;1993TI;650,6
buscan primer empleo;total;ambos sexos;1992TIV;660,5
buscan primer empleo;total;ambos sexos;1992TIII;622,4
buscan primer empleo;total;ambos sexos;1992TII;602,9
buscan primer empleo;total;ambos sexos;1992TI;638,3
buscan primer empleo;total;ambos sexos;1991TIV;637,7
buscan primer empleo;total;ambos sexos;1991TIII;644,1
buscan primer empleo;total;ambos sexos;1991TII;615,7
buscan primer empleo;total;ambos sexos;1991TI;625,2
buscan primer empleo;total;ambos sexos;1990TIV;664,9
buscan primer empleo;total;ambos sexos;1990TIII;718,0
buscan primer empleo;total;ambos sexos;1990TII;701,5
buscan primer empleo;total;ambos sexos;1990TI;757,5
buscan primer empleo;total;ambos sexos;1989TIV;769,4
buscan primer empleo;total;ambos sexos;1989TIII;810,9
buscan primer empleo;total;ambos sexos;1989TII;830,4
buscan primer empleo;total;ambos sexos;1989TI;878,7
buscan primer empleo;total;ambos sexos;1988TIV;928,4
buscan primer empleo;total;ambos sexos;1988TIII;1.012,7
buscan primer empleo;total;ambos sexos;1988TII;1.019,3
buscan primer empleo;total;ambos sexos;1988TI;1.018,6
buscan primer empleo;total;ambos sexos;1987TIV;1.037,8
buscan primer empleo;total;ambos sexos;1987TIII;1.051,3
buscan primer empleo;total;ambos sexos;1987TII;1.073,3
buscan primer empleo;total;ambos sexos;1987TI;1.207,9
buscan primer empleo;total;ambos sexos;1986TIV;1.199,3
buscan primer empleo;total;ambos sexos;1986TIII;1.185,1
buscan primer empleo;total;ambos sexos;1986TII;1.174,5
buscan primer empleo;total;ambos sexos;1986TI;1.194,3
buscan primer empleo;total;ambos sexos;1985TIV;1.204,0
buscan primer empleo;total;ambos sexos;1985TIII;1.212,5
buscan primer empleo;total;ambos sexos;1985TII;1.141,2
buscan primer empleo;total;ambos sexos;1985TI;1.142,7
buscan primer empleo;total;ambos sexos;1984TIV;1.161,3
buscan primer empleo;total;ambos sexos;1984TIII;1.090,5
buscan primer empleo;total;ambos sexos;1984TII;1.029,3
buscan primer empleo;total;ambos sexos;1984TI;1.046,0
buscan primer empleo;total;ambos sexos;1983TIV;1.007,4
buscan primer empleo;total;ambos sexos;1983TIII;991,8
buscan primer empleo;total;ambos sexos;1983TII;922,5
buscan primer empleo;total;ambos sexos;1983TI;946,8
buscan primer empleo;total;ambos sexos;1982TIV;921,1
buscan primer empleo;total;ambos sexos;1982TIII;863,7
buscan primer empleo;total;ambos sexos;1982TII;795,5
buscan primer empleo;total;ambos sexos;1982TI;769,2
buscan primer empleo;total;ambos sexos;1981TIV;784,8
buscan primer empleo;total;ambos sexos;1981TIII;728,6
buscan primer empleo;total;ambos sexos;1981TII;656,3
buscan primer empleo;total;ambos sexos;1981TI;627,9
buscan primer empleo;total;ambos sexos;1980TIV;614,9
buscan primer empleo;total;ambos sexos;1980TIII;578,9
buscan primer empleo;total;ambos sexos;1980TII;523,6
buscan primer empleo;total;ambos sexos;1980TI;482,7
buscan primer empleo;total;ambos sexos;1979TIV;476,1
buscan primer empleo;total;ambos sexos;1979TIII;437,2
buscan primer empleo;total;ambos sexos;1979TII;388,3
buscan primer empleo;total;ambos sexos;1979TI;369,3
buscan primer empleo;total;ambos sexos;1978TIV;365,4
buscan primer empleo;total;ambos sexos;1978TIII;358,8
buscan primer empleo;total;ambos sexos;1978TII;296,1
buscan primer empleo;total;ambos sexos;1978TI;274,1
buscan primer empleo;total;ambos sexos;1977TIV;259,6
buscan primer empleo;total;ambos sexos;1977TIII;252,5
buscan primer empleo;total;ambos sexos;1977TII;200,8
buscan primer empleo;total;ambos sexos;1977TI;199,4
buscan primer empleo;total;ambos sexos;1976TIV;204,6
buscan primer empleo;total;ambos sexos;1976TIII;190,3
buscan primer empleo;total;varones;1995TIV;295,6
buscan primer empleo;total;varones;1995TIII;311,3
buscan primer empleo;total;varones;1995TII;298,0
buscan primer empleo;total;varones;1995TI;301,5
buscan primer empleo;total;varones;1994TIV;308,9
buscan primer empleo;total;varones;1994TIII;312,4
buscan primer empleo;total;varones;1994TII;293,2
buscan primer empleo;total;varones;1994TI;295,2
buscan primer empleo;total;varones;1993TIV;283,2
buscan primer empleo;total;varones;1993TIII;263,6
buscan primer empleo;total;varones;1993TII;238,8
buscan primer empleo;total;varones;1993TI;227,3
buscan primer empleo;total;varones;1992TIV;218,9
buscan primer empleo;total;varones;1992TIII;211,7
buscan primer empleo;total;varones;1992TII;199,0
buscan primer empleo;total;varones;1992TI;206,4
buscan primer empleo;total;varones;1991TIV;209,6
buscan primer empleo;total;varones;1991TIII;212,8
buscan primer empleo;total;varones;1991TII;209,1
buscan primer empleo;total;varones;1991TI;209,8
buscan primer empleo;total;varones;1990TIV;229,2
buscan primer empleo;total;varones;1990TIII;244,1
buscan primer empleo;total;varones;1990TII;232,6
buscan primer empleo;total;varones;1990TI;263,1
buscan primer empleo;total;varones;1989TIV;266,3
buscan primer empleo;total;varones;1989TIII;281,1
buscan primer empleo;total;varones;1989TII;290,6
buscan primer empleo;total;varones;1989TI;307,8
buscan primer empleo;total;varones;1988TIV;336,9
buscan primer empleo;total;varones;1988TIII;385,1
buscan primer empleo;total;varones;1988TII;388,9
buscan primer empleo;total;varones;1988TI;387,9
buscan primer empleo;total;varones;1987TIV;402,8
buscan primer empleo;total;varones;1987TIII;427,6
buscan primer empleo;total;varones;1987TII;439,6
buscan primer empleo;total;varones;1987TI;566,9
buscan primer empleo;total;varones;1986TIV;565,3
buscan primer empleo;total;varones;1986TIII;569,5
buscan primer empleo;total;varones;1986TII;569,9
buscan primer empleo;total;varones;1986TI;578,7
buscan primer empleo;total;varones;1985TIV;574,3
buscan primer empleo;total;varones;1985TIII;594,1
buscan primer empleo;total;varones;1985TII;554,1
buscan primer empleo;total;varones;1985TI;574,7
buscan primer empleo;total;varones;1984TIV;577,3
buscan primer empleo;total;varones;1984TIII;539,3
buscan primer empleo;total;varones;1984TII;517,3
buscan primer empleo;total;varones;1984TI;530,3
buscan primer empleo;total;varones;1983TIV;510,6
buscan primer empleo;total;varones;1983TIII;498,8
buscan primer empleo;total;varones;1983TII;462,5
buscan primer empleo;total;varones;1983TI;473,8
buscan primer empleo;total;varones;1982TIV;457,2
buscan primer empleo;total;varones;1982TIII;434,8
buscan primer empleo;total;varones;1982TII;410,7
buscan primer empleo;total;varones;1982TI;399,6
buscan primer empleo;total;varones;1981TIV;393,3
buscan primer empleo;total;varones;1981TIII;373,4
buscan primer empleo;total;varones;1981TII;327,2
buscan primer empleo;total;varones;1981TI;310,5
buscan primer empleo;total;varones;1980TIV;297,9
buscan primer empleo;total;varones;1980TIII;278,3
buscan primer empleo;total;varones;1980TII;259,5
buscan primer empleo;total;varones;1980TI;228,7
buscan primer empleo;total;varones;1979TIV;232,1
buscan primer empleo;total;varones;1979TIII;216,3
buscan primer empleo;total;varones;1979TII;200,4
buscan primer empleo;total;varones;1979TI;185,0
buscan primer empleo;total;varones;1978TIV;176,0
buscan primer empleo;total;varones;1978TIII;174,8
buscan primer empleo;total;varones;1978TII;140,0
buscan primer empleo;total;varones;1978TI;125,1
buscan primer empleo;total;varones;1977TIV;124,5
buscan primer empleo;total;varones;1977TIII;118,3
buscan primer empleo;total;varones;1977TII;97,3
buscan primer empleo;total;varones;1977TI;95,9
buscan primer empleo;total;varones;1976TIV;92,7
buscan primer empleo;total;varones;1976TIII;84,2
buscan primer empleo;total;mujeres;1995TIV;516,6
buscan primer empleo;total;mujeres;1995TIII;534,4
buscan primer empleo;total;mujeres;1995TII;511,9
buscan primer empleo;total;mujeres;1995TI;533,1
buscan primer empleo;total;mujeres;1994TIV;540,5
buscan primer empleo;total;mujeres;1994TIII;529,2
buscan primer empleo;total;mujeres;1994TII;493,6
buscan primer empleo;total;mujeres;1994TI;480,0
buscan primer empleo;total;mujeres;1993TIV;476,3
buscan primer empleo;total;mujeres;1993TIII;473,8
buscan primer empleo;total;mujeres;1993TII;431,0
buscan primer empleo;total;mujeres;1993TI;423,4
buscan primer empleo;total;mujeres;1992TIV;441,6
buscan primer empleo;total;mujeres;1992TIII;410,7
buscan primer empleo;total;mujeres;1992TII;403,9
buscan primer empleo;total;mujeres;1992TI;431,9
buscan primer empleo;total;mujeres;1991TIV;428,2
buscan primer empleo;total;mujeres;1991TIII;431,3
buscan primer empleo;total;mujeres;1991TII;406,5
buscan primer empleo;total;mujeres;1991TI;415,4
buscan primer empleo;total;mujeres;1990TIV;435,7
buscan primer empleo;total;mujeres;1990TIII;474,0
buscan primer empleo;total;mujeres;1990TII;468,9
buscan primer empleo;total;mujeres;1990TI;494,5
buscan primer empleo;total;mujeres;1989TIV;503,1
buscan primer empleo;total;mujeres;1989TIII;529,8
buscan primer empleo;total;mujeres;1989TII;539,8
buscan primer empleo;total;mujeres;1989TI;570,9
buscan primer empleo;total;mujeres;1988TIV;591,5
buscan primer empleo;total;mujeres;1988TIII;627,6
buscan primer empleo;total;mujeres;1988TII;630,4
buscan primer empleo;total;mujeres;1988TI;630,6
buscan primer empleo;total;mujeres;1987TIV;635,0
buscan primer empleo;total;mujeres;1987TIII;623,7
buscan primer empleo;total;mujeres;1987TII;633,6
buscan primer empleo;total;mujeres;1987TI;641,0
buscan primer empleo;total;mujeres;1986TIV;633,9
buscan primer empleo;total;mujeres;1986TIII;615,7
buscan primer empleo;total;mujeres;1986TII;604,6
buscan primer empleo;total;mujeres;1986TI;615,5
buscan primer empleo;total;mujeres;1985TIV;629,8
buscan primer empleo;total;mujeres;1985TIII;618,4
buscan primer empleo;total;mujeres;1985TII;587,1
buscan primer empleo;total;mujeres;1985TI;568,0
buscan primer empleo;total;mujeres;1984TIV;584,0
buscan primer empleo;total;mujeres;1984TIII;551,2
buscan primer empleo;total;mujeres;1984TII;512,0
buscan primer empleo;total;mujeres;1984TI;515,7
buscan primer empleo;total;mujeres;1983TIV;496,8
buscan primer empleo;total;mujeres;1983TIII;493,0
buscan primer empleo;total;mujeres;1983TII;460,1
buscan primer empleo;total;mujeres;1983TI;473,0
buscan primer empleo;total;mujeres;1982TIV;463,9
buscan primer empleo;total;mujeres;1982TIII;428,9
buscan primer empleo;total;mujeres;1982TII;384,8
buscan primer empleo;total;mujeres;1982TI;369,6
buscan primer empleo;total;mujeres;1981TIV;391,6
buscan primer empleo;total;mujeres;1981TIII;355,3
buscan primer empleo;total;mujeres;1981TII;329,0
buscan primer empleo;total;mujeres;1981TI;317,4
buscan primer empleo;total;mujeres;1980TIV;317,0
buscan primer empleo;total;mujeres;1980TIII;300,6
buscan primer empleo;total;mujeres;1980TII;264,1
buscan primer empleo;total;mujeres;1980TI;254,0
buscan primer empleo;total;mujeres;1979TIV;244,0
buscan primer empleo;total;mujeres;1979TIII;220,9
buscan primer empleo;total;mujeres;1979TII;187,9
buscan primer empleo;total;mujeres;1979TI;184,2
buscan primer empleo;total;mujeres;1978TIV;189,5
buscan primer empleo;total;mujeres;1978TIII;184,0
buscan primer empleo;total;mujeres;1978TII;156,0
