Sexo;Grupo de edad (4);Sector económico ( 5);Periodo;Total
ambos sexos;de 16 a 19;servicios;1987TII;9,06
ambos sexos;de 16 a 19;servicios;1987TI;6,17
ambos sexos;de 16 a 19;servicios;1986TIV;7,52
ambos sexos;de 16 a 19;servicios;1986TIII;7,07
ambos sexos;de 16 a 19;servicios;1986TII;7,01
ambos sexos;de 16 a 19;servicios;1986TI;7,22
ambos sexos;de 16 a 19;servicios;1985TIV;7,36
ambos sexos;de 16 a 19;servicios;1985TIII;7,75
ambos sexos;de 16 a 19;servicios;1985TII;8,73
ambos sexos;de 16 a 19;servicios;1985TI;8,78
ambos sexos;de 16 a 19;servicios;1984TIV;8,92
ambos sexos;de 16 a 19;servicios;1984TIII;8,85
ambos sexos;de 16 a 19;servicios;1984TII;9,43
ambos sexos;de 16 a 19;servicios;1984TI;9,50
ambos sexos;de 16 a 19;servicios;1983TIV;9,61
ambos sexos;de 16 a 19;servicios;1983TIII;10,44
ambos sexos;de 16 a 19;servicios;1983TII;10,96
ambos sexos;de 16 a 19;servicios;1983TI;11,10
ambos sexos;de 16 a 19;servicios;1982TIV;11,50
ambos sexos;de 16 a 19;servicios;1982TIII;12,87
ambos sexos;de 16 a 19;servicios;1982TII;13,09
ambos sexos;de 16 a 19;servicios;1982TI;13,25
ambos sexos;de 16 a 19;servicios;1981TIV;14,64
ambos sexos;de 16 a 19;servicios;1981TIII;15,22
ambos sexos;de 16 a 19;servicios;1981TII;15,77
ambos sexos;de 16 a 19;servicios;1981TI;17,85
ambos sexos;de 16 a 19;servicios;1980TIV;18,41
ambos sexos;de 16 a 19;servicios;1980TIII;18,16
ambos sexos;de 16 a 19;servicios;1980TII;18,96
ambos sexos;de 16 a 19;servicios;1980TI;19,06
ambos sexos;de 16 a 19;servicios;1979TIV;18,06
ambos sexos;de 16 a 19;servicios;1979TIII;21,83
ambos sexos;de 16 a 19;servicios;1979TII;21,16
ambos sexos;de 16 a 19;servicios;1979TI;21,31
ambos sexos;de 16 a 19;servicios;1978TIV;22,44
ambos sexos;de 16 a 19;servicios;1978TIII;24,95
ambos sexos;de 16 a 19;servicios;1978TII;26,84
ambos sexos;de 16 a 19;servicios;1978TI;26,79
ambos sexos;de 16 a 19;servicios;1977TIV;27,26
ambos sexos;de 16 a 19;servicios;1977TIII;27,69
ambos sexos;de 16 a 19;servicios;1977TII;26,67
ambos sexos;de 16 a 19;servicios;1977TI;24,64
ambos sexos;de 16 a 19;servicios;1976TIV;24,16
ambos sexos;de 16 a 19;servicios;1976TIII;22,68
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1995TIV;12,66
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1995TIII;13,75
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1995TII;13,33
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1995TI;14,02
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1994TIV;14,83
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1994TIII;16,17
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1994TII;15,58
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1994TI;15,86
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1993TIV;16,26
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1993TIII;16,87
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1993TII;16,37
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1993TI;15,72
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1992TIV;16,23
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1992TIII;18,03
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1992TII;15,57
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1992TI;15,88
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1991TIV;15,37
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1991TIII;16,27
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1991TII;15,09
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1991TI;15,17
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1990TIV;16,56
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1990TIII;17,92
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1990TII;17,12
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1990TI;16,92
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1989TIV;17,24
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1989TIII;18,57
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1989TII;17,47
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1989TI;18,37
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1988TIV;19,51
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1988TIII;20,84
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1988TII;20,81
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1988TI;22,05
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1987TIV;23,47
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1987TIII;22,95
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1987TII;24,25
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1987TI;31,34
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1986TIV;31,92
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1986TIII;31,63
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1986TII;32,11
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1986TI;34,06
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1985TIV;35,09
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1985TIII;34,98
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1985TII;36,58
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1985TI;40,19
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1984TIV;40,88
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1984TIII;42,14
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1984TII;42,86
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1984TI;42,47
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1983TIV;43,50
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1983TIII;43,30
ambos sexos;de 16 a 19;parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1983TII;43,28
