Sexo;Edad;Tiempo de búsqueda de empleo;Periodo;Total
Ambos sexos;Total;Menos de 1 mes;2009T2;253,1
Ambos sexos;Total;Menos de 1 mes;2009T1;310,1
Ambos sexos;Total;Menos de 1 mes;2008T4;329
Ambos sexos;Total;Menos de 1 mes;2008T3;302,7
Ambos sexos;Total;Menos de 1 mes;2008T2;260,6
Ambos sexos;Total;Menos de 1 mes;2008T1;246
Ambos sexos;Total;Menos de 1 mes;2007T4;230,4
Ambos sexos;Total;Menos de 1 mes;2007T3;236,1
Ambos sexos;Total;Menos de 1 mes;2007T2;222,7
Ambos sexos;Total;Menos de 1 mes;2007T1;219,9
Ambos sexos;Total;Menos de 1 mes;2006T4;203,4
Ambos sexos;Total;Menos de 1 mes;2006T3;231,5
Ambos sexos;Total;Menos de 1 mes;2006T2;199
Ambos sexos;Total;Menos de 1 mes;2006T1;245,9
Ambos sexos;Total;Menos de 1 mes;2005T4;199,5
Ambos sexos;Total;Menos de 1 mes;2005T3;203,9
Ambos sexos;Total;Menos de 1 mes;2005T2;195,9
Ambos sexos;Total;Menos de 1 mes;2005T1;208,5
Ambos sexos;Total;Menos de 1 mes;2004T4;103,9
Ambos sexos;Total;Menos de 1 mes;2004T3;113,9
Ambos sexos;Total;Menos de 1 mes;2004T2;117,1
Ambos sexos;Total;Menos de 1 mes;2004T1;100,1
Ambos sexos;Total;Menos de 1 mes;2003T4;121,2
Ambos sexos;Total;Menos de 1 mes;2003T3;143,1
Ambos sexos;Total;Menos de 1 mes;2003T2;99,1
Ambos sexos;Total;Menos de 1 mes;2003T1;115,2
Ambos sexos;Total;Menos de 1 mes;2002T4;110,1
Ambos sexos;Total;Menos de 1 mes;2002T3;124
Ambos sexos;Total;Menos de 1 mes;2002T2;100,2
Ambos sexos;Total;Menos de 1 mes;2002T1;116,4
Ambos sexos;Total;De 1 mes a menos de 3 meses;2025T4;508,2
Ambos sexos;Total;De 1 mes a menos de 3 meses;2025T3;489
Ambos sexos;Total;De 1 mes a menos de 3 meses;2025T2;408,4
Ambos sexos;Total;De 1 mes a menos de 3 meses;2025T1;475,3
Ambos sexos;Total;De 1 mes a menos de 3 meses;2024T4;514,4
Ambos sexos;Total;De 1 mes a menos de 3 meses;2024T3;526,6
Ambos sexos;Total;De 1 mes a menos de 3 meses;2024T2;422,3
Ambos sexos;Total;De 1 mes a menos de 3 meses;2024T1;522,2
Ambos sexos;Total;De 1 mes a menos de 3 meses;2023T4;529,6
Ambos sexos;Total;De 1 mes a menos de 3 meses;2023T3;504,8
Ambos sexos;Total;De 1 mes a menos de 3 meses;2023T2;450,9
Ambos sexos;Total;De 1 mes a menos de 3 meses;2023T1;492,1
Ambos sexos;Total;De 1 mes a menos de 3 meses;2022T4;569,6
Ambos sexos;Total;De 1 mes a menos de 3 meses;2022T3;502,7
Ambos sexos;Total;De 1 mes a menos de 3 meses;2022T2;417,1
Ambos sexos;Total;De 1 mes a menos de 3 meses;2022T1;474,5
Ambos sexos;Total;De 1 mes a menos de 3 meses;2021T4;491,2
Ambos sexos;Total;De 1 mes a menos de 3 meses;2021T3;532,7
Ambos sexos;Total;De 1 mes a menos de 3 meses;2021T2;462,9
Ambos sexos;Total;De 1 mes a menos de 3 meses;2021T1;486,6
Ambos sexos;Total;De 1 mes a menos de 3 meses;2020T4;508,4
Ambos sexos;Total;De 1 mes a menos de 3 meses;2020T3;542,8
Ambos sexos;Total;De 1 mes a menos de 3 meses;2020T2;617,1
Ambos sexos;Total;De 1 mes a menos de 3 meses;2020T1;490,8
Ambos sexos;Total;De 1 mes a menos de 3 meses;2019T4;483
Ambos sexos;Total;De 1 mes a menos de 3 meses;2019T3;468
Ambos sexos;Total;De 1 mes a menos de 3 meses;2019T2;435
Ambos sexos;Total;De 1 mes a menos de 3 meses;2019T1;467,4
Ambos sexos;Total;De 1 mes a menos de 3 meses;2018T4;501,5
Ambos sexos;Total;De 1 mes a menos de 3 meses;2018T3;444
Ambos sexos;Total;De 1 mes a menos de 3 meses;2018T2;398
Ambos sexos;Total;De 1 mes a menos de 3 meses;2018T1;501,8
Ambos sexos;Total;De 1 mes a menos de 3 meses;2017T4;553,7
Ambos sexos;Total;De 1 mes a menos de 3 meses;2017T3;493,9
Ambos sexos;Total;De 1 mes a menos de 3 meses;2017T2;429
Ambos sexos;Total;De 1 mes a menos de 3 meses;2017T1;498,8
Ambos sexos;Total;De 1 mes a menos de 3 meses;2016T4;522,2
Ambos sexos;Total;De 1 mes a menos de 3 meses;2016T3;465,2
Ambos sexos;Total;De 1 mes a menos de 3 meses;2016T2;433
Ambos sexos;Total;De 1 mes a menos de 3 meses;2016T1;509,1
Ambos sexos;Total;De 1 mes a menos de 3 meses;2015T4;534,3
Ambos sexos;Total;De 1 mes a menos de 3 meses;2015T3;500,6
Ambos sexos;Total;De 1 mes a menos de 3 meses;2015T2;426,4
Ambos sexos;Total;De 1 mes a menos de 3 meses;2015T1;499,9
Ambos sexos;Total;De 1 mes a menos de 3 meses;2014T4;577,8
Ambos sexos;Total;De 1 mes a menos de 3 meses;2014T3;520
Ambos sexos;Total;De 1 mes a menos de 3 meses;2014T2;445,2
Ambos sexos;Total;De 1 mes a menos de 3 meses;2014T1;521,1
Ambos sexos;Total;De 1 mes a menos de 3 meses;2013T4;594,2
Ambos sexos;Total;De 1 mes a menos de 3 meses;2013T3;588,6
Ambos sexos;Total;De 1 mes a menos de 3 meses;2013T2;493,2
Ambos sexos;Total;De 1 mes a menos de 3 meses;2013T1;601,6
Ambos sexos;Total;De 1 mes a menos de 3 meses;2012T4;670,5
Ambos sexos;Total;De 1 mes a menos de 3 meses;2012T3;674,1
Ambos sexos;Total;De 1 mes a menos de 3 meses;2012T2;573,9
Ambos sexos;Total;De 1 mes a menos de 3 meses;2012T1;702,4
Ambos sexos;Total;De 1 mes a menos de 3 meses;2011T4;700,6
Ambos sexos;Total;De 1 mes a menos de 3 meses;2011T3;632,1
Ambos sexos;Total;De 1 mes a menos de 3 meses;2011T2;539,8
Ambos sexos;Total;De 1 mes a menos de 3 meses;2011T1;632
Ambos sexos;Total;De 1 mes a menos de 3 meses;2010T4;653,3
Ambos sexos;Total;De 1 mes a menos de 3 meses;2010T3;644,8
Ambos sexos;Total;De 1 mes a menos de 3 meses;2010T2;579
Ambos sexos;Total;De 1 mes a menos de 3 meses;2010T1;706
Ambos sexos;Total;De 1 mes a menos de 3 meses;2009T4;702,3
Ambos sexos;Total;De 1 mes a menos de 3 meses;2009T3;698,6
Ambos sexos;Total;De 1 mes a menos de 3 meses;2009T2;704
Ambos sexos;Total;De 1 mes a menos de 3 meses;2009T1;887,8
Ambos sexos;Total;De 1 mes a menos de 3 meses;2008T4;823,8
Ambos sexos;Total;De 1 mes a menos de 3 meses;2008T3;642
Ambos sexos;Total;De 1 mes a menos de 3 meses;2008T2;570,1
Ambos sexos;Total;De 1 mes a menos de 3 meses;2008T1;537,3
Ambos sexos;Total;De 1 mes a menos de 3 meses;2007T4;472,7
Ambos sexos;Total;De 1 mes a menos de 3 meses;2007T3;410,4
Ambos sexos;Total;De 1 mes a menos de 3 meses;2007T2;358,7
Ambos sexos;Total;De 1 mes a menos de 3 meses;2007T1;394,8
Ambos sexos;Total;De 1 mes a menos de 3 meses;2006T4;437,7
Ambos sexos;Total;De 1 mes a menos de 3 meses;2006T3;381,7
Ambos sexos;Total;De 1 mes a menos de 3 meses;2006T2;367,4
Ambos sexos;Total;De 1 mes a menos de 3 meses;2006T1;427,4
