Sexo;Edad;Nacionalidad;Periodo;Total
Ambos sexos;Total;Extranjera: Total;2017T2;4.276
Ambos sexos;Total;Extranjera: Total;2017T1;4.251,7
Ambos sexos;Total;Extranjera: Total;2016T4;4.200,6
Ambos sexos;Total;Extranjera: Total;2016T3;4.240,4
Ambos sexos;Total;Extranjera: Total;2016T2;4.221,6
Ambos sexos;Total;Extranjera: Total;2016T1;4.230,8
Ambos sexos;Total;Extranjera: Total;2015T4;4.231,9
Ambos sexos;Total;Extranjera: Total;2015T3;4.231,3
Ambos sexos;Total;Extranjera: Total;2015T2;4.238,6
Ambos sexos;Total;Extranjera: Total;2015T1;4.271,1
Ambos sexos;Total;Extranjera: Total;2014T4;4.276,3
Ambos sexos;Total;Extranjera: Total;2014T3;4.307,6
Ambos sexos;Total;Extranjera: Total;2014T2;4.351,8
Ambos sexos;Total;Extranjera: Total;2014T1;4.380,7
Ambos sexos;Total;Extranjera: Total;2013T4;4.489,3
Ambos sexos;Total;Extranjera: Total;2013T3;4.591,9
Ambos sexos;Total;Extranjera: Total;2013T2;4.708,7
Ambos sexos;Total;Extranjera: Total;2013T1;4.796,8
Ambos sexos;Total;Extranjera: Total;2012T4;4.856,3
Ambos sexos;Total;Extranjera: Total;2012T3;4.898,7
Ambos sexos;Total;Extranjera: Total;2012T2;4.921,7
Ambos sexos;Total;Extranjera: Total;2012T1;4.964,4
Ambos sexos;Total;Extranjera: Total;2011T4;4.989,8
Ambos sexos;Total;Extranjera: Total;2011T3;5.005,1
Ambos sexos;Total;Extranjera: Total;2011T2;5.010,3
Ambos sexos;Total;Extranjera: Total;2011T1;5.018,9
Ambos sexos;Total;Extranjera: Total;2010T4;5.050,1
Ambos sexos;Total;Extranjera: Total;2010T3;5.077,4
Ambos sexos;Total;Extranjera: Total;2010T2;5.102
Ambos sexos;Total;Extranjera: Total;2010T1;5.114,6
Ambos sexos;Total;Extranjera: Total;2009T4;5.149,2
Ambos sexos;Total;Extranjera: Total;2009T3;5.155,7
Ambos sexos;Total;Extranjera: Total;2009T2;5.162,8
Ambos sexos;Total;Extranjera: Total;2009T1;5.145,6
Ambos sexos;Total;Extranjera: Total;2008T4;5.103,8
Ambos sexos;Total;Extranjera: Total;2008T3;5.047,3
Ambos sexos;Total;Extranjera: Total;2008T2;4.962,3
Ambos sexos;Total;Extranjera: Total;2008T1;4.867,9
Ambos sexos;Total;Extranjera: Total;2007T4;4.765,8
Ambos sexos;Total;Extranjera: Total;2007T3;4.625,6
Ambos sexos;Total;Extranjera: Total;2007T2;4.441,3
Ambos sexos;Total;Extranjera: Total;2007T1;4.297,4
Ambos sexos;Total;Extranjera: Total;2006T4;4.128,6
Ambos sexos;Total;Extranjera: Total;2006T3;3.970,2
Ambos sexos;Total;Extranjera: Total;2006T2;3.843,4
Ambos sexos;Total;Extranjera: Total;2006T1;3.715,2
Ambos sexos;Total;Extranjera: Total;2005T4;3.590,9
Ambos sexos;Total;Extranjera: Total;2005T3;3.515,7
Ambos sexos;Total;Extranjera: Total;2005T2;3.405,4
Ambos sexos;Total;Extranjera: Total;2005T1;3.233,5
Ambos sexos;Total;Extranjera: Total;2004T4;3.064,7
Ambos sexos;Total;Extranjera: Total;2004T3;2.892,6
Ambos sexos;Total;Extranjera: Total;2004T2;2.764,2
Ambos sexos;Total;Extranjera: Total;2004T1;2.681,3
Ambos sexos;Total;Extranjera: Total;2003T4;2.579,1
Ambos sexos;Total;Extranjera: Total;2003T3;2.447,2
Ambos sexos;Total;Extranjera: Total;2003T2;2.311,1
Ambos sexos;Total;Extranjera: Total;2003T1;2.189,9
Ambos sexos;Total;Extranjera: Total;2002T4;2.042,8
Ambos sexos;Total;Extranjera: Total;2002T3;1.899,8
Ambos sexos;Total;Extranjera: Total;2002T2;1.775,5
Ambos sexos;Total;Extranjera: Total;2002T1;1.636,1
Ambos sexos;Total;Extranjera: Unión Europea;2025T4;1.769,2
Ambos sexos;Total;Extranjera: Unión Europea;2025T3;1.690,8
Ambos sexos;Total;Extranjera: Unión Europea;2025T2;1.774,7
Ambos sexos;Total;Extranjera: Unión Europea;2025T1;1.769,4
Ambos sexos;Total;Extranjera: Unión Europea;2024T4;1.752,2
Ambos sexos;Total;Extranjera: Unión Europea;2024T3;1.790,2
Ambos sexos;Total;Extranjera: Unión Europea;2024T2;1.660,3
Ambos sexos;Total;Extranjera: Unión Europea;2024T1;1.672,2
Ambos sexos;Total;Extranjera: Unión Europea;2023T4;1.630,7
Ambos sexos;Total;Extranjera: Unión Europea;2023T3;1.618,5
Ambos sexos;Total;Extranjera: Unión Europea;2023T2;1.574,7
Ambos sexos;Total;Extranjera: Unión Europea;2023T1;1.582,3
Ambos sexos;Total;Extranjera: Unión Europea;2022T4;1.579,3
Ambos sexos;Total;Extranjera: Unión Europea;2022T3;1.588,2
Ambos sexos;Total;Extranjera: Unión Europea;2022T2;1.522,3
Ambos sexos;Total;Extranjera: Unión Europea;2022T1;1.607
Ambos sexos;Total;Extranjera: Unión Europea;2021T4;1.513,6
Ambos sexos;Total;Extranjera: Unión Europea;2021T3;1.460,4
Ambos sexos;Total;Extranjera: Unión Europea;2021T2;1.498,2
Ambos sexos;Total;Extranjera: Unión Europea;2021T1;1.539,2
Ambos sexos;Total;Extranjera: Unión Europea;2020T4;1.551,6
Ambos sexos;Total;Extranjera: Unión Europea;2020T3;1.531,1
Ambos sexos;Total;Extranjera: Unión Europea;2020T2;1.512
Ambos sexos;Total;Extranjera: Unión Europea;2020T1;1.584,7
Ambos sexos;Total;Extranjera: Unión Europea;2019T4;1.805,9
Ambos sexos;Total;Extranjera: Unión Europea;2019T3;1.750,2
Ambos sexos;Total;Extranjera: Unión Europea;2019T2;1.706,2
Ambos sexos;Total;Extranjera: Unión Europea;2019T1;1.731,8
Ambos sexos;Total;Extranjera: Unión Europea;2018T4;1.712
Ambos sexos;Total;Extranjera: Unión Europea;2018T3;1.626,3
Ambos sexos;Total;Extranjera: Unión Europea;2018T2;1.620,2
Ambos sexos;Total;Extranjera: Unión Europea;2018T1;1.626,4
Ambos sexos;Total;Extranjera: Unión Europea;2017T4;1.589,4
Ambos sexos;Total;Extranjera: Unión Europea;2017T3;1.636,4
Ambos sexos;Total;Extranjera: Unión Europea;2017T2;1.616
Ambos sexos;Total;Extranjera: Unión Europea;2017T1;1.569,3
Ambos sexos;Total;Extranjera: Unión Europea;2016T4;1.574,2
Ambos sexos;Total;Extranjera: Unión Europea;2016T3;1.617,6
Ambos sexos;Total;Extranjera: Unión Europea;2016T2;1.585,3
Ambos sexos;Total;Extranjera: Unión Europea;2016T1;1.603,7
Ambos sexos;Total;Extranjera: Unión Europea;2015T4;1.572,5
Ambos sexos;Total;Extranjera: Unión Europea;2015T3;1.521,9
Ambos sexos;Total;Extranjera: Unión Europea;2015T2;1.539,5
Ambos sexos;Total;Extranjera: Unión Europea;2015T1;1.593,2
Ambos sexos;Total;Extranjera: Unión Europea;2014T4;1.619,9
Ambos sexos;Total;Extranjera: Unión Europea;2014T3;1.612
Ambos sexos;Total;Extranjera: Unión Europea;2014T2;1.618,7
Ambos sexos;Total;Extranjera: Unión Europea;2014T1;1.617,9
Ambos sexos;Total;Extranjera: Unión Europea;2013T4;1.587,9
Ambos sexos;Total;Extranjera: Unión Europea;2013T3;1.599,2
Ambos sexos;Total;Extranjera: Unión Europea;2013T2;1.615,7
Ambos sexos;Total;Extranjera: Unión Europea;2013T1;1.621,4
Ambos sexos;Total;Extranjera: Unión Europea;2012T4;1.612,4
Ambos sexos;Total;Extranjera: Unión Europea;2012T3;1.669,2
Ambos sexos;Total;Extranjera: Unión Europea;2012T2;1.658,7
Ambos sexos;Total;Extranjera: Unión Europea;2012T1;1.631,8
Ambos sexos;Total;Extranjera: Unión Europea;2011T4;1.602
Ambos sexos;Total;Extranjera: Unión Europea;2011T3;1.600,5
Ambos sexos;Total;Extranjera: Unión Europea;2011T2;1.603,2
Ambos sexos;Total;Extranjera: Unión Europea;2011T1;1.641,7
Ambos sexos;Total;Extranjera: Unión Europea;2010T4;1.648,2
Ambos sexos;Total;Extranjera: Unión Europea;2010T3;1.621,5
Ambos sexos;Total;Extranjera: Unión Europea;2010T2;1.638,2
Ambos sexos;Total;Extranjera: Unión Europea;2010T1;1.587,3
Ambos sexos;Total;Extranjera: Unión Europea;2009T4;1.572
Ambos sexos;Total;Extranjera: Unión Europea;2009T3;1.552,5
Ambos sexos;Total;Extranjera: Unión Europea;2009T2;1.544,6
Ambos sexos;Total;Extranjera: Unión Europea;2009T1;1.592,3
Ambos sexos;Total;Extranjera: Unión Europea;2008T4;1.596,1
Ambos sexos;Total;Extranjera: Unión Europea;2008T3;1.535,9
Ambos sexos;Total;Extranjera: Unión Europea;2008T2;1.598
Ambos sexos;Total;Extranjera: Unión Europea;2008T1;1.508,9
Ambos sexos;Total;Extranjera: Unión Europea;2007T4;1.488,9
Ambos sexos;Total;Extranjera: Unión Europea;2007T3;1.417,5
Ambos sexos;Total;Extranjera: Unión Europea;2007T2;1.383
Ambos sexos;Total;Extranjera: Unión Europea;2007T1;1.276,9
Ambos sexos;Total;Extranjera: Unión Europea;2006T4;627,2
Ambos sexos;Total;Extranjera: Unión Europea;2006T3;608,8
Ambos sexos;Total;Extranjera: Unión Europea;2006T2;611,5
Ambos sexos;Total;Extranjera: Unión Europea;2006T1;562,5
Ambos sexos;Total;Extranjera: Unión Europea;2005T4;585,7
Ambos sexos;Total;Extranjera: Unión Europea;2005T3;561,4
Ambos sexos;Total;Extranjera: Unión Europea;2005T2;541,1
Ambos sexos;Total;Extranjera: Unión Europea;2005T1;522,1
Ambos sexos;Total;Extranjera: Unión Europea;2004T4;486,7
Ambos sexos;Total;Extranjera: Unión Europea;2004T3;485,9
Ambos sexos;Total;Extranjera: Unión Europea;2004T2;512,2
Ambos sexos;Total;Extranjera: Unión Europea;2004T1;434,8
Ambos sexos;Total;Extranjera: Unión Europea;2003T4;408
Ambos sexos;Total;Extranjera: Unión Europea;2003T3;381,4
Ambos sexos;Total;Extranjera: Unión Europea;2003T2;400,5
Ambos sexos;Total;Extranjera: Unión Europea;2003T1;425,3
Ambos sexos;Total;Extranjera: Unión Europea;2002T4;422,4
Ambos sexos;Total;Extranjera: Unión Europea;2002T3;441,5
