Ocupación CNO-11;Sexo;Unidad;Periodo;Total
1 Directores y gerentes;Ambos sexos;Valor absoluto;2020T1;25,3
1 Directores y gerentes;Ambos sexos;Valor absoluto;2019T4;28,5
1 Directores y gerentes;Ambos sexos;Valor absoluto;2019T3;28,4
1 Directores y gerentes;Ambos sexos;Valor absoluto;2019T2;20,5
1 Directores y gerentes;Ambos sexos;Valor absoluto;2019T1;23,1
1 Directores y gerentes;Ambos sexos;Valor absoluto;2018T4;25,7
1 Directores y gerentes;Ambos sexos;Valor absoluto;2018T3;18,3
1 Directores y gerentes;Ambos sexos;Valor absoluto;2018T2;23,5
1 Directores y gerentes;Ambos sexos;Valor absoluto;2018T1;26,5
1 Directores y gerentes;Ambos sexos;Valor absoluto;2017T4;25,1
1 Directores y gerentes;Ambos sexos;Valor absoluto;2017T3;22,5
1 Directores y gerentes;Ambos sexos;Valor absoluto;2017T2;17,7
1 Directores y gerentes;Ambos sexos;Valor absoluto;2017T1;20,7
1 Directores y gerentes;Ambos sexos;Valor absoluto;2016T4;21,2
1 Directores y gerentes;Ambos sexos;Valor absoluto;2016T3;24,4
1 Directores y gerentes;Ambos sexos;Valor absoluto;2016T2;27,2
1 Directores y gerentes;Ambos sexos;Valor absoluto;2016T1;25,3
1 Directores y gerentes;Ambos sexos;Valor absoluto;2015T4;21,2
1 Directores y gerentes;Ambos sexos;Valor absoluto;2015T3;21,2
1 Directores y gerentes;Ambos sexos;Valor absoluto;2015T2;23,2
1 Directores y gerentes;Ambos sexos;Valor absoluto;2015T1;20,7
1 Directores y gerentes;Ambos sexos;Valor absoluto;2014T4;17,8
1 Directores y gerentes;Ambos sexos;Valor absoluto;2014T3;18,9
1 Directores y gerentes;Ambos sexos;Valor absoluto;2014T2;25,9
1 Directores y gerentes;Ambos sexos;Valor absoluto;2014T1;28,3
1 Directores y gerentes;Ambos sexos;Valor absoluto;2013T4;23,4
1 Directores y gerentes;Ambos sexos;Valor absoluto;2013T3;20,8
1 Directores y gerentes;Ambos sexos;Valor absoluto;2013T2;28
1 Directores y gerentes;Ambos sexos;Valor absoluto;2013T1;29,2
1 Directores y gerentes;Ambos sexos;Valor absoluto;2012T4;19,4
1 Directores y gerentes;Ambos sexos;Valor absoluto;2012T3;21,6
1 Directores y gerentes;Ambos sexos;Valor absoluto;2012T2;26,9
1 Directores y gerentes;Ambos sexos;Valor absoluto;2012T1;29,9
1 Directores y gerentes;Ambos sexos;Valor absoluto;2011T4;27,3
1 Directores y gerentes;Ambos sexos;Valor absoluto;2011T3;27,6
1 Directores y gerentes;Ambos sexos;Valor absoluto;2011T2;26,9
1 Directores y gerentes;Ambos sexos;Valor absoluto;2011T1;32,1
1 Directores y gerentes;Ambos sexos;Porcentaje;2025T4;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2025T3;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2025T2;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2025T1;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2024T4;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2024T3;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2024T2;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2024T1;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2023T4;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2023T3;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2023T2;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2023T1;0,3
1 Directores y gerentes;Ambos sexos;Porcentaje;2022T4;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2022T3;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2022T2;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2022T1;0,3
1 Directores y gerentes;Ambos sexos;Porcentaje;2021T4;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2021T3;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2021T2;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2021T1;0,3
1 Directores y gerentes;Ambos sexos;Porcentaje;2020T4;0,1
1 Directores y gerentes;Ambos sexos;Porcentaje;2020T3;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2020T2;0,3
1 Directores y gerentes;Ambos sexos;Porcentaje;2020T1;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2019T4;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2019T3;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2019T2;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2019T1;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2018T4;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2018T3;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2018T2;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2018T1;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2017T4;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2017T3;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2017T2;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2017T1;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2016T4;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2016T3;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2016T2;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2016T1;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2015T4;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2015T3;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2015T2;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2015T1;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2014T4;0,2
