Según hayan o no trabajado antes;Tiempo de búsqueda de empleo;Sexo;Periodo;Total
total;de 1 año a menos de 2 años;mujeres;1997TIV;321,8
total;de 1 año a menos de 2 años;mujeres;1997TIII;324,1
total;de 1 año a menos de 2 años;mujeres;1997TII;338,5
total;de 1 año a menos de 2 años;mujeres;1997TI;341,7
total;de 1 año a menos de 2 años;mujeres;1996TIV;349,7
total;de 1 año a menos de 2 años;mujeres;1996TIII;348,9
total;de 1 año a menos de 2 años;mujeres;1996TII;358,4
total;de 1 año a menos de 2 años;mujeres;1996TI;344,6
total;2 o más;ambos sexos;2001TIV;450,7
total;2 o más;ambos sexos;2001TIII;446,1
total;2 o más;ambos sexos;2001TII;444,5
total;2 o más;ambos sexos;2001TI;506,6
total;2 o más;ambos sexos;2000TIV;691,8
total;2 o más;ambos sexos;2000TIII;720,3
total;2 o más;ambos sexos;2000TII;744,3
total;2 o más;ambos sexos;2000TI;810,2
total;2 o más;ambos sexos;1999TIV;876,1
total;2 o más;ambos sexos;1999TIII;901,2
total;2 o más;ambos sexos;1999TII;899,0
total;2 o más;ambos sexos;1999TI;989,9
total;2 o más;ambos sexos;1998TIV;1.064,4
total;2 o más;ambos sexos;1998TIII;1.127,8
total;2 o más;ambos sexos;1998TII;1.136,0
total;2 o más;ambos sexos;1998TI;1.188,3
total;2 o más;ambos sexos;1997TIV;1.251,3
total;2 o más;ambos sexos;1997TIII;1.264,3
total;2 o más;ambos sexos;1997TII;1.252,3
total;2 o más;ambos sexos;1997TI;1.303,5
total;2 o más;ambos sexos;1996TIV;1.285,4
total;2 o más;ambos sexos;1996TIII;1.324,0
total;2 o más;ambos sexos;1996TII;1.334,0
total;2 o más;ambos sexos;1996TI;1.403,4
total;2 o más;varones;2001TIV;161,3
total;2 o más;varones;2001TIII;147,5
total;2 o más;varones;2001TII;147,4
total;2 o más;varones;2001TI;173,2
total;2 o más;varones;2000TIV;232,6
total;2 o más;varones;2000TIII;241,8
total;2 o más;varones;2000TII;253,5
total;2 o más;varones;2000TI;285,6
total;2 o más;varones;1999TIV;317,7
total;2 o más;varones;1999TIII;323,1
total;2 o más;varones;1999TII;320,2
total;2 o más;varones;1999TI;366,2
total;2 o más;varones;1998TIV;386,4
total;2 o más;varones;1998TIII;413,3
total;2 o más;varones;1998TII;421,1
total;2 o más;varones;1998TI;452,0
total;2 o más;varones;1997TIV;476,6
total;2 o más;varones;1997TIII;486,7
total;2 o más;varones;1997TII;500,8
total;2 o más;varones;1997TI;534,5
total;2 o más;varones;1996TIV;520,8
total;2 o más;varones;1996TIII;537,0
total;2 o más;varones;1996TII;540,2
total;2 o más;varones;1996TI;577,2
total;2 o más;mujeres;2001TIV;289,3
total;2 o más;mujeres;2001TIII;298,6
total;2 o más;mujeres;2001TII;297,1
total;2 o más;mujeres;2001TI;333,4
total;2 o más;mujeres;2000TIV;459,2
total;2 o más;mujeres;2000TIII;478,4
total;2 o más;mujeres;2000TII;490,8
total;2 o más;mujeres;2000TI;524,6
total;2 o más;mujeres;1999TIV;558,5
total;2 o más;mujeres;1999TIII;578,0
total;2 o más;mujeres;1999TII;578,9
total;2 o más;mujeres;1999TI;623,6
total;2 o más;mujeres;1998TIV;678,0
total;2 o más;mujeres;1998TIII;714,6
total;2 o más;mujeres;1998TII;714,9
total;2 o más;mujeres;1998TI;736,3
total;2 o más;mujeres;1997TIV;774,7
total;2 o más;mujeres;1997TIII;777,6
total;2 o más;mujeres;1997TII;751,6
total;2 o más;mujeres;1997TI;769,0
total;2 o más;mujeres;1996TIV;764,6
total;2 o más;mujeres;1996TIII;787,0
