Sexo;Grupo de edad (5);Periodo;Total
varones;de 55 y más años;1996TII;3.295,6
varones;de 55 y más años;1996TI;3.276,8
mujeres;total;2001TIV;10.377,3
mujeres;total;2001TIII;10.414,8
mujeres;total;2001TII;10.462,4
mujeres;total;2001TI;10.417,3
mujeres;total;2000TIV;10.102,3
mujeres;total;2000TIII;10.109,5
mujeres;total;2000TII;10.129,2
mujeres;total;2000TI;10.136,1
mujeres;total;1999TIV;10.153,3
mujeres;total;1999TIII;10.241,3
mujeres;total;1999TII;10.287,3
mujeres;total;1999TI;10.302,4
mujeres;total;1998TIV;10.262,6
mujeres;total;1998TIII;10.251,8
mujeres;total;1998TII;10.295,3
mujeres;total;1998TI;10.289,9
mujeres;total;1997TIV;10.222,7
mujeres;total;1997TIII;10.224,3
mujeres;total;1997TII;10.262,1
mujeres;total;1997TI;10.270,0
mujeres;total;1996TIV;10.237,0
mujeres;total;1996TIII;10.221,7
mujeres;total;1996TII;10.269,3
mujeres;total;1996TI;10.259,8
mujeres;de 16 a 19 años;2001TIV;786,9
mujeres;de 16 a 19 años;2001TIII;778,5
mujeres;de 16 a 19 años;2001TII;808,9
mujeres;de 16 a 19 años;2001TI;822,0
mujeres;de 16 a 19 años;2000TIV;812,6
mujeres;de 16 a 19 años;2000TIII;799,0
mujeres;de 16 a 19 años;2000TII;812,7
mujeres;de 16 a 19 años;2000TI;830,0
mujeres;de 16 a 19 años;1999TIV;827,2
mujeres;de 16 a 19 años;1999TIII;834,4
mujeres;de 16 a 19 años;1999TII;866,5
mujeres;de 16 a 19 años;1999TI;873,9
mujeres;de 16 a 19 años;1998TIV;889,0
mujeres;de 16 a 19 años;1998TIII;886,6
mujeres;de 16 a 19 años;1998TII;909,0
mujeres;de 16 a 19 años;1998TI;926,0
mujeres;de 16 a 19 años;1997TIV;919,9
mujeres;de 16 a 19 años;1997TIII;910,1
mujeres;de 16 a 19 años;1997TII;935,1
mujeres;de 16 a 19 años;1997TI;944,3
mujeres;de 16 a 19 años;1996TIV;938,5
mujeres;de 16 a 19 años;1996TIII;927,4
mujeres;de 16 a 19 años;1996TII;961,1
mujeres;de 16 a 19 años;1996TI;962,1
mujeres;de 20 a 24 años;2001TIV;694,5
mujeres;de 20 a 24 años;2001TIII;690,2
mujeres;de 20 a 24 años;2001TII;715,7
mujeres;de 20 a 24 años;2001TI;722,7
mujeres;de 20 a 24 años;2000TIV;665,7
mujeres;de 20 a 24 años;2000TIII;659,0
mujeres;de 20 a 24 años;2000TII;686,2
mujeres;de 20 a 24 años;2000TI;679,7
mujeres;de 20 a 24 años;1999TIV;672,6
mujeres;de 20 a 24 años;1999TIII;679,1
mujeres;de 20 a 24 años;1999TII;718,9
mujeres;de 20 a 24 años;1999TI;713,7
mujeres;de 20 a 24 años;1998TIV;696,8
mujeres;de 20 a 24 años;1998TIII;694,1
mujeres;de 20 a 24 años;1998TII;724,8
mujeres;de 20 a 24 años;1998TI;719,8
mujeres;de 20 a 24 años;1997TIV;695,6
mujeres;de 20 a 24 años;1997TIII;695,4
mujeres;de 20 a 24 años;1997TII;729,9
mujeres;de 20 a 24 años;1997TI;713,0
mujeres;de 20 a 24 años;1996TIV;703,6
mujeres;de 20 a 24 años;1996TIII;690,8
mujeres;de 20 a 24 años;1996TII;718,6
mujeres;de 20 a 24 años;1996TI;696,5
mujeres;de 25 a 54 años;2001TIV;3.432,6
mujeres;de 25 a 54 años;2001TIII;3.495,5
mujeres;de 25 a 54 años;2001TII;3.501,2
mujeres;de 25 a 54 años;2001TI;3.462,5
mujeres;de 25 a 54 años;2000TIV;3.237,1
mujeres;de 25 a 54 años;2000TIII;3.276,3
mujeres;de 25 a 54 años;2000TII;3.267,1
mujeres;de 25 a 54 años;2000TI;3.264,0
mujeres;de 25 a 54 años;1999TIV;3.308,7
mujeres;de 25 a 54 años;1999TIII;3.397,2
mujeres;de 25 a 54 años;1999TII;3.396,4
mujeres;de 25 a 54 años;1999TI;3.425,6
mujeres;de 25 a 54 años;1998TIV;3.405,4
mujeres;de 25 a 54 años;1998TIII;3.423,5
mujeres;de 25 a 54 años;1998TII;3.432,8
mujeres;de 25 a 54 años;1998TI;3.419,4
mujeres;de 25 a 54 años;1997TIV;3.402,4
mujeres;de 25 a 54 años;1997TIII;3.427,3
mujeres;de 25 a 54 años;1997TII;3.423,1
mujeres;de 25 a 54 años;1997TI;3.447,7
mujeres;de 25 a 54 años;1996TIV;3.446,7
mujeres;de 25 a 54 años;1996TIII;3.476,6
mujeres;de 25 a 54 años;1996TII;3.483,3
mujeres;de 25 a 54 años;1996TI;3.506,3
mujeres;de 55 y más años;2001TIV;5.463,3
mujeres;de 55 y más años;2001TIII;5.450,6
mujeres;de 55 y más años;2001TII;5.436,7
mujeres;de 55 y más años;2001TI;5.410,1
mujeres;de 55 y más años;2000TIV;5.386,8
mujeres;de 55 y más años;2000TIII;5.375,1
mujeres;de 55 y más años;2000TII;5.363,3
mujeres;de 55 y más años;2000TI;5.362,5
mujeres;de 55 y más años;1999TIV;5.344,9
mujeres;de 55 y más años;1999TIII;5.330,5
mujeres;de 55 y más años;1999TII;5.305,4
mujeres;de 55 y más años;1999TI;5.289,3
mujeres;de 55 y más años;1998TIV;5.271,4
mujeres;de 55 y más años;1998TIII;5.247,5
mujeres;de 55 y más años;1998TII;5.228,7
mujeres;de 55 y más años;1998TI;5.224,6
mujeres;de 55 y más años;1997TIV;5.204,7
mujeres;de 55 y más años;1997TIII;5.191,4
mujeres;de 55 y más años;1997TII;5.174,1
mujeres;de 55 y más años;1997TI;5.164,9
mujeres;de 55 y más años;1996TIV;5.148,2
mujeres;de 55 y más años;1996TIII;5.126,9
mujeres;de 55 y más años;1996TII;5.106,3
mujeres;de 55 y más años;1996TI;5.094,9
