fecha,tasa_paro_total,ratio_asalariados,share_empleo_publico,tasa_autoempleo,share_labores_hogar,share_estudiantes,brecha_genero_empleo,dummy_2020Q2
1988-01-01,18.90106774746992,0.3870702460221338,0.018000940781822905,-0.3357303203474906,-0.8206871316056805,1.5765672508545148,-0.6816037780541535,0
1988-04-01,18.52193275606496,0.07837534239409649,-0.08277677219938795,-0.081654174647106,-0.5239079929417585,0.5252410553425602,-0.6715167424534272,0
1988-07-01,17.92768669964438,0.3172170098673064,0.16323930463037506,-0.31958989056575504,-0.15495774575042986,0.1825640867137306,-0.4939712080096541,0
1988-10-01,17.223199122377135,0.3264805149716494,-0.3079065005687749,-0.30971369689763506,0.13712287740775508,-1.7077101508059283,0.0567897646684159,0
1989-01-01,17.124754243759966,0.495554384207054,0.5661823843268152,-0.5245942363765224,-0.30846565516528557,1.6162101509248483,0.48911462381968107,0
1989-04-01,16.149795645549244,0.5265848812511109,-0.09339852101620139,-0.4920462052921586,-0.49471054674535253,0.41991617104818957,0.4647017764506032,0
1989-07-01,15.460959567413358,-0.034261361615520514,0.0909273529054957,0.04880372171938774,-0.40102751093131417,0.690418126239317,0.08907936218628976,0
1989-10-01,15.739003655367242,0.3682852517168982,0.4396437756163323,-0.4103977190868626,0.18756626710285218,-1.2121635456250033,0.5177978851141702,0
1990-01-01,15.581655660822207,0.3452056143780595,0.17863397777174939,-0.3798262678861697,-0.8365992884070508,1.2479007914247315,-0.5818199234769992,0
1990-04-01,15.076603119762757,0.31398748723785275,0.04677512600380496,-0.26766472413521214,-0.46662927879525995,0.4958264930271241,-0.1837745184566515,0
1990-07-01,14.687220952688474,0.30524498170677816,-0.24018890097530488,-0.33119973985316875,-0.3705907822494723,0.038735928845211376,-0.24335754754108763,0
1990-10-01,14.89662443075278,0.3751235290957027,0.29151949231815877,-0.38350571112891885,0.49348624011035724,-1.680097515318229,-0.5242383814974687,0
1991-01-01,14.893487410109213,0.3596839798461673,-0.0068143020742930105,-0.3756283051647067,-0.925752061081802,1.7035262319695263,-0.41534245087915167,0
1991-04-01,14.653109869415564,0.011826566597136434,-0.08847100472684133,-0.03596218493179393,-0.2492892249419043,0.3964347970778501,-0.8258402846527488,0
1991-07-01,15.059162190126235,0.12089612427381269,0.2080982479597715,-0.13066999767572796,-0.20585362434130872,0.18220027714498244,-0.7582884622918584,0
1991-10-01,15.585073031997291,-0.0528104815253414,0.2723480502986426,0.03343723455992986,0.23340465505782504,-1.5070623842128974,-1.348388213000753,0
