Situación de inactividad;Sexo;Periodo;Total
estudiante;ambos sexos;1987TIII;1.737,0
estudiante;ambos sexos;1987TII;2.048,2
estudiante;ambos sexos;1987TI;2.186,3
estudiante;ambos sexos;1986TIV;2.170,5
estudiante;ambos sexos;1986TIII;2.158,8
estudiante;ambos sexos;1986TII;2.181,3
estudiante;ambos sexos;1986TI;2.142,3
estudiante;ambos sexos;1985TIV;2.108,2
estudiante;ambos sexos;1985TIII;2.067,2
estudiante;ambos sexos;1985TII;2.078,7
estudiante;ambos sexos;1985TI;1.985,3
estudiante;ambos sexos;1984TIV;1.903,8
estudiante;ambos sexos;1984TIII;1.878,5
estudiante;ambos sexos;1984TII;1.907,5
estudiante;ambos sexos;1984TI;1.855,0
estudiante;ambos sexos;1983TIV;1.818,9
estudiante;ambos sexos;1983TIII;1.813,5
estudiante;ambos sexos;1983TII;1.871,3
estudiante;ambos sexos;1983TI;1.808,2
estudiante;ambos sexos;1982TIV;1.737,9
estudiante;ambos sexos;1982TIII;1.736,1
estudiante;ambos sexos;1982TII;1.790,4
estudiante;ambos sexos;1982TI;1.733,6
estudiante;ambos sexos;1981TIV;1.706,9
estudiante;ambos sexos;1981TIII;1.680,6
estudiante;ambos sexos;1981TII;1.728,2
estudiante;ambos sexos;1981TI;1.661,9
estudiante;ambos sexos;1980TIV;1.635,8
estudiante;ambos sexos;1980TIII;1.592,8
estudiante;ambos sexos;1980TII;1.600,7
estudiante;ambos sexos;1980TI;1.523,2
estudiante;ambos sexos;1979TIV;1.474,0
estudiante;ambos sexos;1979TIII;1.452,1
estudiante;ambos sexos;1979TII;1.519,8
estudiante;ambos sexos;1979TI;1.442,4
estudiante;ambos sexos;1978TIV;1.405,7
estudiante;ambos sexos;1978TIII;1.360,7
estudiante;ambos sexos;1978TII;1.397,0
estudiante;ambos sexos;1978TI;1.314,2
estudiante;ambos sexos;1977TIV;1.252,5
estudiante;ambos sexos;1977TIII;1.230,9
estudiante;ambos sexos;1977TII;1.278,7
estudiante;ambos sexos;1977TI;1.227,4
estudiante;ambos sexos;1976TIV;1.194,7
estudiante;ambos sexos;1976TIII;1.173,1
estudiante;varones;1995TIV;1.390,9
estudiante;varones;1995TIII;1.080,6
estudiante;varones;1995TII;1.414,7
estudiante;varones;1995TI;1.389,5
estudiante;varones;1994TIV;1.352,2
estudiante;varones;1994TIII;1.182,7
estudiante;varones;1994TII;1.324,7
estudiante;varones;1994TI;1.296,8
estudiante;varones;1993TIV;1.273,1
estudiante;varones;1993TIII;1.182,4
estudiante;varones;1993TII;1.304,3
estudiante;varones;1993TI;1.283,4
estudiante;varones;1992TIV;1.226,9
estudiante;varones;1992TIII;1.091,2
estudiante;varones;1992TII;1.228,1
estudiante;varones;1992TI;1.180,8
estudiante;varones;1991TIV;1.165,8
estudiante;varones;1991TIII;1.042,7
estudiante;varones;1991TII;1.154,0
estudiante;varones;1991TI;1.126,8
estudiante;varones;1990TIV;1.098,2
estudiante;varones;1990TIII;995,6
estudiante;varones;1990TII;1.127,9
estudiante;varones;1990TI;1.110,0
estudiante;varones;1989TIV;1.080,5
estudiante;varones;1989TIII;1.005,0
estudiante;varones;1989TII;1.102,7
estudiante;varones;1989TI;1.038,5
estudiante;varones;1988TIV;1.005,3
estudiante;varones;1988TIII;880,3
estudiante;varones;1988TII;1.027,7
estudiante;varones;1988TI;1.001,6
estudiante;varones;1987TIV;944,3
estudiante;varones;1987TIII;845,8
estudiante;varones;1987TII;986,4
estudiante;varones;1987TI;1.050,3
estudiante;varones;1986TIV;1.039,9
estudiante;varones;1986TIII;1.041,5
estudiante;varones;1986TII;1.058,3
estudiante;varones;1986TI;1.035,1
estudiante;varones;1985TIV;1.016,9
estudiante;varones;1985TIII;1.000,0
estudiante;varones;1985TII;1.016,8
estudiante;varones;1985TI;959,7
estudiante;varones;1984TIV;925,6
estudiante;varones;1984TIII;909,6
estudiante;varones;1984TII;928,6
estudiante;varones;1984TI;903,5
estudiante;varones;1983TIV;889,1
estudiante;varones;1983TIII;883,9
estudiante;varones;1983TII;915,9
estudiante;varones;1983TI;882,7
estudiante;varones;1982TIV;845,0
estudiante;varones;1982TIII;849,0
estudiante;varones;1982TII;885,6
estudiante;varones;1982TI;855,8
estudiante;varones;1981TIV;843,5
estudiante;varones;1981TIII;833,9
estudiante;varones;1981TII;871,8
estudiante;varones;1981TI;821,8
estudiante;varones;1980TIV;815,8
estudiante;varones;1980TIII;790,1
estudiante;varones;1980TII;803,5
estudiante;varones;1980TI;758,5
estudiante;varones;1979TIV;734,9
estudiante;varones;1979TIII;739,1
estudiante;varones;1979TII;780,1
estudiante;varones;1979TI;734,7
estudiante;varones;1978TIV;711,9
estudiante;varones;1978TIII;688,4
estudiante;varones;1978TII;716,6
estudiante;varones;1978TI;674,0
estudiante;varones;1977TIV;641,0
estudiante;varones;1977TIII;636,0
estudiante;varones;1977TII;663,0
estudiante;varones;1977TI;632,8
estudiante;varones;1976TIV;621,8
estudiante;varones;1976TIII;609,1
estudiante;mujeres;1995TIV;1.570,8
estudiante;mujeres;1995TIII;1.217,8
estudiante;mujeres;1995TII;1.592,5
estudiante;mujeres;1995TI;1.563,5
estudiante;mujeres;1994TIV;1.512,1
estudiante;mujeres;1994TIII;1.323,2
estudiante;mujeres;1994TII;1.522,6
estudiante;mujeres;1994TI;1.512,6
estudiante;mujeres;1993TIV;1.472,0
estudiante;mujeres;1993TIII;1.330,2
estudiante;mujeres;1993TII;1.515,7
estudiante;mujeres;1993TI;1.489,2
estudiante;mujeres;1992TIV;1.420,6
estudiante;mujeres;1992TIII;1.253,8
estudiante;mujeres;1992TII;1.436,1
estudiante;mujeres;1992TI;1.401,4
estudiante;mujeres;1991TIV;1.356,8
estudiante;mujeres;1991TIII;1.220,6
estudiante;mujeres;1991TII;1.349,2
estudiante;mujeres;1991TI;1.337,0
estudiante;mujeres;1990TIV;1.289,8
estudiante;mujeres;1990TIII;1.134,3
estudiante;mujeres;1990TII;1.262,5
estudiante;mujeres;1990TI;1.266,0
estudiante;mujeres;1989TIV;1.219,5
estudiante;mujeres;1989TIII;1.097,4
estudiante;mujeres;1989TII;1.189,1
estudiante;mujeres;1989TI;1.137,9
estudiante;mujeres;1988TIV;1.098,0
estudiante;mujeres;1988TIII;960,9
estudiante;mujeres;1988TII;1.074,0
estudiante;mujeres;1988TI;1.052,9
estudiante;mujeres;1987TIV;1.025,3
estudiante;mujeres;1987TIII;891,1
estudiante;mujeres;1987TII;1.061,7
estudiante;mujeres;1987TI;1.136,0
estudiante;mujeres;1986TIV;1.130,6
estudiante;mujeres;1986TIII;1.117,3
estudiante;mujeres;1986TII;1.123,0
estudiante;mujeres;1986TI;1.107,2
estudiante;mujeres;1985TIV;1.091,3
estudiante;mujeres;1985TIII;1.067,2
estudiante;mujeres;1985TII;1.062,0
estudiante;mujeres;1985TI;1.025,6
estudiante;mujeres;1984TIV;978,1
estudiante;mujeres;1984TIII;968,9
estudiante;mujeres;1984TII;978,9
estudiante;mujeres;1984TI;951,5
estudiante;mujeres;1983TIV;929,8
estudiante;mujeres;1983TIII;929,6
estudiante;mujeres;1983TII;955,4
estudiante;mujeres;1983TI;925,5
estudiante;mujeres;1982TIV;892,9
estudiante;mujeres;1982TIII;887,1
estudiante;mujeres;1982TII;904,8
estudiante;mujeres;1982TI;877,8
estudiante;mujeres;1981TIV;863,5
estudiante;mujeres;1981TIII;846,7
estudiante;mujeres;1981TII;856,3
estudiante;mujeres;1981TI;840,1
estudiante;mujeres;1980TIV;820,0
estudiante;mujeres;1980TIII;802,7
estudiante;mujeres;1980TII;797,2
estudiante;mujeres;1980TI;764,8
estudiante;mujeres;1979TIV;739,1
estudiante;mujeres;1979TIII;713,1
estudiante;mujeres;1979TII;739,7
estudiante;mujeres;1979TI;707,7
estudiante;mujeres;1978TIV;693,8
estudiante;mujeres;1978TIII;672,4
estudiante;mujeres;1978TII;680,5
estudiante;mujeres;1978TI;640,2
estudiante;mujeres;1977TIV;611,4
estudiante;mujeres;1977TIII;594,9
estudiante;mujeres;1977TII;615,6
estudiante;mujeres;1977TI;594,5
estudiante;mujeres;1976TIV;572,8
estudiante;mujeres;1976TIII;563,9
jubilado o pensionista;ambos sexos;1995TIV;5.871,4
jubilado o pensionista;ambos sexos;1995TIII;5.847,2
jubilado o pensionista;ambos sexos;1995TII;5.847,1
jubilado o pensionista;ambos sexos;1995TI;5.820,8
jubilado o pensionista;ambos sexos;1994TIV;5.831,4
jubilado o pensionista;ambos sexos;1994TIII;5.825,2
jubilado o pensionista;ambos sexos;1994TII;5.768,8
jubilado o pensionista;ambos sexos;1994TI;5.742,6
jubilado o pensionista;ambos sexos;1993TIV;5.695,9
jubilado o pensionista;ambos sexos;1993TIII;5.627,9
jubilado o pensionista;ambos sexos;1993TII;5.606,4
jubilado o pensionista;ambos sexos;1993TI;5.579,0
jubilado o pensionista;ambos sexos;1992TIV;5.571,1
jubilado o pensionista;ambos sexos;1992TIII;5.539,6
jubilado o pensionista;ambos sexos;1992TII;5.512,3
jubilado o pensionista;ambos sexos;1992TI;5.497,6
jubilado o pensionista;ambos sexos;1991TIV;5.399,1
jubilado o pensionista;ambos sexos;1991TIII;5.361,4
jubilado o pensionista;ambos sexos;1991TII;5.324,0
jubilado o pensionista;ambos sexos;1991TI;5.298,9
jubilado o pensionista;ambos sexos;1990TIV;5.327,5
jubilado o pensionista;ambos sexos;1990TIII;5.283,7
jubilado o pensionista;ambos sexos;1990TII;5.236,5
jubilado o pensionista;ambos sexos;1990TI;5.192,4
