Sexo;Grupos de edad (4);Relación con la actividad económica;Periodo;Total
Ambos sexos;Total;Parados que buscan primer empleo;1986TII;1.174,5
Ambos sexos;Total;Parados que buscan primer empleo;1986TI;1.194,3
Ambos sexos;Total;Parados que buscan primer empleo;1985TIV;1.204,0
Ambos sexos;Total;Parados que buscan primer empleo;1985TIII;1.212,5
Ambos sexos;Total;Parados que buscan primer empleo;1985TII;1.141,2
Ambos sexos;Total;Parados que buscan primer empleo;1985TI;1.142,7
Ambos sexos;Total;Parados que buscan primer empleo;1984TIV;1.161,3
Ambos sexos;Total;Parados que buscan primer empleo;1984TIII;1.090,5
Ambos sexos;Total;Parados que buscan primer empleo;1984TII;1.029,3
Ambos sexos;Total;Parados que buscan primer empleo;1984TI;1.046,0
Ambos sexos;Total;Parados que buscan primer empleo;1983TIV;1.007,4
Ambos sexos;Total;Parados que buscan primer empleo;1983TIII;991,8
Ambos sexos;Total;Parados que buscan primer empleo;1983TII;922,5
Ambos sexos;Total;Parados que buscan primer empleo;1983TI;946,8
Ambos sexos;Total;Parados que buscan primer empleo;1982TIV;921,1
Ambos sexos;Total;Parados que buscan primer empleo;1982TIII;863,7
Ambos sexos;Total;Parados que buscan primer empleo;1982TII;795,5
Ambos sexos;Total;Parados que buscan primer empleo;1982TI;769,2
Ambos sexos;Total;Parados que buscan primer empleo;1981TIV;784,8
Ambos sexos;Total;Parados que buscan primer empleo;1981TIII;728,6
Ambos sexos;Total;Parados que buscan primer empleo;1981TII;656,3
Ambos sexos;Total;Parados que buscan primer empleo;1981TI;627,9
Ambos sexos;Total;Parados que buscan primer empleo;1980TIV;614,9
Ambos sexos;Total;Parados que buscan primer empleo;1980TIII;578,9
Ambos sexos;Total;Parados que buscan primer empleo;1980TII;523,6
Ambos sexos;Total;Parados que buscan primer empleo;1980TI;482,7
Ambos sexos;Total;Parados que buscan primer empleo;1979TIV;476,1
Ambos sexos;Total;Parados que buscan primer empleo;1979TIII;437,2
Ambos sexos;Total;Parados que buscan primer empleo;1979TII;388,3
Ambos sexos;Total;Parados que buscan primer empleo;1979TI;369,3
Ambos sexos;Total;Parados que buscan primer empleo;1978TIV;365,4
Ambos sexos;Total;Parados que buscan primer empleo;1978TIII;358,8
Ambos sexos;Total;Parados que buscan primer empleo;1978TII;296,1
Ambos sexos;Total;Parados que buscan primer empleo;1978TI;274,1
Ambos sexos;Total;Parados que buscan primer empleo;1977TIV;259,6
Ambos sexos;Total;Parados que buscan primer empleo;1977TIII;252,5
Ambos sexos;Total;Parados que buscan primer empleo;1977TII;200,8
Ambos sexos;Total;Parados que buscan primer empleo;1977TI;199,4
Ambos sexos;Total;Parados que buscan primer empleo;1976TIV;204,6
Ambos sexos;Total;Parados que buscan primer empleo;1976TIII;190,3
Ambos sexos;Total;Inactivos;1995TIV;15.493,8
Ambos sexos;Total;Inactivos;1995TIII;15.420,7
Ambos sexos;Total;Inactivos;1995TII;15.495,1
Ambos sexos;Total;Inactivos;1995TI;15.438,1
Ambos sexos;Total;Inactivos;1994TIV;15.381,7
Ambos sexos;Total;Inactivos;1994TIII;15.318,9
Ambos sexos;Total;Inactivos;1994TII;15.273,2
Ambos sexos;Total;Inactivos;1994TI;15.272,1
Ambos sexos;Total;Inactivos;1993TIV;15.199,1
Ambos sexos;Total;Inactivos;1993TIII;15.179,2
Ambos sexos;Total;Inactivos;1993TII;15.246,9
Ambos sexos;Total;Inactivos;1993TI;15.272,3
Ambos sexos;Total;Inactivos;1992TIV;15.157,7
Ambos sexos;Total;Inactivos;1992TIII;15.081,7
Ambos sexos;Total;Inactivos;1992TII;15.100,0
Ambos sexos;Total;Inactivos;1992TI;15.043,4
Ambos sexos;Total;Inactivos;1991TIV;14.920,1
Ambos sexos;Total;Inactivos;1991TIII;14.822,5
Ambos sexos;Total;Inactivos;1991TII;14.899,5
Ambos sexos;Total;Inactivos;1991TI;14.829,0
Ambos sexos;Total;Inactivos;1990TIV;14.738,3
Ambos sexos;Total;Inactivos;1990TIII;14.742,7
Ambos sexos;Total;Inactivos;1990TII;14.767,8
Ambos sexos;Total;Inactivos;1990TI;14.716,4
Ambos sexos;Total;Inactivos;1989TIV;14.705,7
Ambos sexos;Total;Inactivos;1989TIII;14.647,5
Ambos sexos;Total;Inactivos;1989TII;14.675,4
Ambos sexos;Total;Inactivos;1989TI;14.596,3
Ambos sexos;Total;Inactivos;1988TIV;14.539,4
Ambos sexos;Total;Inactivos;1988TIII;14.376,6
Ambos sexos;Total;Inactivos;1988TII;14.431,5
Ambos sexos;Total;Inactivos;1988TI;14.287,9
Ambos sexos;Total;Inactivos;1987TIV;14.238,9
Ambos sexos;Total;Inactivos;1987TIII;14.231,8
Ambos sexos;Total;Inactivos;1987TII;14.371,6
Ambos sexos;Total;Inactivos;1987TI;14.507,8
Ambos sexos;Total;Inactivos;1986TIV;14.496,1
Ambos sexos;Total;Inactivos;1986TIII;14.512,4
Ambos sexos;Total;Inactivos;1986TII;14.498,2
Ambos sexos;Total;Inactivos;1986TI;14.428,1
Ambos sexos;Total;Inactivos;1985TIV;14.378,6
Ambos sexos;Total;Inactivos;1985TIII;14.347,3
Ambos sexos;Total;Inactivos;1985TII;14.307,0
Ambos sexos;Total;Inactivos;1985TI;14.155,9
Ambos sexos;Total;Inactivos;1984TIV;14.051,7
Ambos sexos;Total;Inactivos;1984TIII;14.011,5
Ambos sexos;Total;Inactivos;1984TII;13.994,0
Ambos sexos;Total;Inactivos;1984TI;13.853,2
Ambos sexos;Total;Inactivos;1983TIV;13.716,7
Ambos sexos;Total;Inactivos;1983TIII;13.676,2
Ambos sexos;Total;Inactivos;1983TII;13.720,4
Ambos sexos;Total;Inactivos;1983TI;13.637,8
Ambos sexos;Total;Inactivos;1982TIV;13.538,6
Ambos sexos;Total;Inactivos;1982TIII;13.504,9
Ambos sexos;Total;Inactivos;1982TII;13.553,6
Ambos sexos;Total;Inactivos;1982TI;13.465,4
Ambos sexos;Total;Inactivos;1981TIV;13.362,7
Ambos sexos;Total;Inactivos;1981TIII;13.332,5
Ambos sexos;Total;Inactivos;1981TII;13.323,8
Ambos sexos;Total;Inactivos;1981TI;13.209,5
Ambos sexos;Total;Inactivos;1980TIV;13.109,1
Ambos sexos;Total;Inactivos;1980TIII;13.043,7
Ambos sexos;Total;Inactivos;1980TII;12.986,0
Ambos sexos;Total;Inactivos;1980TI;12.828,8
Ambos sexos;Total;Inactivos;1979TIV;12.726,6
Ambos sexos;Total;Inactivos;1979TIII;12.680,4
Ambos sexos;Total;Inactivos;1979TII;12.698,0
Ambos sexos;Total;Inactivos;1979TI;12.544,4
Ambos sexos;Total;Inactivos;1978TIV;12.478,7
Ambos sexos;Total;Inactivos;1978TIII;12.415,0
Ambos sexos;Total;Inactivos;1978TII;12.402,1
Ambos sexos;Total;Inactivos;1978TI;12.246,1
Ambos sexos;Total;Inactivos;1977TIV;12.157,0
Ambos sexos;Total;Inactivos;1977TIII;12.131,8
Ambos sexos;Total;Inactivos;1977TII;12.147,8
Ambos sexos;Total;Inactivos;1977TI;12.005,0
Ambos sexos;Total;Inactivos;1976TIV;11.904,3
Ambos sexos;Total;Inactivos;1976TIII;11.811,8
Ambos sexos;De 16 a 19 años;Población de 16 y más años;1995TIV;2.523,1
Ambos sexos;De 16 a 19 años;Población de 16 y más años;1995TIII;2.539,5
