Sexo;Edad;Estado civil;Periodo;Total
Mujeres;De 20 a 24 años;Viudos/Viudas;2017T2;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2017T1;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2016T4;0,6
Mujeres;De 20 a 24 años;Viudos/Viudas;2016T3;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2016T2;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2016T1;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2015T4;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2015T3;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2015T2;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2015T1;0,6
Mujeres;De 20 a 24 años;Viudos/Viudas;2014T4;0,6
Mujeres;De 20 a 24 años;Viudos/Viudas;2014T3;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2014T2;0,6
Mujeres;De 20 a 24 años;Viudos/Viudas;2014T1;0,7
Mujeres;De 20 a 24 años;Viudos/Viudas;2013T4;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2013T3;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2013T2;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2013T1;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2012T4;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2012T3;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2012T2;0,2
Mujeres;De 20 a 24 años;Viudos/Viudas;2012T1;0,5
Mujeres;De 20 a 24 años;Viudos/Viudas;2011T4;0,5
Mujeres;De 20 a 24 años;Viudos/Viudas;2011T3;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2011T2;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2011T1;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2010T4;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2010T3;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2010T2;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2010T1;0,2
Mujeres;De 20 a 24 años;Viudos/Viudas;2009T4;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2009T3;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2009T2;0,2
Mujeres;De 20 a 24 años;Viudos/Viudas;2009T1;0,2
Mujeres;De 20 a 24 años;Viudos/Viudas;2008T4;0,1
Mujeres;De 20 a 24 años;Viudos/Viudas;2008T3;0,1
Mujeres;De 20 a 24 años;Viudos/Viudas;2008T2;0,1
Mujeres;De 20 a 24 años;Viudos/Viudas;2008T1;0,1
Mujeres;De 20 a 24 años;Viudos/Viudas;2007T4;0,1
Mujeres;De 20 a 24 años;Viudos/Viudas;2007T3;0,1
Mujeres;De 20 a 24 años;Viudos/Viudas;2007T2;0,1
Mujeres;De 20 a 24 años;Viudos/Viudas;2007T1;0,1
Mujeres;De 20 a 24 años;Viudos/Viudas;2006T4;0,1
Mujeres;De 20 a 24 años;Viudos/Viudas;2006T3;0,1
Mujeres;De 20 a 24 años;Viudos/Viudas;2006T2;0,6
Mujeres;De 20 a 24 años;Viudos/Viudas;2006T1;0,4
Mujeres;De 20 a 24 años;Viudos/Viudas;2005T4;0,2
Mujeres;De 20 a 24 años;Viudos/Viudas;2005T3;0,2
Mujeres;De 20 a 24 años;Viudos/Viudas;2005T2;0,2
Mujeres;De 20 a 24 años;Viudos/Viudas;2005T1;0,2
Mujeres;De 20 a 24 años;Viudos/Viudas;2004T4;0,2
Mujeres;De 20 a 24 años;Viudos/Viudas;2004T3;0,5
Mujeres;De 20 a 24 años;Viudos/Viudas;2004T2;0,6
Mujeres;De 20 a 24 años;Viudos/Viudas;2004T1;0,4
Mujeres;De 20 a 24 años;Viudos/Viudas;2003T4;0,7
Mujeres;De 20 a 24 años;Viudos/Viudas;2003T3;0,5
Mujeres;De 20 a 24 años;Viudos/Viudas;2003T2;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2003T1;0,2
Mujeres;De 20 a 24 años;Viudos/Viudas;2002T4;0,8
Mujeres;De 20 a 24 años;Viudos/Viudas;2002T3;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2002T2;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2002T1;0,6
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2025T4;..
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2025T3;1,6
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2025T2;2,2
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2025T1;2,1
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2024T4;0,4
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2024T3;0,8
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2024T2;0,5
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2024T1;0,4
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2023T4;0,1
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2023T3;0,6
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2023T2;0,7
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2023T1;0,3
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2022T4;0
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2022T3;0,8
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2022T2;2,2
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2022T1;1
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2021T4;1
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2021T3;1,4
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2021T2;2,2
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2021T1;1,4
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2020T4;0,9
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2020T3;0,7
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2020T2;1,3
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2020T1;0,5
