Sexo;Nivel de formación alcanzado;Edad;Periodo;Total
Ambos sexos;Total;De 35 a 39 años;2015T4;3.839,2
Ambos sexos;Total;De 35 a 39 años;2015T3;3.871,1
Ambos sexos;Total;De 35 a 39 años;2015T2;3.897,7
Ambos sexos;Total;De 35 a 39 años;2015T1;3.920,3
Ambos sexos;Total;De 35 a 39 años;2014T4;3.940,3
Ambos sexos;Total;De 35 a 39 años;2014T3;3.958,9
Ambos sexos;Total;De 35 a 39 años;2014T2;3.978,3
Ambos sexos;Total;De 35 a 39 años;2014T1;3.987,5
Ambos sexos;Total;De 40 a 44 años;2025T4;3.448,7
Ambos sexos;Total;De 40 a 44 años;2025T3;3.468,1
Ambos sexos;Total;De 40 a 44 años;2025T2;3.489,6
Ambos sexos;Total;De 40 a 44 años;2025T1;3.514,9
Ambos sexos;Total;De 40 a 44 años;2024T4;3.538,6
Ambos sexos;Total;De 40 a 44 años;2024T3;3.559,6
Ambos sexos;Total;De 40 a 44 años;2024T2;3.584,4
Ambos sexos;Total;De 40 a 44 años;2024T1;3.608,7
Ambos sexos;Total;De 40 a 44 años;2023T4;3.637,1
Ambos sexos;Total;De 40 a 44 años;2023T3;3.664,1
Ambos sexos;Total;De 40 a 44 años;2023T2;3.688,3
Ambos sexos;Total;De 40 a 44 años;2023T1;3.712,7
Ambos sexos;Total;De 40 a 44 años;2022T4;3.735,5
Ambos sexos;Total;De 40 a 44 años;2022T3;3.755,7
Ambos sexos;Total;De 40 a 44 años;2022T2;3.771,4
Ambos sexos;Total;De 40 a 44 años;2022T1;3.789,4
Ambos sexos;Total;De 40 a 44 años;2021T4;3.813,1
Ambos sexos;Total;De 40 a 44 años;2021T3;3.838,4
Ambos sexos;Total;De 40 a 44 años;2021T2;3.865,0
Ambos sexos;Total;De 40 a 44 años;2021T1;3.894,7
Ambos sexos;Total;De 40 a 44 años;2020T4;3.876,1
Ambos sexos;Total;De 40 a 44 años;2020T3;3.896,4
Ambos sexos;Total;De 40 a 44 años;2020T2;3.914,4
Ambos sexos;Total;De 40 a 44 años;2020T1;3.931,4
Ambos sexos;Total;De 40 a 44 años;2019T4;3.942,6
Ambos sexos;Total;De 40 a 44 años;2019T3;3.950,3
Ambos sexos;Total;De 40 a 44 años;2019T2;3.957,8
Ambos sexos;Total;De 40 a 44 años;2019T1;3.965,6
Ambos sexos;Total;De 40 a 44 años;2018T4;3.967,3
Ambos sexos;Total;De 40 a 44 años;2018T3;3.962,4
Ambos sexos;Total;De 40 a 44 años;2018T2;3.957,1
Ambos sexos;Total;De 40 a 44 años;2018T1;3.954,2
Ambos sexos;Total;De 40 a 44 años;2017T4;3.948,4
Ambos sexos;Total;De 40 a 44 años;2017T3;3.941,8
Ambos sexos;Total;De 40 a 44 años;2017T2;3.938,0
Ambos sexos;Total;De 40 a 44 años;2017T1;3.935,2
Ambos sexos;Total;De 40 a 44 años;2016T4;3.929,1
Ambos sexos;Total;De 40 a 44 años;2016T3;3.920,2
Ambos sexos;Total;De 40 a 44 años;2016T2;3.913,8
Ambos sexos;Total;De 40 a 44 años;2016T1;3.908,2
Ambos sexos;Total;De 40 a 44 años;2015T4;3.901,1
Ambos sexos;Total;De 40 a 44 años;2015T3;3.888,3
Ambos sexos;Total;De 40 a 44 años;2015T2;3.882,2
Ambos sexos;Total;De 40 a 44 años;2015T1;3.877,7
Ambos sexos;Total;De 40 a 44 años;2014T4;3.871,5
Ambos sexos;Total;De 40 a 44 años;2014T3;3.861,3
Ambos sexos;Total;De 40 a 44 años;2014T2;3.852,1
Ambos sexos;Total;De 40 a 44 años;2014T1;3.836,7
Ambos sexos;Total;De 45 a 49 años;2025T4;4.035,3
Ambos sexos;Total;De 45 a 49 años;2025T3;4.043,5
Ambos sexos;Total;De 45 a 49 años;2025T2;4.050,4
Ambos sexos;Total;De 45 a 49 años;2025T1;4.060,6
Ambos sexos;Total;De 45 a 49 años;2024T4;4.068,2
Ambos sexos;Total;De 45 a 49 años;2024T3;4.068,6
Ambos sexos;Total;De 45 a 49 años;2024T2;4.072,7
Ambos sexos;Total;De 45 a 49 años;2024T1;4.078,1
Ambos sexos;Total;De 45 a 49 años;2023T4;4.076,9
Ambos sexos;Total;De 45 a 49 años;2023T3;4.068,8
Ambos sexos;Total;De 45 a 49 años;2023T2;4.058,3
Ambos sexos;Total;De 45 a 49 años;2023T1;4.045,5
Ambos sexos;Total;De 45 a 49 años;2022T4;4.030,3
Ambos sexos;Total;De 45 a 49 años;2022T3;4.017,3
Ambos sexos;Total;De 45 a 49 años;2022T2;3.999,6
Ambos sexos;Total;De 45 a 49 años;2022T1;3.985,2
Ambos sexos;Total;De 45 a 49 años;2021T4;3.972,6
Ambos sexos;Total;De 45 a 49 años;2021T3;3.958,8
Ambos sexos;Total;De 45 a 49 años;2021T2;3.946,3
Ambos sexos;Total;De 45 a 49 años;2021T1;3.935,1
Ambos sexos;Total;De 45 a 49 años;2020T4;3.908,2
Ambos sexos;Total;De 45 a 49 años;2020T3;3.897,3
Ambos sexos;Total;De 45 a 49 años;2020T2;3.884,7
Ambos sexos;Total;De 45 a 49 años;2020T1;3.872,0
Ambos sexos;Total;De 45 a 49 años;2019T4;3.856,7
Ambos sexos;Total;De 45 a 49 años;2019T3;3.840,6
Ambos sexos;Total;De 45 a 49 años;2019T2;3.823,5
Ambos sexos;Total;De 45 a 49 años;2019T1;3.807,0
Ambos sexos;Total;De 45 a 49 años;2018T4;3.792,8
Ambos sexos;Total;De 45 a 49 años;2018T3;3.778,6
Ambos sexos;Total;De 45 a 49 años;2018T2;3.765,6
Ambos sexos;Total;De 45 a 49 años;2018T1;3.756,5
Ambos sexos;Total;De 45 a 49 años;2017T4;3.746,6
Ambos sexos;Total;De 45 a 49 años;2017T3;3.737,1
Ambos sexos;Total;De 45 a 49 años;2017T2;3.729,6
Ambos sexos;Total;De 45 a 49 años;2017T1;3.724,2
Ambos sexos;Total;De 45 a 49 años;2016T4;3.718,7
Ambos sexos;Total;De 45 a 49 años;2016T3;3.710,8
Ambos sexos;Total;De 45 a 49 años;2016T2;3.704,9
Ambos sexos;Total;De 45 a 49 años;2016T1;3.698,2
Ambos sexos;Total;De 45 a 49 años;2015T4;3.691,9
Ambos sexos;Total;De 45 a 49 años;2015T3;3.683,7
Ambos sexos;Total;De 45 a 49 años;2015T2;3.680,0
Ambos sexos;Total;De 45 a 49 años;2015T1;3.677,4
Ambos sexos;Total;De 45 a 49 años;2014T4;3.676,2
Ambos sexos;Total;De 45 a 49 años;2014T3;3.674,2
Ambos sexos;Total;De 45 a 49 años;2014T2;3.673,0
Ambos sexos;Total;De 45 a 49 años;2014T1;3.667,9
Ambos sexos;Total;De 50 a 54 años;2025T4;3.989,7
Ambos sexos;Total;De 50 a 54 años;2025T3;3.968,7
Ambos sexos;Total;De 50 a 54 años;2025T2;3.951,8
Ambos sexos;Total;De 50 a 54 años;2025T1;3.934,1
Ambos sexos;Total;De 50 a 54 años;2024T4;3.914,5
Ambos sexos;Total;De 50 a 54 años;2024T3;3.894,2
Ambos sexos;Total;De 50 a 54 años;2024T2;3.874,8
Ambos sexos;Total;De 50 a 54 años;2024T1;3.855,2
Ambos sexos;Total;De 50 a 54 años;2023T4;3.839,7
Ambos sexos;Total;De 50 a 54 años;2023T3;3.824,6
Ambos sexos;Total;De 50 a 54 años;2023T2;3.807,2
Ambos sexos;Total;De 50 a 54 años;2023T1;3.790,1
Ambos sexos;Total;De 50 a 54 años;2022T4;3.777,3
Ambos sexos;Total;De 50 a 54 años;2022T3;3.762,0
Ambos sexos;Total;De 50 a 54 años;2022T2;3.748,8
Ambos sexos;Total;De 50 a 54 años;2022T1;3.734,2
Ambos sexos;Total;De 50 a 54 años;2021T4;3.722,4
Ambos sexos;Total;De 50 a 54 años;2021T3;3.711,3
Ambos sexos;Total;De 50 a 54 años;2021T2;3.700,5
Ambos sexos;Total;De 50 a 54 años;2021T1;3.692,4
Ambos sexos;Total;De 50 a 54 años;2020T4;3.683,0
Ambos sexos;Total;De 50 a 54 años;2020T3;3.673,7
Ambos sexos;Total;De 50 a 54 años;2020T2;3.666,4
Ambos sexos;Total;De 50 a 54 años;2020T1;3.658,1
Ambos sexos;Total;De 50 a 54 años;2019T4;3.651,1
Ambos sexos;Total;De 50 a 54 años;2019T3;3.644,7
Ambos sexos;Total;De 50 a 54 años;2019T2;3.636,8
Ambos sexos;Total;De 50 a 54 años;2019T1;3.629,8
Ambos sexos;Total;De 50 a 54 años;2018T4;3.620,0
Ambos sexos;Total;De 50 a 54 años;2018T3;3.606,7
Ambos sexos;Total;De 50 a 54 años;2018T2;3.594,6
Ambos sexos;Total;De 50 a 54 años;2018T1;3.582,1
Ambos sexos;Total;De 50 a 54 años;2017T4;3.566,9
Ambos sexos;Total;De 50 a 54 años;2017T3;3.548,3
Ambos sexos;Total;De 50 a 54 años;2017T2;3.530,8
Ambos sexos;Total;De 50 a 54 años;2017T1;3.514,2
Ambos sexos;Total;De 50 a 54 años;2016T4;3.497,8
Ambos sexos;Total;De 50 a 54 años;2016T3;3.482,7
Ambos sexos;Total;De 50 a 54 años;2016T2;3.466,8
Ambos sexos;Total;De 50 a 54 años;2016T1;3.452,9
Ambos sexos;Total;De 50 a 54 años;2015T4;3.439,7
Ambos sexos;Total;De 50 a 54 años;2015T3;3.420,5
Ambos sexos;Total;De 50 a 54 años;2015T2;3.409,0
Ambos sexos;Total;De 50 a 54 años;2015T1;3.400,6
