Sexo;Edad;Estudios reglados;Periodo;Total
Ambos sexos;Total;Cursa estudios: Sólo reglados;2020T4;3.768,5
Ambos sexos;Total;Cursa estudios: Sólo reglados;2020T3;3.292,9
Ambos sexos;Total;Cursa estudios: Sólo reglados;2020T2;3.672,6
Ambos sexos;Total;Cursa estudios: Sólo reglados;2020T1;3.590,8
Ambos sexos;Total;Cursa estudios: Sólo reglados;2019T4;3.583,3
Ambos sexos;Total;Cursa estudios: Sólo reglados;2019T3;3.248,9
Ambos sexos;Total;Cursa estudios: Sólo reglados;2019T2;3.537,7
Ambos sexos;Total;Cursa estudios: Sólo reglados;2019T1;3.496,4
Ambos sexos;Total;Cursa estudios: Sólo reglados;2018T4;3.463,4
Ambos sexos;Total;Cursa estudios: Sólo reglados;2018T3;3.163,1
Ambos sexos;Total;Cursa estudios: Sólo reglados;2018T2;3.451,8
Ambos sexos;Total;Cursa estudios: Sólo reglados;2018T1;3.416,4
Ambos sexos;Total;Cursa estudios: Sólo reglados;2017T4;3.388,1
Ambos sexos;Total;Cursa estudios: Sólo reglados;2017T3;3.043,8
Ambos sexos;Total;Cursa estudios: Sólo reglados;2017T2;3.407,7
Ambos sexos;Total;Cursa estudios: Sólo reglados;2017T1;3.408,7
Ambos sexos;Total;Cursa estudios: Sólo reglados;2016T4;3.370,6
Ambos sexos;Total;Cursa estudios: Sólo reglados;2016T3;3.048,8
Ambos sexos;Total;Cursa estudios: Sólo reglados;2016T2;3.446,6
Ambos sexos;Total;Cursa estudios: Sólo reglados;2016T1;3.429,8
Ambos sexos;Total;Cursa estudios: Sólo reglados;2015T4;3.381,2
Ambos sexos;Total;Cursa estudios: Sólo reglados;2015T3;3.054,1
Ambos sexos;Total;Cursa estudios: Sólo reglados;2015T2;3.408,7
Ambos sexos;Total;Cursa estudios: Sólo reglados;2015T1;3.434,2
Ambos sexos;Total;Cursa estudios: Sólo reglados;2014T4;3.417,2
Ambos sexos;Total;Cursa estudios: Sólo reglados;2014T3;3.089,4
Ambos sexos;Total;Cursa estudios: Sólo reglados;2014T2;3.515,5
Ambos sexos;Total;Cursa estudios: Sólo reglados;2014T1;3.470,8
Ambos sexos;Total;Cursa estudios: Sólo reglados;2013T4;3.101,1
Ambos sexos;Total;Cursa estudios: Sólo reglados;2013T3;2.840,3
Ambos sexos;Total;Cursa estudios: Sólo reglados;2013T2;3.099,4
Ambos sexos;Total;Cursa estudios: Sólo reglados;2013T1;3.093,5
Ambos sexos;Total;Cursa estudios: Sólo reglados;2012T4;3.066,3
Ambos sexos;Total;Cursa estudios: Sólo reglados;2012T3;2.866,2
Ambos sexos;Total;Cursa estudios: Sólo reglados;2012T2;3.113,0
Ambos sexos;Total;Cursa estudios: Sólo reglados;2012T1;3.097,4
Ambos sexos;Total;Cursa estudios: Sólo reglados;2011T4;3.059,4
Ambos sexos;Total;Cursa estudios: Sólo reglados;2011T3;2.773,9
Ambos sexos;Total;Cursa estudios: Sólo reglados;2011T2;3.037,8
Ambos sexos;Total;Cursa estudios: Sólo reglados;2011T1;3.074,7
Ambos sexos;Total;Cursa estudios: Sólo reglados;2010T4;2.972,7
Ambos sexos;Total;Cursa estudios: Sólo reglados;2010T3;2.666,8
Ambos sexos;Total;Cursa estudios: Sólo reglados;2010T2;2.922,3
Ambos sexos;Total;Cursa estudios: Sólo reglados;2010T1;2.943,3
Ambos sexos;Total;Cursa estudios: Sólo reglados;2009T4;2.854,3
Ambos sexos;Total;Cursa estudios: Sólo reglados;2009T3;2.507,7
Ambos sexos;Total;Cursa estudios: Sólo reglados;2009T2;2.755,7
Ambos sexos;Total;Cursa estudios: Sólo reglados;2009T1;2.737,3
Ambos sexos;Total;Cursa estudios: Sólo reglados;2008T4;2.705,3
Ambos sexos;Total;Cursa estudios: Sólo reglados;2008T3;2.403,8
Ambos sexos;Total;Cursa estudios: Sólo reglados;2008T2;2.682,0
Ambos sexos;Total;Cursa estudios: Sólo reglados;2008T1;2.655,5
Ambos sexos;Total;Cursa estudios: Sólo reglados;2007T4;2.672,9
Ambos sexos;Total;Cursa estudios: Sólo reglados;2007T3;2.357,3
Ambos sexos;Total;Cursa estudios: Sólo reglados;2007T2;2.645,4
Ambos sexos;Total;Cursa estudios: Sólo reglados;2007T1;2.704,3
Ambos sexos;Total;Cursa estudios: Sólo reglados;2006T4;2.653,9
Ambos sexos;Total;Cursa estudios: Sólo reglados;2006T3;2.404,3
Ambos sexos;Total;Cursa estudios: Sólo reglados;2006T2;2.672,8
Ambos sexos;Total;Cursa estudios: Sólo reglados;2006T1;2.724,9
Ambos sexos;Total;Cursa estudios: Sólo reglados;2005T4;2.701,6
Ambos sexos;Total;Cursa estudios: Sólo reglados;2005T3;2.289,8
Ambos sexos;Total;Cursa estudios: Sólo reglados;2005T2;2.745,9
Ambos sexos;Total;Cursa estudios: Sólo reglados;2005T1;2.786,9
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2025T4;4.005,6
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2025T3;3.091,9
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2025T2;4.120,9
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2025T1;4.021,9
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2024T4;4.118,7
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2024T3;2.942,7
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2024T2;4.011,8
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2024T1;4.045,3
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2023T4;4.029,9
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2023T3;3.000,4
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2023T2;3.973,7
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2023T1;3.835,7
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2022T4;3.838,8
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2022T3;2.752,9
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2022T2;3.598,9
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2022T1;3.555,0
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2021T4;3.491,5
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2021T3;2.576,4
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2021T2;3.351,4
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2021T1;3.086,7
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2020T4;2.579,7
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2020T3;1.863,8
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2020T2;2.146,1
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2020T1;2.173,9
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2019T4;2.504,5
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2019T3;1.507,6
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2019T2;2.393,8
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2019T1;2.245,7
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2018T4;2.352,2
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2018T3;1.522,3
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2018T2;2.325,9
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2018T1;2.205,1
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2017T4;2.120,4
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2017T3;1.297,6
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2017T2;2.218,3
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2017T1;2.125,9
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2016T4;2.040,8
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2016T3;1.219,9
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2016T2;1.967,3
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2016T1;1.897,1
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2015T4;2.129,8
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2015T3;1.255,2
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2015T2;2.149,4
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2015T1;2.016,1
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2014T4;2.163,1
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2014T3;1.194,6
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2014T2;2.104,0
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2014T1;2.125,5
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2013T4;2.790,3
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2013T3;1.710,7
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2013T2;3.020,7
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2013T1;2.811,2
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2012T4;2.745,7
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2012T3;1.692,2
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2012T2;2.989,9
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2012T1;2.959,0
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2011T4;2.919,6
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2011T3;1.708,2
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2011T2;2.911,3
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2011T1;2.936,8
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2010T4;3.061,0
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2010T3;1.809,4
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2010T2;3.045,4
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2010T1;2.989,6
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2009T4;2.989,5
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2009T3;1.783,5
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2009T2;3.079,4
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2009T1;2.909,6
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2008T4;2.936,2
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2008T3;1.816,4
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2008T2;3.086,8
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2008T1;2.899,3
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2007T4;2.870,2
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2007T3;1.799,6
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2007T2;3.048,9
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2007T1;2.792,0
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2006T4;2.725,4
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2006T3;1.686,3
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2006T2;2.806,5
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2006T1;2.796,4
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2005T4;2.738,2
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2005T3;1.607,6
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2005T2;2.793,0
Ambos sexos;Total;Cursa estudios: Sólo no reglados;2005T1;2.532,9
