Sexo;Nivel de formación alcanzado;Edad;Periodo;Total
Ambos sexos;Total;De 45 a 49 años;2015T2;3.182
Ambos sexos;Total;De 45 a 49 años;2015T1;3.155,1
Ambos sexos;Total;De 45 a 49 años;2014T4;3.150,9
Ambos sexos;Total;De 45 a 49 años;2014T3;3.132,8
Ambos sexos;Total;De 45 a 49 años;2014T2;3.163,7
Ambos sexos;Total;De 45 a 49 años;2014T1;3.126
Ambos sexos;Total;De 50 a 54 años;2025T4;3.450,9
Ambos sexos;Total;De 50 a 54 años;2025T3;3.430,8
Ambos sexos;Total;De 50 a 54 años;2025T2;3.428,2
Ambos sexos;Total;De 50 a 54 años;2025T1;3.382,5
Ambos sexos;Total;De 50 a 54 años;2024T4;3.388,6
Ambos sexos;Total;De 50 a 54 años;2024T3;3.328,3
Ambos sexos;Total;De 50 a 54 años;2024T2;3.324,2
Ambos sexos;Total;De 50 a 54 años;2024T1;3.284,5
Ambos sexos;Total;De 50 a 54 años;2023T4;3.251,2
Ambos sexos;Total;De 50 a 54 años;2023T3;3.247
Ambos sexos;Total;De 50 a 54 años;2023T2;3.217,7
Ambos sexos;Total;De 50 a 54 años;2023T1;3.197,5
Ambos sexos;Total;De 50 a 54 años;2022T4;3.182,4
Ambos sexos;Total;De 50 a 54 años;2022T3;3.158,3
Ambos sexos;Total;De 50 a 54 años;2022T2;3.155,1
Ambos sexos;Total;De 50 a 54 años;2022T1;3.144,9
Ambos sexos;Total;De 50 a 54 años;2021T4;3.133,4
Ambos sexos;Total;De 50 a 54 años;2021T3;3.106
Ambos sexos;Total;De 50 a 54 años;2021T2;3.069,7
Ambos sexos;Total;De 50 a 54 años;2021T1;3.035,8
Ambos sexos;Total;De 50 a 54 años;2020T4;3.053,9
Ambos sexos;Total;De 50 a 54 años;2020T3;3.004,5
Ambos sexos;Total;De 50 a 54 años;2020T2;2.947,5
Ambos sexos;Total;De 50 a 54 años;2020T1;3.025,3
Ambos sexos;Total;De 50 a 54 años;2019T4;3.060,9
Ambos sexos;Total;De 50 a 54 años;2019T3;3.029,1
Ambos sexos;Total;De 50 a 54 años;2019T2;3.017,9
Ambos sexos;Total;De 50 a 54 años;2019T1;3.003,2
Ambos sexos;Total;De 50 a 54 años;2018T4;2.978,4
