Método de búsqueda de empleo;Sexo;Periodo;Total
Ha puesto o contestado anuncios de empleo;Ambos sexos;2023T2;924
Ha puesto o contestado anuncios de empleo;Ambos sexos;2023T1;1.042,4
Ha puesto o contestado anuncios de empleo;Ambos sexos;2022T4;1.007,8
Ha puesto o contestado anuncios de empleo;Ambos sexos;2022T3;964,1
Ha puesto o contestado anuncios de empleo;Ambos sexos;2022T2;1.035,8
Ha puesto o contestado anuncios de empleo;Ambos sexos;2022T1;1.021,8
Ha puesto o contestado anuncios de empleo;Ambos sexos;2021T4;1.026,7
Ha puesto o contestado anuncios de empleo;Ambos sexos;2021T3;1.055,7
Ha puesto o contestado anuncios de empleo;Ambos sexos;2021T2;1.186,9
Ha puesto o contestado anuncios de empleo;Ambos sexos;2021T1;1.192,4
Ha puesto o contestado anuncios de empleo;Hombres;2025T4;366,5
Ha puesto o contestado anuncios de empleo;Hombres;2025T3;346,3
Ha puesto o contestado anuncios de empleo;Hombres;2025T2;349,8
Ha puesto o contestado anuncios de empleo;Hombres;2025T1;394,9
Ha puesto o contestado anuncios de empleo;Hombres;2024T4;375,3
Ha puesto o contestado anuncios de empleo;Hombres;2024T3;388
Ha puesto o contestado anuncios de empleo;Hombres;2024T2;376,6
Ha puesto o contestado anuncios de empleo;Hombres;2024T1;446,6
Ha puesto o contestado anuncios de empleo;Hombres;2023T4;398,6
Ha puesto o contestado anuncios de empleo;Hombres;2023T3;397,6
Ha puesto o contestado anuncios de empleo;Hombres;2023T2;444,5
Ha puesto o contestado anuncios de empleo;Hombres;2023T1;480,3
Ha puesto o contestado anuncios de empleo;Hombres;2022T4;456
Ha puesto o contestado anuncios de empleo;Hombres;2022T3;433
Ha puesto o contestado anuncios de empleo;Hombres;2022T2;475,5
Ha puesto o contestado anuncios de empleo;Hombres;2022T1;495,6
Ha puesto o contestado anuncios de empleo;Hombres;2021T4;463,5
Ha puesto o contestado anuncios de empleo;Hombres;2021T3;489,3
Ha puesto o contestado anuncios de empleo;Hombres;2021T2;543,7
Ha puesto o contestado anuncios de empleo;Hombres;2021T1;560,4
Ha puesto o contestado anuncios de empleo;Mujeres;2025T4;418,7
Ha puesto o contestado anuncios de empleo;Mujeres;2025T3;463,8
Ha puesto o contestado anuncios de empleo;Mujeres;2025T2;424,1
Ha puesto o contestado anuncios de empleo;Mujeres;2025T1;469,7
Ha puesto o contestado anuncios de empleo;Mujeres;2024T4;446,9
Ha puesto o contestado anuncios de empleo;Mujeres;2024T3;403,9
Ha puesto o contestado anuncios de empleo;Mujeres;2024T2;462,5
Ha puesto o contestado anuncios de empleo;Mujeres;2024T1;506,9
Ha puesto o contestado anuncios de empleo;Mujeres;2023T4;501,2
Ha puesto o contestado anuncios de empleo;Mujeres;2023T3;485,1
Ha puesto o contestado anuncios de empleo;Mujeres;2023T2;479,6
Ha puesto o contestado anuncios de empleo;Mujeres;2023T1;562,1
Ha puesto o contestado anuncios de empleo;Mujeres;2022T4;551,8
Ha puesto o contestado anuncios de empleo;Mujeres;2022T3;531,1
Ha puesto o contestado anuncios de empleo;Mujeres;2022T2;560,2
Ha puesto o contestado anuncios de empleo;Mujeres;2022T1;526,3
Ha puesto o contestado anuncios de empleo;Mujeres;2021T4;563,2
Ha puesto o contestado anuncios de empleo;Mujeres;2021T3;566,4
Ha puesto o contestado anuncios de empleo;Mujeres;2021T2;643,1
Ha puesto o contestado anuncios de empleo;Mujeres;2021T1;632
Ha puesto o actualizado su currículum en internet;Ambos sexos;2025T4;842,7
Ha puesto o actualizado su currículum en internet;Ambos sexos;2025T3;827,4
Ha puesto o actualizado su currículum en internet;Ambos sexos;2025T2;863,3
Ha puesto o actualizado su currículum en internet;Ambos sexos;2025T1;1.002,7
Ha puesto o actualizado su currículum en internet;Ambos sexos;2024T4;952
Ha puesto o actualizado su currículum en internet;Ambos sexos;2024T3;996,8
Ha puesto o actualizado su currículum en internet;Ambos sexos;2024T2;977,1
Ha puesto o actualizado su currículum en internet;Ambos sexos;2024T1;1.036,2
Ha puesto o actualizado su currículum en internet;Ambos sexos;2023T4;1.053,5
Ha puesto o actualizado su currículum en internet;Ambos sexos;2023T3;1.040,6
Ha puesto o actualizado su currículum en internet;Ambos sexos;2023T2;994,1
Ha puesto o actualizado su currículum en internet;Ambos sexos;2023T1;1.140,8
Ha puesto o actualizado su currículum en internet;Ambos sexos;2022T4;1.117,2
Ha puesto o actualizado su currículum en internet;Ambos sexos;2022T3;1.020,5
Ha puesto o actualizado su currículum en internet;Ambos sexos;2022T2;1.054,9
Ha puesto o actualizado su currículum en internet;Ambos sexos;2022T1;1.206,1
Ha puesto o actualizado su currículum en internet;Ambos sexos;2021T4;1.167,7
Ha puesto o actualizado su currículum en internet;Ambos sexos;2021T3;1.299,7
Ha puesto o actualizado su currículum en internet;Ambos sexos;2021T2;1.399,4
Ha puesto o actualizado su currículum en internet;Ambos sexos;2021T1;1.419
Ha puesto o actualizado su currículum en internet;Hombres;2025T4;365,6
Ha puesto o actualizado su currículum en internet;Hombres;2025T3;366,1
Ha puesto o actualizado su currículum en internet;Hombres;2025T2;370,9
Ha puesto o actualizado su currículum en internet;Hombres;2025T1;454,3
Ha puesto o actualizado su currículum en internet;Hombres;2024T4;424,1
Ha puesto o actualizado su currículum en internet;Hombres;2024T3;457,7
Ha puesto o actualizado su currículum en internet;Hombres;2024T2;437,4
Ha puesto o actualizado su currículum en internet;Hombres;2024T1;442,7
Ha puesto o actualizado su currículum en internet;Hombres;2023T4;474,4
Ha puesto o actualizado su currículum en internet;Hombres;2023T3;455
Ha puesto o actualizado su currículum en internet;Hombres;2023T2;451,5
Ha puesto o actualizado su currículum en internet;Hombres;2023T1;497,9
Ha puesto o actualizado su currículum en internet;Hombres;2022T4;477,9
Ha puesto o actualizado su currículum en internet;Hombres;2022T3;433,5
Ha puesto o actualizado su currículum en internet;Hombres;2022T2;486
Ha puesto o actualizado su currículum en internet;Hombres;2022T1;538,2
Ha puesto o actualizado su currículum en internet;Hombres;2021T4;526
Ha puesto o actualizado su currículum en internet;Hombres;2021T3;587,9
Ha puesto o actualizado su currículum en internet;Hombres;2021T2;632,6
Ha puesto o actualizado su currículum en internet;Hombres;2021T1;627,4
Ha puesto o actualizado su currículum en internet;Mujeres;2025T4;477,1
Ha puesto o actualizado su currículum en internet;Mujeres;2025T3;461,3
Ha puesto o actualizado su currículum en internet;Mujeres;2025T2;492,4
Ha puesto o actualizado su currículum en internet;Mujeres;2025T1;548,4
Ha puesto o actualizado su currículum en internet;Mujeres;2024T4;527,9
Ha puesto o actualizado su currículum en internet;Mujeres;2024T3;539,1
Ha puesto o actualizado su currículum en internet;Mujeres;2024T2;539,7
Ha puesto o actualizado su currículum en internet;Mujeres;2024T1;593,5
Ha puesto o actualizado su currículum en internet;Mujeres;2023T4;579,1
Ha puesto o actualizado su currículum en internet;Mujeres;2023T3;585,6
Ha puesto o actualizado su currículum en internet;Mujeres;2023T2;542,6
Ha puesto o actualizado su currículum en internet;Mujeres;2023T1;642,9
Ha puesto o actualizado su currículum en internet;Mujeres;2022T4;639,3
Ha puesto o actualizado su currículum en internet;Mujeres;2022T3;587,1
Ha puesto o actualizado su currículum en internet;Mujeres;2022T2;568,9
Ha puesto o actualizado su currículum en internet;Mujeres;2022T1;667,9
Ha puesto o actualizado su currículum en internet;Mujeres;2021T4;641,8
Ha puesto o actualizado su currículum en internet;Mujeres;2021T3;711,8
Ha puesto o actualizado su currículum en internet;Mujeres;2021T2;766,9
Ha puesto o actualizado su currículum en internet;Mujeres;2021T1;791,6
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Ambos sexos;2025T4;317,9
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Ambos sexos;2025T3;330,1
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Ambos sexos;2025T2;353,9
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Ambos sexos;2025T1;347,5
