Nivel de formación alcanzado;Sexo;Unidad;Periodo;Total
Analfabetos;Ambos sexos;Porcentaje;2018T2;1,2
Analfabetos;Ambos sexos;Porcentaje;2018T1;1
Analfabetos;Ambos sexos;Porcentaje;2017T4;0,6
Analfabetos;Ambos sexos;Porcentaje;2017T3;0,8
Analfabetos;Ambos sexos;Porcentaje;2017T2;1,1
Analfabetos;Ambos sexos;Porcentaje;2017T1;1,5
Analfabetos;Ambos sexos;Porcentaje;2016T4;1
Analfabetos;Ambos sexos;Porcentaje;2016T3;1,1
Analfabetos;Ambos sexos;Porcentaje;2016T2;0,8
Analfabetos;Ambos sexos;Porcentaje;2016T1;1,9
Analfabetos;Ambos sexos;Porcentaje;2015T4;1,7
Analfabetos;Ambos sexos;Porcentaje;2015T3;1,3
Analfabetos;Ambos sexos;Porcentaje;2015T2;1,3
Analfabetos;Ambos sexos;Porcentaje;2015T1;1,5
Analfabetos;Ambos sexos;Porcentaje;2014T4;1,5
Analfabetos;Ambos sexos;Porcentaje;2014T3;1
Analfabetos;Ambos sexos;Porcentaje;2014T2;1
Analfabetos;Ambos sexos;Porcentaje;2014T1;1,3
Analfabetos;Hombres;Valor absoluto;2025T4;..
Analfabetos;Hombres;Valor absoluto;2025T3;..
Analfabetos;Hombres;Valor absoluto;2025T2;..
Analfabetos;Hombres;Valor absoluto;2025T1;1,5
Analfabetos;Hombres;Valor absoluto;2024T4;..
Analfabetos;Hombres;Valor absoluto;2024T3;..
Analfabetos;Hombres;Valor absoluto;2024T2;..
Analfabetos;Hombres;Valor absoluto;2024T1;..
Analfabetos;Hombres;Valor absoluto;2023T4;..
Analfabetos;Hombres;Valor absoluto;2023T3;..
Analfabetos;Hombres;Valor absoluto;2023T2;0,1
Analfabetos;Hombres;Valor absoluto;2023T1;0,4
Analfabetos;Hombres;Valor absoluto;2022T4;2,9
Analfabetos;Hombres;Valor absoluto;2022T3;0,1
Analfabetos;Hombres;Valor absoluto;2022T2;..
Analfabetos;Hombres;Valor absoluto;2022T1;..
Analfabetos;Hombres;Valor absoluto;2021T4;..
Analfabetos;Hombres;Valor absoluto;2021T3;0,3
Analfabetos;Hombres;Valor absoluto;2021T2;0,4
Analfabetos;Hombres;Valor absoluto;2021T1;..
Analfabetos;Hombres;Valor absoluto;2020T4;0,4
Analfabetos;Hombres;Valor absoluto;2020T3;1
Analfabetos;Hombres;Valor absoluto;2020T2;0,7
Analfabetos;Hombres;Valor absoluto;2020T1;0,2
Analfabetos;Hombres;Valor absoluto;2019T4;0,5
Analfabetos;Hombres;Valor absoluto;2019T3;0,4
Analfabetos;Hombres;Valor absoluto;2019T2;0,8
Analfabetos;Hombres;Valor absoluto;2019T1;1,2
Analfabetos;Hombres;Valor absoluto;2018T4;1,4
Analfabetos;Hombres;Valor absoluto;2018T3;1,2
Analfabetos;Hombres;Valor absoluto;2018T2;2
Analfabetos;Hombres;Valor absoluto;2018T1;0,7
Analfabetos;Hombres;Valor absoluto;2017T4;0,2
Analfabetos;Hombres;Valor absoluto;2017T3;1
Analfabetos;Hombres;Valor absoluto;2017T2;1,6
Analfabetos;Hombres;Valor absoluto;2017T1;2,3
Analfabetos;Hombres;Valor absoluto;2016T4;1,1
Analfabetos;Hombres;Valor absoluto;2016T3;0,3
Analfabetos;Hombres;Valor absoluto;2016T2;0,3
Analfabetos;Hombres;Valor absoluto;2016T1;0,3
Analfabetos;Hombres;Valor absoluto;2015T4;0,4
Analfabetos;Hombres;Valor absoluto;2015T3;1
Analfabetos;Hombres;Valor absoluto;2015T2;1,2
Analfabetos;Hombres;Valor absoluto;2015T1;2,4
Analfabetos;Hombres;Valor absoluto;2014T4;1,6
Analfabetos;Hombres;Valor absoluto;2014T3;..
Analfabetos;Hombres;Valor absoluto;2014T2;..
Analfabetos;Hombres;Valor absoluto;2014T1;2,1
Analfabetos;Hombres;Porcentaje;2025T4;..
Analfabetos;Hombres;Porcentaje;2025T3;..
Analfabetos;Hombres;Porcentaje;2025T2;..
Analfabetos;Hombres;Porcentaje;2025T1;1,2
Analfabetos;Hombres;Porcentaje;2024T4;..
Analfabetos;Hombres;Porcentaje;2024T3;..
Analfabetos;Hombres;Porcentaje;2024T2;..
Analfabetos;Hombres;Porcentaje;2024T1;..
Analfabetos;Hombres;Porcentaje;2023T4;..
Analfabetos;Hombres;Porcentaje;2023T3;..
Analfabetos;Hombres;Porcentaje;2023T2;0,1
Analfabetos;Hombres;Porcentaje;2023T1;0,3
Analfabetos;Hombres;Porcentaje;2022T4;1,9
Analfabetos;Hombres;Porcentaje;2022T3;0,1
Analfabetos;Hombres;Porcentaje;2022T2;..
Analfabetos;Hombres;Porcentaje;2022T1;..
Analfabetos;Hombres;Porcentaje;2021T4;..
Analfabetos;Hombres;Porcentaje;2021T3;0,2
Analfabetos;Hombres;Porcentaje;2021T2;0,2
Analfabetos;Hombres;Porcentaje;2021T1;..
Analfabetos;Hombres;Porcentaje;2020T4;0,3
Analfabetos;Hombres;Porcentaje;2020T3;0,6
Analfabetos;Hombres;Porcentaje;2020T2;0,6
Analfabetos;Hombres;Porcentaje;2020T1;0,1
Analfabetos;Hombres;Porcentaje;2019T4;0,3
Analfabetos;Hombres;Porcentaje;2019T3;0,3
Analfabetos;Hombres;Porcentaje;2019T2;0,5
Analfabetos;Hombres;Porcentaje;2019T1;0,8
Analfabetos;Hombres;Porcentaje;2018T4;0,9
Analfabetos;Hombres;Porcentaje;2018T3;0,6
Analfabetos;Hombres;Porcentaje;2018T2;1,2
Analfabetos;Hombres;Porcentaje;2018T1;0,5
Analfabetos;Hombres;Porcentaje;2017T4;0,1
Analfabetos;Hombres;Porcentaje;2017T3;0,5
Analfabetos;Hombres;Porcentaje;2017T2;0,8
Analfabetos;Hombres;Porcentaje;2017T1;1,2
Analfabetos;Hombres;Porcentaje;2016T4;0,6
Analfabetos;Hombres;Porcentaje;2016T3;0,2
Analfabetos;Hombres;Porcentaje;2016T2;0,1
Analfabetos;Hombres;Porcentaje;2016T1;0,2
Analfabetos;Hombres;Porcentaje;2015T4;0,2
Analfabetos;Hombres;Porcentaje;2015T3;0,4
Analfabetos;Hombres;Porcentaje;2015T2;0,5
Analfabetos;Hombres;Porcentaje;2015T1;0,9
Analfabetos;Hombres;Porcentaje;2014T4;0,6
Analfabetos;Hombres;Porcentaje;2014T3;..
Analfabetos;Hombres;Porcentaje;2014T2;..
Analfabetos;Hombres;Porcentaje;2014T1;0,9
Analfabetos;Mujeres;Valor absoluto;2025T4;3,4
Analfabetos;Mujeres;Valor absoluto;2025T3;2,4
Analfabetos;Mujeres;Valor absoluto;2025T2;0,6
Analfabetos;Mujeres;Valor absoluto;2025T1;2,9
Analfabetos;Mujeres;Valor absoluto;2024T4;0,7
Analfabetos;Mujeres;Valor absoluto;2024T3;5,8
Analfabetos;Mujeres;Valor absoluto;2024T2;1,5
Analfabetos;Mujeres;Valor absoluto;2024T1;1,4
Analfabetos;Mujeres;Valor absoluto;2023T4;1,6
Analfabetos;Mujeres;Valor absoluto;2023T3;2,2
Analfabetos;Mujeres;Valor absoluto;2023T2;1,5
Analfabetos;Mujeres;Valor absoluto;2023T1;4,5
Analfabetos;Mujeres;Valor absoluto;2022T4;5,8
Analfabetos;Mujeres;Valor absoluto;2022T3;0,7
Analfabetos;Mujeres;Valor absoluto;2022T2;0,6
Analfabetos;Mujeres;Valor absoluto;2022T1;1,4
Analfabetos;Mujeres;Valor absoluto;2021T4;2,2
Analfabetos;Mujeres;Valor absoluto;2021T3;2,2
Analfabetos;Mujeres;Valor absoluto;2021T2;1
Analfabetos;Mujeres;Valor absoluto;2021T1;2,3
Analfabetos;Mujeres;Valor absoluto;2020T4;4
Analfabetos;Mujeres;Valor absoluto;2020T3;2,9
Analfabetos;Mujeres;Valor absoluto;2020T2;0,7
Analfabetos;Mujeres;Valor absoluto;2020T1;3
Analfabetos;Mujeres;Valor absoluto;2019T4;2,6
Analfabetos;Mujeres;Valor absoluto;2019T3;3,2
Analfabetos;Mujeres;Valor absoluto;2019T2;1,2
Analfabetos;Mujeres;Valor absoluto;2019T1;1,6
Analfabetos;Mujeres;Valor absoluto;2018T4;3,3
Analfabetos;Mujeres;Valor absoluto;2018T3;3,1
Analfabetos;Mujeres;Valor absoluto;2018T2;2,4
Analfabetos;Mujeres;Valor absoluto;2018T1;2,8
Analfabetos;Mujeres;Valor absoluto;2017T4;2,3
Analfabetos;Mujeres;Valor absoluto;2017T3;2,5
Analfabetos;Mujeres;Valor absoluto;2017T2;3,1
Analfabetos;Mujeres;Valor absoluto;2017T1;3,8
