fecha,año,trimestre,pib_pm,demanda_nacional,consumo_privado_nacional,consumo_privado_interior,consumo_publico,fbcf,variacion_existencias,exportacion_bienes_servicios,exportacion_bienes,exportacion_servicios,importacion_bienes_servicios,importacion_bienes,importacion_servicios,tasa_inversion,apertura_comercial,saldo_comercial_pct_pib,consumo_publico_pct_pib,pib_index_base
2001-07-01,2001,3,287367.1275837885,289297.17911842134,170406.00458503808,182638.01950582807,44518.18435857456,72894.1195184017,772.0206138531379,82477.5355799769,49613.18620194733,32864.349378029576,84407.58711460975,67775.72311097277,16631.864003636972,25.366199722042925,58.0738388895673,-0.6716326779826602,15.491745605312584,208.76963662937382
2001-10-01,2001,4,305893.59420873097,314367.7523997733,177845.49535615594,182183.71179472952,53750.797685662365,79974.14845499302,2141.1515553536,78217.81215613153,54885.50933942119,23332.302816710348,86691.97034717385,70218.91725195342,16473.053095220435,26.14443387147934,53.91083227155675,-2.770296060943285,17.571730400141927,222.2289482000326
2002-01-01,2002,1,286629.5319371686,294892.38860705745,177404.69375965555,180484.72034815815,45515.052597113776,74647.91141799801,-3400.9298822785813,74459.23963221016,54163.31573540682,20295.923896803328,82722.09630209893,67867.01518519505,14855.081116903884,26.043342747516125,54.83780225715347,-2.8827652942963513,15.879400942918547,208.23378001828897
2002-04-01,2002,2,303227.13822744304,306911.4943250193,172038.82802570757,179156.80597408098,51119.442707984046,79326.24695392782,3708.311598860913,83398.68217231512,56704.26857414108,26694.41359817405,87083.03826989142,71663.68060968378,15419.357660207628,26.160668671557758,56.222448108959334,-1.2150482701230894,16.858465573632344,220.29179188371248
2002-07-01,2002,3,294745.4699878458,295283.3764964882,172521.8713867942,183544.94058628732,46296.89063787124,75319.75673850325,366.0975640909597,81066.52508008896,49320.4069237628,31746.11815632616,81604.43158873139,64980.71193507477,16623.719653656604,25.55416941322598,55.19031613124648,-0.18249865168906743,15.707413803435333,214.1299361026426
2002-10-01,2002,4,314240.6273834415,325367.5365780316,182069.21476592252,185968.6180165939,55422.48427019482,84497.09324800869,2682.422284857092,79573.78013403204,56144.1270795723,23429.653054459734,90700.68932862212,73879.7651600404,16820.92416858173,26.889296254142202,54.186013718360634,-3.5408881681657407,17.63695698155777,228.2929928159553
2003-01-01,2003,1,297222.75518176134,306581.1601558253,179967.17110303263,183050.83714654905,48466.94898078108,79445.26191971108,-1992.4747782438264,75376.25483351626,55160.418938943934,20215.835894572323,84734.65980758023,69822.23138916159,14912.42841841864,26.729199071964636,53.86899618206671,-3.1486165883702304,16.30660780031528,215.9296615413509
2003-04-01,2003,2,310963.03046204743,314507.9170537612,175008.2770403729,182861.28131877372,53683.65219824839,83428.20860636774,1699.6451492479578,82145.4286334908,55348.04771861203,26797.38091487876,85690.31522520453,70732.21183777435,14958.10338743018,26.82897979300148,53.97289305076393,-1.1399704287826518,17.263676688023658,225.91184809682775
2003-07-01,2003,3,303092.50316255627,305737.98355149914,175224.53438650747,186420.03472712703,48071.89364103533,80782.73448753293,900.3266591740311,80196.90549697448,48876.63767543404,31320.26782154044,82842.38588591735,66542.46505124778,16299.920834669572,26.65283160903755,53.79192480239264,-0.8728293710135201,15.860469374675738,220.19398071856529
2003-10-01,2003,4,322802.0541171741,334444.7686114588,185335.892897458,189048.48154285955,55885.02957256618,91021.54038209764,1466.1759337022045,78434.3287355007,55801.378456016784,22632.950279483925,90077.04322978533,73619.0662810389,16457.976948746425,28.197323784395024,52.20269506219375,-3.606765925367508,17.31247644176404,234.51279242650477
2004-01-01,2004,1,304970.5771056596,317495.1313412464,187030.65076395616,189709.6758010917,51095.93313429022,82795.485667499,-4245.155251474447,75471.91973683695,55309.67603189541,20162.24370494153,87996.47397242382,72885.63593493444,15110.838037489382,27.14867986717742,53.60136550242544,-4.106807402357255,16.754381232189363,221.55838456656784
2004-04-01,2004,2,321050.7757288503,330992.0153745184,181922.1739824533,188735.81601630995,56222.888386914325,88111.9740982751,3937.197749398956,83767.02153505472,57945.50473805849,25821.51679699623,93708.26118072284,78254.94468589617,15453.316494826671,27.444871889265197,55.27950596377559,-3.096469592107195,17.5121484317479,233.24050440998266
2004-07-01,2004,3,313541.8884390927,321514.27648771164,182482.08177316896,193534.7444945409,51124.52018479442,86444.20908590284,646.1281817181357,82951.5438455555,51145.36302936597,31806.18081618952,90923.93189417444,73880.44013309327,17043.491761081146,27.570226586389623,55.45526200831894,-2.5426867485897744,16.305483276670905,227.78536525000152
2004-10-01,2004,4,332953.53800963215,349568.9788253076,190728.2235743377,194240.64403646975,58970.15549961627,96646.99127074242,2571.59355263242,80927.15932705576,57543.599348467935,23383.559978587826,97542.60014273126,80458.9338418629,17083.666300868354,29.027170532107842,53.60200120913687,-4.990318143186339,17.711226572973164,241.88775427860273
2005-01-01,2005,1,314613.8562342034,331993.9711871587,191818.13463682868,193796.01003743676,53049.13710154764,89887.42423009423,-3290.257269173605,74810.0600148946,53853.4540155431,20956.6059993515,92190.17496784992,76573.26008258572,15616.914885264194,28.570713733339403,53.081017149615604,-5.52426875312742,16.861665832688896,228.5641402231355
2005-04-01,2005,2,333213.60523623606,347652.9369999414,188732.4760671229,194757.48021845223,59108.49159651579,96472.2984879636,2920.441598505189,86308.82180955757,58826.64490490448,27482.176904653097,100748.15357326293,84368.47021404249,16379.683359220422,28.952088681843684,56.137256235442145,-4.333356002516285,17.738919020011224,242.07669078241864
2005-07-01,2005,3,324750.6836512433,336608.2582322617,188643.3620964523,199583.4203440048,52166.74379589808,94202.16058981052,1119.341299173887,85590.96205294339,52232.58740173184,33358.37465121155,97448.53663396188,78897.81638166832,18550.72025229357,29.0075326495621,56.363083405692,-3.6512854869776326,16.063628630239023,235.92845427750845
2005-10-01,2005,4,345127.2746615151,364888.8940690975,197435.31931326087,200484.9519378878,62815.421417602935,101913.81486023367,2226.582348463247,81985.34198951069,57701.8535178262,24283.488471684494,101746.96139709318,83924.48769979071,17822.473697302477,29.529342460744672,53.23610067236791,-5.725893274289543,18.200654086006214,250.7318645935317
2006-01-01,2006,1,329422.69082694495,352543.6099708292,200755.09342421236,202629.12802451404,54643.92119730087,97529.8979679484,-1039.902766416487,80774.06760283388,58171.02832270288,22603.039280131,103894.9867467181,86889.19303403203,17005.793712686085,29.60630845529205,56.05838926455854,-7.018617656799572,16.587783027371017,239.32262551971735
2006-04-01,2006,2,345732.9620293725,363422.2698098286,195680.2395435862,202333.9410721901,61199.92326962935,104196.93876333348,1671.2380804947404,89089.21826169036,59638.74233102085,29450.475930669512,106778.52604214648,89112.316674185,17666.209367961477,30.13798225998515,56.65289857065942,-5.116465516225,17.70150086656475,251.17189102509258
2006-07-01,2006,3,336832.39127143146,350809.1238884996,194364.4528160968,205272.61987332723,54454.33880728445,100014.64285097682,1312.549742820935,88680.85819931696,53862.5930550294,34818.265144287565,102657.59081638508,83195.88307110606,19461.707745279036,29.692703386825254,56.80524022451118,-4.149462159595326,16.166598052443007,244.70570632765325
2006-10-01,2006,4,358997.75397923606,382575.6910939071,202699.17398776612,205481.99794802567,66350.22410908068,110121.47355076304,2999.57996296962,86756.25350707464,60382.02932638575,26374.22418068889,110334.1906217456,90874.6175585666,19459.573063179032,30.67469707822526,54.90018863466752,-6.567711595219248,18.482072206200566,260.80864321251806
2007-01-01,2007,1,340968.9258219761,363436.6995785804,207157.33783200168,208710.36689547557,56983.811479542666,101823.70621895292,-2667.6495803725943,86992.21223723996,63817.67076312665,23174.541474113317,109459.9859938442,92251.78628539488,17208.19970844931,29.86304572285754,57.615865656231136,-6.589390426837584,16.712318092380826,247.71086151809953
2007-04-01,2007,2,357954.4174384305,375973.1803820342,200724.17226896196,206788.06566524995,64568.87135516021,107694.69431891004,2985.4424390020317,94036.85190160632,64726.06885085141,29310.783050754915,112055.61484521008,94213.69908425891,17841.915760951146,30.086147585379063,57.57505891997131,-5.033814940055335,18.038294321725,260.0506685884281
2007-07-01,2007,3,348623.3553211176,363780.1387805383,200904.0582127353,211558.87959587557,58189.460059412566,101607.52381581585,2992.4179203712943,96502.81089282953,60005.71371696412,36497.0971758654,111659.59435225023,91779.48456753755,19880.10978471268,29.145357666076322,59.70982783220046,-4.347609885591218,16.691211065252396,253.2717357857208
2007-10-01,2007,4,371882.84096129256,398204.1258861637,210624.85282873904,213144.32616977303,70022.9078640128,112879.94200909972,4452.931995731525,90564.60670279882,63439.01337251247,27125.59333028635,116885.89162767,97612.37534734153,19273.51628032848,30.353630115687114,55.78383175578174,-7.077843348951622,18.82929249518698,270.1695431519082
2008-01-01,2008,1,348459.06645712926,373322.486013301,215862.8146673535,217457.9048502911,61289.62059305216,101339.49273714302,-5757.380025639611,87983.04597342409,63930.79921166726,24052.246761756825,112846.46552959588,95842.98588218726,17003.4796474086,29.082179943683794,57.63360200235395,-7.135248282951687,17.588757616841228,253.15238140192093
