fecha,año,mes,ed_pasivo_total,ed_pasivo_depositos_total,ed_pasivo_depositos_esp,ed_pasivo_depositos_sector_publico,ed_pasivo_sector_privado,ed_pasivo_deposito_resto_mundo,ed_pasivo_deuda_emitida,ed_pasivo_patrimonio_ajustes,ec_efc_pasivo_obra_social,ed_pasivo_periodificacion_otros,depositos_share,crecimiento_depositos_yoy,deuda_emitida_share
1993-07-01,1993,9,,1079950.004916277,278190.14666225336,18841.44606550709,633871.6908051228,149046.72357736237,13476.725764754236,,2298.361910436137,77227.46526388887,,14.869775045434785,
1993-10-01,1993,12,,1138480.674447062,306150.3883935241,19166.16444757581,652515.5216149992,160648.59999096283,16716.163702030153,,2102.455384529724,79446.50184058592,,14.784577846291679,
1994-01-01,1994,3,,1076250.00335736,270283.95187117625,21079.781295124216,640117.3459931974,144768.92205543348,18812.56694600304,,2175.12205594051,71445.31888313334,,9.874542146631216,
1994-04-01,1994,6,,1115258.1098913408,281506.0010412402,23979.871281171338,654041.1101999077,155731.12524169323,32291.90286956704,,2533.4460410723277,73875.94432761369,,4.438093068022031,
1994-07-01,1994,9,,1107784.9365251283,278344.9699121129,21607.16456954794,652498.7339701938,155334.0680732737,32302.309107757905,,2342.688169937076,69214.49032940056,,2.5774277959292435,
1994-10-01,1994,12,,1161157.9420231937,300678.4281915025,22769.56828107553,671969.3284438835,165740.6171067324,32780.36653255337,,2087.2862121921185,68710.73891465517,,1.9918886710260209,
1995-01-01,1995,3,,1151393.453208876,297832.46479056124,22475.404843423385,664271.6289997187,166813.9566135633,31600.41446040361,,2207.674663772311,66857.7849019537,,6.981969766978513,
1995-04-01,1995,6,,1155122.2772952404,300051.762142589,21970.80209575148,681036.7515553426,152062.96352627376,31196.744753194376,,2449.2246342836606,73224.52211895066,,3.5744342094749193,
1995-07-01,1995,9,,1167217.0851503017,290600.5983911009,23109.45182134359,693344.9677026491,160162.06723520785,31711.151542750635,,2298.6080741196065,73758.35273171795,,5.364953671567219,
1995-10-01,1995,12,,1219133.4654618683,313525.0764731622,25461.36711026287,721330.6725516291,158816.35132221,32655.26210589485,,2110.5481765701243,71676.02262793168,,4.992905903710088,
