fecha,año,mes,ed_activo_total,ed_activo_creditos_esp,ed_activo_credito_sector_publico,ed_activo_credito_sector_privado,ed_activo_creditos_resto_mundo,ed_activo_renta_fija_esp,ed_activo_renta_fija_resto_mundo,ed_activo_acciones_esp,ed_activo_acciones_resto_mundo,ed_activo_efectivo,ed_activo_otros_residual
2000-10-01,2000,10,1807232.2681369216,209098.30644053232,48965.87105593292,892867.0048042696,159052.59031677988,194473.29073696982,42762.20980815083,77441.88442829916,44822.90742445246,8320.543190081786,129427.65817420988
2000-11-01,2000,11,1827192.9058602394,211570.7488610689,48820.58320948562,907710.0526220963,152564.84050248895,197965.23235508852,44138.645056208516,78864.68404231196,51439.74489705476,8512.04848803927,125606.32757926578
2000-12-01,2000,12,1880996.405526698,226448.45010069586,50329.637415977675,919938.2322712898,164182.32409501172,198568.7936703872,43608.813061113404,84154.48172343943,47370.82946486151,9408.891024114648,136985.9526998071
2001-01-01,2001,1,1892103.6537618805,223029.71943715573,49894.29285905649,915582.1852720733,181853.63788867087,196250.4569833334,46988.55301880167,86634.45306019287,47894.235215840235,8005.353656129479,135970.76811673556
2001-02-01,2001,2,1881704.8832051756,222048.5548315829,49804.61693317545,913054.8297435475,173991.29840345276,197773.7637637287,49289.9067722062,86041.74551867106,47743.01434500274,7729.023524848984,134228.13459002608
2001-03-01,2001,3,1924719.7104460963,231525.79095898272,50303.57465043067,919275.02674207,195824.32614287664,198869.90406446537,53305.394039444895,84985.43636618128,49046.69759307492,7472.654677741317,134110.90694404565
2001-04-01,2001,4,1919556.1672999866,218064.1361663493,50373.23869096844,929433.7254493335,186866.11989615072,203137.9044655876,53010.36823381393,85001.2814210419,51749.18506783868,8206.874842831883,133713.33306607048
2001-05-01,2001,5,1917782.0573823173,214265.580510332,49049.513219783206,929211.6908166667,183185.49783289296,199919.52755623308,57627.23610728321,85559.92567550813,51577.84462892954,8334.684854878049,139050.55789752712
2001-06-01,2001,6,1941005.2771757932,210491.48312434164,50808.61258244429,952275.5255330857,177843.97804486833,201432.00479071573,63528.91547869682,85866.23061627278,48288.16824918974,8354.409653241053,142115.95081485482
2001-07-01,2001,7,1922993.1837104606,213046.2802278728,51129.248658359145,951452.2621513875,164001.37924824865,203640.17442203284,63791.04033244644,86010.7599532534,46306.11159925232,8897.290468577394,134718.6332334972
2001-08-01,2001,8,1895550.9895640372,208650.3370639699,48070.92426864668,941627.3664355933,160633.32433325495,203452.67875682033,60774.10276249832,85397.92385344711,47002.14868572773,8281.948551034808,131660.23826031448
2001-09-01,2001,9,1944862.3351544687,214721.0627510416,48264.62135265456,964612.7982014447,171490.6650725806,206421.26738410612,61434.62812520159,84194.59627274863,48510.39354714381,8241.156878864245,136971.147272547
2001-10-01,2001,10,1966702.4856025972,224018.3372656755,48925.47484913214,970982.2246600849,168411.45101369082,207058.93012903663,65896.26240503903,86061.42380250944,47616.559474872185,8686.470025766956,139045.3485653929
2001-11-01,2001,11,2004329.644004174,232587.54879759662,49000.24552908308,988248.8330671202,165001.67038185004,214153.8730536556,70177.83257089,86420.71091194292,48442.569233034876,8545.245777702976,141751.11297445133
2001-12-01,2001,12,2032195.0103278772,248187.5305274349,53177.231572645556,996606.8744891332,163994.0280637577,212340.3209580762,69724.711710055,89194.27795965252,47750.40401244298,10587.92805966595,140631.7029750134
2002-01-01,2002,1,2026777.4959982869,226101.19644380626,53730.564122094576,996735.9412376058,157720.11762656184,211796.4863887545,76200.05325335886,90371.13881586725,48610.01892990057,28745.846329604996,136766.13114755473
2002-02-01,2002,2,2005917.5425785906,220615.03378996643,53968.01821731543,1002689.6021981542,154013.89571315434,208356.09926050334,77070.96119013423,89756.86397379194,48298.71017127517,17494.308064328856,133654.04659681206
2002-03-01,2002,3,2030200.417076854,225395.10275522567,53169.35109293037,1015360.8025860738,162887.5776139329,213199.78402413128,77813.56406131008,89116.97359902144,47789.46733763813,14835.854870123818,130631.94251198243
2002-04-01,2002,4,2022035.8439078224,226359.00030234465,52539.234136181534,1013020.3613989558,170524.21912672403,208724.19903664786,75168.14372057666,87872.56843291082,47076.660542558784,11995.22607329568,128756.23446791673
2002-05-01,2002,5,2038781.8271610392,227218.2760394582,52358.10313761288,1019957.3176057781,173253.2451106858,212511.0544432339,77988.63185005235,87479.36667366838,48937.666799306375,10676.385062884441,128401.7754612289
2002-06-01,2002,6,2054465.2680041227,222942.97781402958,54195.37084413035,1038644.6455087359,165043.19052764692,215650.13528412514,75803.93392785631,92507.96679040702,48644.417620337656,11094.283143534878,129938.34654331894
2002-07-01,2002,7,2071950.3963593503,217162.4305263574,53504.194719886655,1059035.7358925936,167607.69163639957,212000.70618216263,80983.21047110569,91669.65391964285,48966.972388211645,10750.532204928833,130269.2684180614
2002-08-01,2002,8,2049989.5773744087,220085.93421701711,49384.22861284494,1057818.8848648819,156676.9090096912,207168.23101632722,80501.37375019712,91015.14870049278,48958.43473758213,9886.5756695795,128493.85346419187
2002-09-01,2002,9,2076376.915596262,225682.2068727088,48924.94736315135,1066449.742514238,169221.00632083006,208388.93239476954,77732.31569851401,87749.73316663393,48686.658320928254,9518.275830878501,134023.09379421966
2002-10-01,2002,10,2093919.1219634106,230788.5885071947,47572.36543563651,1072992.5234426367,181807.01677560282,207616.00880366866,74631.10194526186,90086.24419847032,47966.92393852087,9609.127687581022,130849.226158867
2002-11-01,2002,11,2103816.309988416,228316.2138500194,46438.26933697903,1079587.0690883058,184197.0497663733,209817.9740608012,73406.55691994565,87988.3996255501,47167.97824553456,9426.195682435931,137470.60177168006
2002-12-01,2002,12,2106541.1115202853,228279.53222510323,50546.105681662804,1083005.8425891383,179280.09143127583,212100.4015922343,72710.88794104748,90549.10131246776,46907.129469911,11404.298324722653,131757.72422329723
2003-01-01,2003,1,2115024.0084056347,229368.92723154143,50412.41991670984,1101697.6964752267,169044.55813189768,214571.70671661268,71882.18736975388,91252.581572636,46854.60464177461,9573.941378497408,130365.38661305052
2003-02-01,2003,2,2141014.803132239,236429.45794903697,49737.271230416234,1108637.284331987,177230.6839509113,217619.55012968587,75774.49475681878,88853.11706812306,46505.666795630816,8989.837868601344,131237.43577368793
2003-03-01,2003,3,2147265.0413884786,234240.28675641847,50192.79098815789,1111191.279400738,173955.1819668485,223157.42733218867,83211.23824268291,88264.76197872272,45360.40249698331,8861.033604204107,128830.64024884466
2003-04-01,2003,4,2190996.1753481156,244372.59603918885,50415.224896759195,1124805.399491723,183161.45986969947,223393.49814344835,89780.68712667134,91251.04645791417,45465.65864437158,9861.999780943588,128488.6032831402
2003-05-01,2003,5,2180996.034947362,238034.45142738338,49206.35780875605,1141325.322190097,175316.88192782947,216489.44232659953,86818.48348352664,89206.71952510833,44929.213310859035,9081.836325579914,130587.32985301428
2003-06-01,2003,6,2206100.0403358485,235452.509843141,51290.47119472041,1158783.4290469366,170909.9602189848,225361.6150097758,87738.25557572283,94971.22225152845,43043.356445580175,9827.264935772511,128721.95581368613
2003-07-01,2003,7,2230339.7080345745,215251.25886980904,52491.339489714184,1187874.332312292,174661.86681004873,222757.34257350684,95703.52057808897,98517.76232770445,43784.28076861703,10472.191358497823,128825.81457110359
2003-08-01,2003,8,2239671.974322978,219312.9990243047,50825.730912764746,1187116.2932220276,180006.51179994902,223441.06184613425,99422.68441965427,97047.77827695204,43695.98901113167,9736.971564844349,129065.95424521563
2003-09-01,2003,9,2238654.080151507,226690.4265098588,50014.39888595598,1184134.5885809693,165754.29230508205,229781.8634915405,104355.07856758045,93854.84478310647,43466.87766861722,9668.883456589492,130932.8259022071
2003-10-01,2003,10,2258300.388009477,238958.98804760553,49353.817005496596,1197410.848629612,165547.15031636975,227986.35109268388,100641.51435118147,95551.0976319813,43440.32296803134,9222.156221916857,130188.14334641144
2003-11-01,2003,11,2277850.6162574934,234338.70604162465,48000.612862216614,1217255.5355123424,163139.52891964733,231300.4754360831,102494.51412188285,95402.03055711585,43234.36880232997,9181.059552235516,133503.7828554471
2003-12-01,2003,12,2307005.6277515716,240474.9556403558,51759.42209540425,1214480.5739488872,179046.21297334338,234084.70686291336,105610.97975245191,106710.6372067773,33159.00518433296,11453.5368715579,130225.59880950583
2004-01-01,2004,1,2343292.9937260067,243409.01337430364,53792.68916010383,1234385.7260953407,187253.90158419855,229108.09049309953,108544.59483220437,109968.63781631427,34137.609783141306,9745.83981634591,132946.89398107116
2004-02-01,2004,2,2354455.878899538,227473.99423316668,52867.62135514492,1254959.2394317808,197825.1842288951,223066.93918304646,113909.21945342363,108411.55476885838,34545.56208274269,9318.231123338817,132078.33624803822
2004-03-01,2004,3,2370168.8229265017,234355.33696722597,52470.94522479888,1261987.8922345713,188324.3560117207,226739.05283383606,117904.19236946957,109437.7119466126,40747.06585982277,9518.921543583458,128683.34793486046
2004-04-01,2004,4,2382669.5049977982,224723.287315468,54081.62315384375,1269046.5426152197,198126.39697603838,222001.70933490383,119857.01297706134,114251.46415464969,40647.17916946682,9483.653505052693,130450.63422427152
2004-05-01,2004,5,2376643.5088449405,215769.1226602983,53559.13593553557,1282992.4968714104,187789.98382484904,224534.49918273144,119604.96280993467,111442.7905219093,41211.97987301245,9613.19218735363,130125.34497790584
2004-06-01,2004,6,2439175.120124292,226860.02603365734,55074.538180962336,1305452.1549265934,197843.17148704772,231193.4043826298,119223.71677325865,120490.30911703172,39984.58801175239,10441.060211327835,132612.14944000734
2004-07-01,2004,7,2484517.251167411,247151.5992716394,55713.43277610367,1336195.8158674045,199217.91186520338,228552.24148890126,116226.37993849207,116278.6778203125,40585.31467283606,10525.82590218874,134070.0515643291
2004-08-01,2004,8,2441661.8656329014,233052.88862435185,53808.1524782716,1326768.0660778088,194070.63660978398,225994.0047150926,115375.3899345679,112596.44914067902,40888.42361145062,10296.657321851852,128811.20024910495
2004-09-01,2004,9,2481387.5062363194,238102.99572719986,53166.787883442186,1345243.3411375706,206669.1036822467,229621.87033087868,114437.2342931353,112802.8990634089,36681.555662866645,10377.150991465365,134284.56433944413
2004-10-01,2004,10,2496646.07305294,254309.26830361068,52654.10117327397,1355228.4088620702,193588.3208243779,217250.61433889365,111025.47535679434,114290.76987875091,36216.856221090515,9708.872011527203,152373.3876288729
