fecha,año,trimestre,periodo,IPRI_total_industria_2021,IPRI_industrias_extractivas_2021,IPRI_industria_manufacturera_2021,IPRI_suministro_energia_electrica_gas_vapor_aire_acondicionado_2021,IPRI_energia_2021,IPRI_bienes_equipo_2021,IPRI_bienes_intermedios_2021,IPRI_bienes_consumo_2021,IPRI_bienes_consumo_duradero_2021,IPRI_bienes_consumo_no_duradero_2021,IPRI_total_industria_2025,IPRI_industrias_extractivas_2025,IPRI_industria_manufacturera_2025,IPRI_suministro_energia_electrica_gas_vapor_aire_acondicionado_2025,IPRI_energia_2025,IPRI_bienes_equipo_2025,IPRI_bienes_intermedios_2025,IPRI_bienes_consumo_2025,IPRI_bienes_consumo_duradero_2025,IPRI_bienes_consumo_no_duradero_2025
1981-08-01,1981,3,1981Q3,28.38,36.45,31.01,17.39,24.41,32.53,31.65,28.73,35.09,27.44,22.61910296686437,30.185293813187954,26.085310714661247,13.104336085905368,18.34740560719565,28.767456428018722,27.768435521371014,23.11808489237578,31.201280417321207,21.96561868358382
1981-09-01,1981,3,1981Q3,28.58,36.61,31.16,17.39,24.41,32.78,31.86,29.13,35.33,27.83,22.77850467910443,30.317794417031852,26.211489257299082,13.104336085905368,18.34740560719565,28.9885404768046,27.952681065114714,23.43995171997586,31.414683304188035,22.277812243591022
1981-10-01,1981,4,1981Q4,28.79,36.69,31.54,17.39,24.41,33.12,32.0,29.52,35.65,28.3,22.945876476956492,30.384044718953795,26.53114156531492,13.104336085905368,18.34740560719565,29.289214783153394,28.07551142761051,23.75377187688594,31.69922048667714,22.65404550821509
1981-11-01,1981,4,1981Q4,29.06,36.69,31.76,17.39,24.41,33.28,32.42,29.83,35.74,28.61,23.16106878848057,30.384044718953795,26.71620342785041,13.104336085905368,18.34740560719565,29.430708574376364,28.4440025150979,24.003218668276002,31.779246569252205,22.902199363605433
1981-12-01,1981,4,1981Q4,29.2,36.69,31.91,17.44,24.47,33.28,32.63,29.99,35.82,28.93,23.272649987048613,30.384044718953795,26.842381970488244,13.142013877986752,18.392503695537794,29.430708574376364,28.628248058841592,24.131965399316034,31.850380864874477,23.158358182072885
1982-01-01,1982,1,1982Q1,29.68,37.18,32.43,17.44,24.47,34.19,33.12,30.46,36.14,29.4,23.655214096424753,30.789827818225735,27.279800918299397,13.142013877986752,18.392503695537794,30.235454511956966,29.058154327576872,24.510158921746132,32.134918047363584,23.534591446696947
1982-02-01,1982,1,1982Q1,30.22,38.64,32.96,19.4,25.21,34.69,33.82,30.94,36.71,29.87,24.085598719472916,31.998895828301304,27.72563176895307,14.618983327577004,18.948713451757577,30.677622609528726,29.67230614005586,24.896399114866227,32.64174990367231,23.910824711321016
1982-03-01,1982,1,1982Q1,30.5,39.2,33.26,19.44,25.21,35.02,34.24,31.25,36.71,30.18,24.308761116609,32.462647941754945,27.97798885422873,14.649125561242112,18.948713451757577,30.96945355392609,30.040797227543248,25.145845906256287,32.64174990367231,24.158978566711358
1982-04-01,1982,2,1982Q2,30.7,39.28,33.48,19.44,25.42,35.36,34.45,31.41,36.71,30.42,24.468162828849056,32.5288982436769,28.16305071676422,14.649125561242112,19.10655676095508,31.270127860274883,30.22504277128694,25.274592637296323,32.64174990367231,24.35109768056195
1982-05-01,1982,2,1982Q2,30.98,39.28,33.78,19.44,25.42,35.52,34.8,31.72,37.03,30.65,24.69132522598514,32.5288982436769,28.415407802039887,14.649125561242112,19.10655676095508,31.41162165149785,30.532118677526427,25.52403942868638,32.92628708616142,24.535211831335424
1982-06-01,1982,2,1982Q2,31.11,39.61,33.86,19.44,25.47,35.94,34.87,31.88,36.87,30.89,24.794936338941177,32.802180739104934,28.482703024780065,14.649125561242112,19.1441385012402,31.783042853458127,30.593533858774325,25.652786159726414,32.784018494916864,24.72733094518601
1982-07-01,1982,3,1982Q3,31.25,39.61,34.08,19.44,25.47,36.27,35.01,32.04,37.36,31.04,24.906517537509217,32.802180739104934,28.66776488731555,14.649125561242112,19.1441385012402,32.07487379785549,30.71636422127012,25.781532890766446,33.21971605560331,24.84740539134263
1982-08-01,1982,3,1982Q3,31.39,40.01,34.31,19.44,25.47,36.44,35.29,32.27,37.68,31.2,25.01809873607726,33.13343224871467,28.861238652693565,14.649125561242112,19.1441385012402,32.22521095102989,30.962024946261714,25.966606316636497,33.50425323809242,24.975484800576353
