fecha,año,trimestre,periodo,inactivos_estudiantes_ambos_sexos,inactivos_estudiantes_hombres,inactivos_estudiantes_mujeres,inactivos_incapacidad_permanente_ambos_sexos,inactivos_incapacidad_permanente_hombres,inactivos_incapacidad_permanente_mujeres,inactivos_labores_hogar_ambos_sexos,inactivos_labores_hogar_hombres,inactivos_labores_hogar_mujeres,inactivos_otra_causa_ambos_sexos,inactivos_otra_causa_hombres,inactivos_otra_causa_mujeres,inactivos_pensionistas_ambos_sexos,inactivos_pensionistas_hombres,inactivos_pensionistas_mujeres,inactivos_total_ambos_sexos,inactivos_total_hombres,inactivos_total_mujeres,share_labores_hogar,share_pensionistas,share_estudiantes,ratio_feminizacion_inactividad
1997-04-01,1997,2,1997Q2,3101.1,1448.9,1652.2,663.1,384.8,278.3,5434.0,39.2,5394.8,1021.2025470832951,652.0288235793826,369.17372350391634,6038.7,3212.8,2825.8,16258.102547083296,5737.728823579382,10520.273723503917,33.4233345143641,37.14271073461363,19.074181572045365,64.70827946444912
1997-07-01,1997,3,1997Q3,2383.8,1128.7,1255.1,645.8,371.3,274.5,5587.8,50.9,5536.9,1524.22253875299,923.511541803711,600.7109969492761,6060.3,3235.5,2824.9,16202.02253875299,5709.911541803711,10492.110996949275,34.488286796508014,37.40458936842362,14.712977927899317,64.75803234968723
1997-10-01,1997,4,1997Q4,2977.6,1392.4,1585.2,643.4,369.4,274.0,5473.9,50.1,5423.8,1014.1413852705136,645.7341521872153,368.50723308330015,6101.7,3259.2,2842.5,16210.741385270514,5716.734152187215,10494.0072330833,33.767116937499985,37.63985776458168,18.3680679941358,64.73490004978069
1998-01-01,1998,1,1998Q1,3067.7,1422.7,1645.0,638.1,371.1,267.1,5461.4,46.5,5414.9,985.852618153816,622.4937842849488,363.358833868866,6145.3,3283.9,2861.4,16298.452618153817,5746.593784284949,10551.758833868866,33.50870250048701,37.70480636398046,18.822032200670893,64.74125993639294
1998-04-01,1998,2,1998Q2,3075.0,1426.0,1648.9,644.8,370.3,274.4,5466.9,44.5,5422.4,956.510034074228,586.7057748268046,370.0042592474201,6149.0,3302.4,2846.6,16292.210034074227,5730.005774826805,10562.30425924742,33.55530028502143,37.74196371848704,18.874050810594838,64.8299979386416
1998-07-01,1998,3,1998Q3,2307.5,1074.2,1233.4,652.2,378.3,273.9,5593.1,66.0,5527.1,1417.231102035667,812.0270542352573,605.1040478004113,6190.1,3304.0,2886.1,16160.131102035666,5634.527054235257,10525.60404780041,34.61048654051728,38.304763500465924,14.278968316719459,65.13316000558012
1998-10-01,1998,4,1998Q4,2914.2,1369.0,1545.1,669.5,389.3,280.2,5471.3,46.9,5424.3,916.497164520001,536.3969483228868,380.0002161971112,6245.2,3335.4,2909.8,16216.59716452,5676.996948322887,10539.500216197112,33.7388907456526,38.5111619696872,17.970477840911812,64.99245866275263
1999-01-01,1999,1,1999Q1,3023.6,1386.2,1637.4,730.0,401.9,328.1,5371.4,44.7,5326.7,1091.7692231474234,646.3642660406173,445.3049571068048,6065.4,3238.9,2826.5,16282.069223147424,5718.064266040617,10563.904957106804,32.989664436285175,37.25202194434302,18.570121269976518,64.88100310427147
1999-04-01,1999,2,1999Q2,3060.1,1409.2,1650.9,748.8,412.4,336.4,5331.3,44.2,5287.2,1002.679179215668,596.5064077237088,406.1727714919601,6118.5,3260.1,2858.4,16261.479179215668,5722.406407723709,10539.07277149196,32.78484042714952,37.625728462760364,18.818091308146276,64.81004990592919
1999-07-01,1999,3,1999Q3,2844.9,1308.5,1536.4,755.5,420.5,334.9,5365.9,43.5,5322.4,1014.3825697041218,581.3173901123698,432.86517959175217,6146.4,3274.5,2872.0,16127.082569704122,5628.31739011237,10498.665179591751,33.27260201470182,38.11228703911054,17.640512397104906,65.09999706525613
