fecha,año,mes,ed_pasivo_total,ed_pasivo_depositos_total,ed_pasivo_depositos_esp,ed_pasivo_depositos_sector_publico,ed_pasivo_sector_privado,ed_pasivo_deposito_resto_mundo,ed_pasivo_deuda_emitida,ed_pasivo_patrimonio_ajustes,ec_efc_pasivo_obra_social,ed_pasivo_periodificacion_otros
2013-06-01,2013,6,3907574.841835702,2716654.743798594,511155.6704573968,101105.84539184574,1660056.1481565752,444337.07979277655,336425.68243902863,512533.28886785824,2439.8858757302705,339521.2408544906
2013-07-01,2013,7,3826732.087063552,2644271.5342278047,509139.38133684197,97150.23626903555,1639993.4199023843,397988.49671954324,323992.24149330653,518357.80113685684,2385.071147407187,337725.43905817665
2013-08-01,2013,8,3785365.746422289,2620461.580014808,493989.60889765853,88396.74738858023,1653284.8699795862,384790.353748983,320438.67559028673,516257.0189465969,2342.4430441512054,325866.0288264461
2013-09-01,2013,9,3790594.191551144,2619912.151046471,481814.86956381716,99275.75486426443,1650392.849313867,388428.6773045229,313516.5333402336,519607.8299575547,2282.603831560636,335275.0733753231
2013-10-01,2013,10,3717907.3053673645,2566328.292321453,467239.3703801108,97805.05941844865,1624978.9463311553,376304.9161917384,302900.3879591624,521248.2489777744,2175.2053020493017,325255.17080692505
2013-11-01,2013,11,3690115.2717365646,2548730.568870925,456830.09603176254,85319.3805336149,1635890.0898782357,370691.0024273118,298190.0378937957,520114.7477115442,2051.709820094843,321028.2074402045
2013-12-01,2013,12,3596408.4973927047,2501359.814333703,417205.3951482331,77324.49998127035,1636647.7738722234,370182.14533197606,294032.57649193064,518043.49080865656,1992.942511425328,280979.6732469894
2014-01-01,2014,1,3678753.9713360597,2534995.021831808,425662.4833736495,76085.7266817727,1655101.5443544418,378145.2674219438,296276.72849392256,529913.8941001401,1876.1361727190879,315692.19073747
2014-02-01,2014,2,3635706.033206065,2514583.2886663834,410097.4044100281,90024.4602878803,1642539.493959868,371921.9300086069,288758.04892316356,531799.0533430245,1786.3839616192956,298779.2583118745
2014-03-01,2014,3,3626524.9336947775,2525287.535365114,405782.17632342223,93488.56906917815,1648371.007131441,377645.7828410725,285650.43466239766,531073.4147318753,1722.244215822848,282791.3047195676
2014-04-01,2014,4,3578473.928972137,2475653.5028835745,410507.75346783135,79878.78528244086,1607834.8113366328,377432.15279666934,283411.94534242305,526878.5844018608,1669.4224504355143,290860.4738938435
2014-05-01,2014,5,3592831.872229639,2490560.0640605395,399691.3250521771,92228.59505336468,1616504.2534617765,382135.89049322123,277825.7342200148,524922.4393327561,2065.1222359228104,297458.51238040574
2014-06-01,2014,6,3567024.417141002,2486590.09763148,379011.0692621191,95093.84124394045,1639737.4620043528,372747.7251210675,268088.66774888703,512432.6352184655,644.0498837801741,299268.96665838937
2014-07-01,2014,7,3573621.510928343,2493709.060150305,392193.8637451813,85054.40788232797,1635145.3056734498,381315.48284934583,262925.9941309298,516029.9187974134,639.5169068211326,300317.02094287425
2014-08-01,2014,8,3557329.870245812,2467543.7820387376,377368.4814438129,90621.43672352676,1625183.1791046963,374370.68476670154,262946.8024139246,517667.8540086748,625.4141415395353,308546.01764293545
2014-09-01,2014,9,3557518.1918331836,2471455.686447232,366509.86406200216,95742.94280139884,1614083.2151224113,395119.66446141974,258306.3626047889,512500.8640867184,565.5630285493827,314689.715665895
2014-10-01,2014,10,3523999.46019946,2462432.567691656,364998.0196447577,92641.10107818847,1591772.4499364037,413020.997032306,245155.0388721633,504016.9433889357,489.03914153701317,311905.87110516796
2014-11-01,2014,11,3554780.6612234972,2489374.8722457355,358312.6016277519,97687.97582219356,1602765.605873686,430608.6889221043,244503.61012182664,503794.74214518047,215.23572734034113,316892.2009834143
2014-12-01,2014,12,3514246.879854963,2451656.144090823,349478.05232516216,92877.25273107232,1623381.799044065,385919.0399905238,248267.547988404,496208.1635426933,108.54332832917707,318006.4809047133
2015-01-01,2015,1,3546212.5306419306,2465508.3082127185,344639.8232651562,112901.2470065136,1626788.9819397558,381178.2560012926,239938.15621738145,482381.8725863241,113.54198963402273,358270.65163587296
2015-02-01,2015,2,3529119.6811749795,2464805.794688284,342317.9640226881,101697.75322205077,1631746.0182074816,389044.0592360633,239202.75802425633,484744.19373092876,116.03381720457304,340250.9009143059
2015-03-01,2015,3,3555272.1693715444,2499047.881467478,372389.3621989796,107704.7929010757,1623645.474341636,395308.2520257867,232344.47231240576,478509.0197175279,117.44632281089777,345253.349551322
2015-04-01,2015,4,3448370.814306455,2419665.121222682,353980.3518413687,93773.65243980974,1590434.2301434905,381476.8867980127,226515.6773131288,472791.22827106784,110.98185882558023,329287.8056407511
2015-05-01,2015,5,3414038.410986047,2413652.291376004,354201.9225638941,93267.47707165164,1585130.3760430755,381052.5156973828,226237.00443233867,462308.7124488203,110.85715450579956,311729.54557437793
2015-06-01,2015,6,3398795.798669789,2423496.8705957085,364543.09002978547,93898.3743080878,1592930.7385974142,372124.6676604212,223445.4240862171,452335.8168703282,133.41796821237887,299384.2691493227
2015-07-01,2015,7,3409817.0270180632,2417120.701031886,353994.3142105289,81430.1929145958,1595098.4185916164,386597.7753151447,228793.21644473553,458430.6550988273,120.73402487524949,305351.7204177395
2015-08-01,2015,8,3383060.4145075856,2400611.4695235556,356698.03101166524,82322.13414173426,1587230.9176453892,374360.3867247673,233650.2146627616,458599.34650478134,122.49241298688295,290076.8914034996
2015-09-01,2015,9,3416581.2003326137,2436411.8904910106,363013.9506418994,88354.8453189785,1598301.0678252813,386742.02670485136,228884.0078978506,456970.2374614052,122.49820080855768,294192.5662815388
2015-10-01,2015,10,3392437.5924326344,2418761.7290919907,357141.26299680636,107829.5361758982,1576751.4911568111,377039.438762475,226131.94532654688,454721.49877577345,121.83217048403193,292700.5870678393
2015-11-01,2015,11,3405724.1922227778,2412784.7228665226,353415.8847467184,100315.47187365753,1575553.6388744034,383499.7273717433,233371.30169682283,452568.0593275408,121.17540940731901,306878.9329224841
2015-12-01,2015,12,3344594.086666426,2386016.085955894,346509.7688046774,96206.7041311459,1586734.3077990175,356565.30522105313,232846.3783817443,446959.57724778104,117.84813516006783,278654.1969458462
2016-01-01,2016,1,3425407.8573491257,2429754.244850041,353960.9610106751,98133.76721159517,1615677.0327398332,361982.4838879372,231334.65855126575,455649.3038724838,122.7786283804392,308546.8714469551
2016-02-01,2016,2,3439181.209167202,2442940.7905145134,358981.300728191,89958.58585886643,1610400.1919201356,383600.7120073206,229837.52382810423,455477.71248326695,125.81425392817057,310799.36808738904
2016-03-01,2016,3,3381954.564213631,2407842.2466842057,352178.28834973136,88245.54786055355,1588495.31154225,378923.0989316708,226544.80614405923,449968.92646542995,121.3801382806164,297477.2047816556
2016-04-01,2016,4,3352671.246598611,2389727.4085994163,349330.85787581804,93174.214598057,1573416.6251945286,373805.7109310129,228466.935537904,446124.53537722747,124.34139492097052,288228.0256891423
2016-05-01,2016,5,3320622.234295134,2361419.034326525,344266.5628597177,92109.3772006108,1571046.1934621762,353996.9008040203,230626.7228389907,441464.21132800146,126.7395748473015,286985.52622676984
2016-06-01,2016,6,3352082.4711547396,2371913.946229717,345832.1803453853,89743.810230913,1577732.3620884581,358605.59356496064,228971.7354658876,442267.22347480815,129.66850847204228,308799.89747585467
2016-07-01,2016,7,3332183.900370959,2355424.150014709,346310.4108937752,76811.32761109438,1576739.0689676458,355563.34254219383,224998.68753928217,446914.41493388556,132.80422944277112,304713.8436536396
