fecha,año,mes,trimestre,periodo,ipi_constantes_2025_total_industria,ipi_constantes_2025_energia,ipi_constantes_2025_bienes_equipo,ipi_constantes_2025_bienes_intermedios,ipi_constantes_2025_bienes_consumo
1991-08-01,1991,8,3,1991T3,72.45593436666665,102.46598403333333,34.97651704166667,65.15685403333335,90.07576274999998
1991-09-01,1991,9,3,1991T3,126.3737993583333,104.4483297,141.80805974999998,105.11537813333335,120.79530000000001
1991-10-01,1991,10,4,1991T4,137.34231390833327,110.39403626666665,146.05192087499998,123.75311520000001,136.91998124999998
1991-11-01,1991,11,4,1991T4,130.3900673833333,111.46237423333332,139.32031808333332,116.29779241666668,127.88518875000001
1991-12-01,1991,12,4,1991T4,117.10413732499995,111.3093744,135.66107625,99.59882680000001,108.84128774999999
1992-01-01,1992,1,1,1992T1,123.28349378333331,125.49046329999996,121.31924554166663,109.88651116666666,117.73813499999996
1992-02-01,1992,2,1,1992T1,124.21071092499999,115.73173479999998,126.8804789583333,111.52665938333334,119.96141475
1992-03-01,1992,3,1,1992T1,128.072651875,117.71408046666664,131.271343,115.84985756666667,123.01982249999998
1992-04-01,1992,4,2,1992T2,120.81175120000002,108.10702136666667,124.09986225,109.73719955000003,116.48668574999996
1992-05-01,1992,5,2,1992T2,123.28349378333333,105.82000646666664,126.7346068333333,113.46429105000003,119.26671749999998
1992-06-01,1992,6,2,1992T2,126.37379935833334,101.39764606666665,132.73458741666664,115.40306250000002,124.82678099999998
1992-07-01,1992,7,3,1992T3,128.381306025,109.32702873333334,134.34483474999996,113.46429105000003,128.99745
1992-08-01,1992,8,3,1992T3,72.30160729166667,99.26363099999999,53.26933383333332,58.8948844,75.06334274999998
1992-09-01,1992,9,3,1992T3,121.42905950000001,108.41169059999999,123.66111508333331,108.24636295000002,120.65611199999996
1992-10-01,1992,10,4,1992T4,123.74647500833329,114.20705819999998,121.4662484583333,110.63192946666665,123.57533174999999
1992-11-01,1992,11,4,1992T4,119.57587990833332,108.10702136666667,121.17337341666665,107.35163303333333,117.73813499999997
1992-12-01,1992,12,4,1992T4,106.59860399999998,105.97300629999998,112.83152329166664,90.05656073333334,104.25429749999996
1993-01-01,1993,1,1,1993T1,108.29745651666663,119.08575723333334,96.88057604166666,95.72242368333335,106.61676524999997
1993-02-01,1993,2,1,1993T1,110.92478086666665,108.4116906,104.19792891666665,100.49355671666667,109.25760899999997
1993-03-01,1993,3,1,1993T1,120.50309704999998,113.44471990000001,115.02638991666663,109.14109286666668,119.68303874999998
1993-04-01,1993,4,2,1993T2,110.92478086666667,103.37999173333333,103.90505387499998,103.17660668333335,108.70209974999996
1993-05-01,1993,5,2,1993T2,117.104137325,107.04001383333333,110.78252879166664,108.39567456666667,115.5136125
1993-06-01,1993,6,2,1993T2,118.95731691666666,102.46598403333333,120.88049837499996,107.79956788333332,117.87608024999999
