fecha,año,mes,ed_activo_total,ed_activo_creditos_esp,ed_activo_credito_sector_publico,ed_activo_credito_sector_privado,ed_activo_creditos_resto_mundo,ed_activo_renta_fija_esp,ed_activo_renta_fija_resto_mundo,ed_activo_acciones_esp,ed_activo_acciones_resto_mundo,ed_activo_efectivo,ed_activo_otros_residual,credito_privado_share,crecimiento_credito_yoy
1985-04-01,1985,6,826297.2613760594,168626.8017285311,10254.839007485876,313902.3424045198,67132.21484096046,160751.91510346046,899.9095908898306,11714.094077612996,2119.3628068502826,6687.311496257063,84208.47390049435,37.98903337544265,-5.454176529948396
1985-07-01,1985,9,825960.6247938401,181430.88412874585,9956.021877011652,309133.3788591149,63399.14570886515,158502.13616807712,800.6155525110988,11047.94590850444,2092.908913568257,6525.789704078801,83071.79797336293,37.42713267188428,-1.5448364105724144
1985-10-01,1985,12,831563.2602736637,176768.5371177033,10985.527700354614,318945.02786190686,60913.63373942992,163021.34173847525,890.4085574195311,10725.86871665303,2076.6736487315884,6722.031686442992,80514.20950654669,38.354872455156745,-0.27816677735563733
1986-01-01,1986,3,817260.0671724547,176478.13946704817,15939.917541633782,304591.66618705605,57292.5165956985,170403.30812970272,1673.907973888451,10779.1028915417,2138.2785710339385,6348.083502828204,71615.14964713233,37.269857958541664,-0.5015769996578601
1986-04-01,1986,6,837203.0619233013,171850.42172704873,16422.02609167531,313637.68426368,57238.59681133299,183504.73726640295,1853.5834703708504,10961.466716091803,2103.650116830913,6633.405316001036,72997.49014386669,37.46255819265187,-0.08431225419105459
1986-07-01,1986,9,817305.5937429674,177443.2193322985,14147.734883552965,308627.05038038513,56546.66728592244,171576.47340325644,1160.5747740750123,11083.848577546882,1990.79588469336,6536.017932970095,68193.20807570957,37.76152429925062,-0.16378964982636246
1986-10-01,1986,12,841404.0301839255,169947.61820414467,12396.334796422276,321245.466266566,55661.86216452509,189755.88807035785,2488.335195263291,11810.665113693629,2020.89560947342,6839.140161375663,69237.82460210382,38.179691889084935,0.7212648587377135
1987-01-01,1987,3,829095.6316226788,166458.29126089378,12850.555492634314,315729.0563148056,53060.23039230007,191328.07548143103,2423.801504889824,11808.924615375092,2001.112397128002,6405.801249133448,67029.7891912602,38.08113856502548,3.656498638708605
1987-04-01,1987,6,868975.8649807122,185511.631598232,14935.963771636993,328710.9706781034,51637.43081800197,190236.4105507542,1665.6979915306629,11634.090447205735,2271.251041666667,7407.40056274728,74965.01438612759,37.827399347322434,4.805955142096718
1987-07-01,1987,9,869323.0874156152,190414.2102759039,13992.929487745692,331186.4551960082,51254.247391834506,186410.77819370295,1434.5337600703713,11647.71843320796,2337.0777550958505,7018.594454986654,73626.53939092453,38.09705045112543,7.309600628920387
1987-10-01,1987,12,896521.638158757,190650.99368748497,14691.608097747532,349855.80189900025,47134.3461482173,195112.9898064924,1645.5191083473862,12351.946073295592,2390.85154107444,7573.507613105276,75114.06807618646,39.02368743910311,8.906066742337671
1988-01-01,1988,3,891523.6473643043,213287.8150812396,16691.019112052618,345957.51252956863,44624.33538919176,175543.83307827683,1439.119104823418,13502.337240400568,2362.6289056648498,6277.800626925812,71837.24329147903,38.80519754606124,9.574176215388608
1988-04-01,1988,6,923246.2909689648,211732.3251908908,19219.541723229093,359029.4328940417,46402.10363877044,182037.72456023452,1525.1472706112295,16148.236392383322,2415.441940180052,8195.592454809286,76540.73889729922,38.88772003808793,9.223440931525296
1988-07-01,1988,9,915656.3867482208,214184.93328059,17457.747266069786,361009.61856054864,47410.29999357208,175646.62090874655,1397.3032082759412,16454.788182851236,2525.6358146235075,6461.757959079429,73107.68448404499,39.426320155162735,9.004946578171502
1988-10-01,1988,12,947549.710228209,219669.723043127,17192.765734638146,382457.9889070893,44016.68506924216,179766.19617176836,1391.5113261265365,17715.336913006377,2846.417942307693,6943.740300238964,75549.34770567821,40.36284163022725,9.31874984811627
1989-01-01,1989,3,959300.3426819145,234883.1137335232,17295.607128016083,382235.9026262288,43431.65004256032,174439.55973564563,1312.7601615840033,18602.52737483244,2909.7616063449505,6384.080404714029,77805.37986846514,39.84527948333809,10.48637152909333
1989-04-01,1989,6,997091.3365579222,229337.2638992034,19492.953477096704,407690.392555488,47743.60560837575,181444.85585583092,1653.6636633657888,19131.263554270856,2910.886445950432,6350.950762392123,81335.50073594823,40.88796859502196,13.553473671838855
1989-07-01,1989,9,1012743.9442936368,240141.2914971517,14862.434795840494,410430.35235613695,43968.012994894656,191586.52406104893,1618.0296318787612,18790.5950144024,3281.654143594152,6034.604426859413,82030.4453718293,40.52656692431784,13.689589211678976
1989-10-01,1989,12,1024804.8477347208,241197.1829953684,14999.329821497016,426903.62053183554,43369.00009470826,182774.07796539605,1866.4138834114135,19956.989168547698,3358.63418616908,7045.840770070272,83333.75561823891,41.657064901233085,11.621049347603885
1990-01-01,1990,3,1005009.0745931627,239631.5508079854,15943.977208507304,419189.9470712944,43816.37125203549,174330.77186012524,1880.096996659708,19739.914873121084,3470.5024675365344,5720.554136951983,81285.38527244258,41.71006587587147,9.667863272697662
1990-04-01,1990,6,1052082.597448027,242870.67550602285,19726.444691588786,435402.18211749743,48537.88301879543,183749.7071365005,1946.9039531152648,20331.25598831776,3678.4242632917967,6655.088394548287,89184.03237834891,41.38479081144638,6.7972633321835785
1990-07-01,1990,9,1046572.5305022718,236471.9485842589,18509.8469476979,431712.75243396615,48781.08117235461,188411.08191079364,2037.0963826736677,20961.953297354605,3800.255160844104,6272.421085016155,89614.09096738692,41.250151313141984,5.1853864987456255
1990-10-01,1990,12,1062461.6962081834,231839.3858391287,21992.80338868905,443593.1301006195,50650.44862305156,189387.44794594328,2516.833939698241,20781.80643180456,4145.758314848122,7090.840432104317,90463.24119229618,41.751446822389724,3.909432660231893
1991-01-01,1991,3,1106167.637829373,251511.7047050878,23391.23859411359,450982.5083283376,61830.87187359496,190364.39738946952,3072.8232012423587,20901.033423190693,4149.756986146717,6505.692600916979,93457.60822742064,40.76981579512652,7.584285233738197
1991-04-01,1991,6,1108250.7906374978,260017.10270671107,29289.27991430249,461711.3111518783,53869.210450939165,174274.09063950306,3673.4448538446495,21382.68354284876,4772.0188048327145,6886.119236597536,92375.52933603994,41.66126611886184,6.04248901703508
1991-07-01,1991,9,1102390.3606501338,267643.3174407581,27865.343427678064,461647.4740117434,54444.86452009739,164370.43435535615,3869.1464632423135,21556.6015713672,4792.3004638151615,6621.734372111897,89579.14644457705,41.876951258852365,6.933944250895396
1991-10-01,1991,12,1127563.1990675186,257612.26055653405,33009.3182482481,492132.7045697442,54294.54906079544,150796.8606427083,4466.597641808711,23758.13581429924,5898.988761221589,7020.249699621211,98573.53167163824,43.64568699800881,10.942363886049034
1992-01-01,1992,3,1095555.5812124931,248888.56993241367,33367.37688466507,477207.30352938734,56148.86981278834,153562.12353824507,7501.482602878761,33181.820050055365,6007.991150719691,5959.050333825429,73730.99805614505,43.55847496128346,5.8150359973511145
1992-04-01,1992,6,1106104.3132757046,247811.32941371843,36995.58006527547,489820.86984236224,55233.09028206191,147498.0249639764,6731.148693707388,34431.064430394326,6116.444279988944,7108.821007508752,74357.94029671088,44.283424624913366,6.088124334739842
1992-07-01,1992,9,1136716.4552223324,266247.0865264488,37208.30500117349,491917.6837269362,75933.4967705813,136553.49556160855,6934.681172458925,33065.04692507672,6224.414702202563,6341.579089185772,76290.66803529515,43.27532002083326,6.5569967170280075
1992-10-01,1992,12,1189540.0089963598,266272.91879386123,38604.01479040086,505285.00968847744,93896.17224991012,151738.7719465666,6717.105154592846,33387.45810565342,6531.174170816105,6924.839328015459,80182.54476806578,42.47734467668701,2.6725119051439483
1993-01-01,1993,3,1177467.6203748223,277770.38185965223,38910.94223962029,494936.8522522179,101859.8320306068,130381.2239649574,8508.50144464159,33899.23096309439,6859.221631254436,5801.515987047552,78539.92025097588,42.034009571716716,3.7152718727698097
1993-04-01,1993,6,1274710.6964878757,302152.9134771569,44602.03000707257,494519.8392993323,161186.10583460727,132110.1386739589,9851.944200404148,34132.181673871026,6977.186526137762,6583.216034923564,82595.13630539448,38.79467244307664,0.9593240603411379
1993-07-01,1993,9,1285969.4392568793,295847.2227117514,39996.18180313257,491496.638952622,169645.9574603236,147656.60100134127,11578.600752120108,34853.75219695396,7349.752793656974,6049.216533445828,81495.51285756315,38.21993151226379,-0.08559252660408356
