Sexo;Grupos de edad (4);Relación con la actividad económica;Periodo;Total
Ambos sexos;De 20 a 24 años;Población de 16 y más años;1996TIV;3.312,8
Ambos sexos;De 20 a 24 años;Población de 16 y más años;1996TIII;3.312,3
Ambos sexos;De 20 a 24 años;Población de 16 y más años;1996TII;3.311,5
Ambos sexos;De 20 a 24 años;Población de 16 y más años;1996TI;3.310,9
Ambos sexos;De 20 a 24 años;Activos;2001TIV;1.927,3
Ambos sexos;De 20 a 24 años;Activos;2001TIII;1.953,3
Ambos sexos;De 20 a 24 años;Activos;2001TII;1.895,1
Ambos sexos;De 20 a 24 años;Activos;2001TI;1.880,5
Ambos sexos;De 20 a 24 años;Activos;2000TIV;1.994,5
Ambos sexos;De 20 a 24 años;Activos;2000TIII;2.024,3
Ambos sexos;De 20 a 24 años;Activos;2000TII;1.940,7
Ambos sexos;De 20 a 24 años;Activos;2000TI;1.951,4
Ambos sexos;De 20 a 24 años;Activos;1999TIV;1.973,7
Ambos sexos;De 20 a 24 años;Activos;1999TIII;2.004,5
Ambos sexos;De 20 a 24 años;Activos;1999TII;1.933,2
Ambos sexos;De 20 a 24 años;Activos;1999TI;1.952,4
Ambos sexos;De 20 a 24 años;Activos;1998TIV;1.966,4
Ambos sexos;De 20 a 24 años;Activos;1998TIII;1.996,9
Ambos sexos;De 20 a 24 años;Activos;1998TII;1.929,3
Ambos sexos;De 20 a 24 años;Activos;1998TI;1.941,4
Ambos sexos;De 20 a 24 años;Activos;1997TIV;1.979,5
Ambos sexos;De 20 a 24 años;Activos;1997TIII;1.983,1
Ambos sexos;De 20 a 24 años;Activos;1997TII;1.934,1
Ambos sexos;De 20 a 24 años;Activos;1997TI;1.964,6
Ambos sexos;De 20 a 24 años;Activos;1996TIV;1.979,1
Ambos sexos;De 20 a 24 años;Activos;1996TIII;2.014,4
Ambos sexos;De 20 a 24 años;Activos;1996TII;1.961,7
Ambos sexos;De 20 a 24 años;Activos;1996TI;2.004,6
Ambos sexos;De 20 a 24 años;Ocupados;2001TIV;1.558,6
Ambos sexos;De 20 a 24 años;Ocupados;2001TIII;1.586,1
Ambos sexos;De 20 a 24 años;Ocupados;2001TII;1.551,8
Ambos sexos;De 20 a 24 años;Ocupados;2001TI;1.515,3
Ambos sexos;De 20 a 24 años;Ocupados;2000TIV;1.529,7
Ambos sexos;De 20 a 24 años;Ocupados;2000TIII;1.558,7
Ambos sexos;De 20 a 24 años;Ocupados;2000TII;1.502,8
Ambos sexos;De 20 a 24 años;Ocupados;2000TI;1.462,0
Ambos sexos;De 20 a 24 años;Ocupados;1999TIV;1.466,9
Ambos sexos;De 20 a 24 años;Ocupados;1999TIII;1.482,7
Ambos sexos;De 20 a 24 años;Ocupados;1999TII;1.422,7
Ambos sexos;De 20 a 24 años;Ocupados;1999TI;1.382,9
Ambos sexos;De 20 a 24 años;Ocupados;1998TIV;1.352,5
