Sexo;Ocupación;Situación profesional;Periodo;Total
Ambos sexos;Total;Asalariados : Total;2007T2;16.981,4
Ambos sexos;Total;Asalariados : Total;2007T1;16.701,3
Ambos sexos;Total;Asalariados : Total;2006T4;16.644,9
Ambos sexos;Total;Asalariados : Total;2006T3;16.548,7
Ambos sexos;Total;Asalariados : Total;2006T2;16.300,2
Ambos sexos;Total;Asalariados : Total;2006T1;16.068,5
Ambos sexos;Total;Asalariados : Total;2005T4;16.025,2
Ambos sexos;Total;Asalariados : Total;2005T3;15.969,3
Ambos sexos;Total;Asalariados : Total;2005T2;15.689,7
Ambos sexos;Total;Asalariados : Total;2005T1;15.211,3
Ambos sexos;Total;Asalariados : Total;2004T4;15.211,6
Ambos sexos;Total;Asalariados : Total;2004T3;15.020,3
Ambos sexos;Total;Asalariados : Total;2004T2;14.751,9
Ambos sexos;Total;Asalariados : Total;2004T1;14.535,6
Ambos sexos;Total;Asalariados : Total;2003T4;14.546,4
Ambos sexos;Total;Asalariados : Total;2003T3;14.468,6
Ambos sexos;Total;Asalariados : Total;2003T2;14.252,0
Ambos sexos;Total;Asalariados : Total;2003T1;13.938,2
Ambos sexos;Total;Asalariados : Total;2002T4;13.869,6
Ambos sexos;Total;Asalariados : Total;2002T3;13.777,5
Ambos sexos;Total;Asalariados : Total;2002T2;13.585,1
Ambos sexos;Total;Asalariados : Total;2002T1;13.303,4
Ambos sexos;Total;Asalariado sector público;2010T4;3.250,3
Ambos sexos;Total;Asalariado sector público;2010T3;3.259,2
Ambos sexos;Total;Asalariado sector público;2010T2;3.168,4
Ambos sexos;Total;Asalariado sector público;2010T1;3.160,5
Ambos sexos;Total;Asalariado sector público;2009T4;3.127,6
Ambos sexos;Total;Asalariado sector público;2009T3;3.164,7
Ambos sexos;Total;Asalariado sector público;2009T2;3.106,1
Ambos sexos;Total;Asalariado sector público;2009T1;3.077,4
Ambos sexos;Total;Asalariado sector público;2008T4;3.081,6
Ambos sexos;Total;Asalariado sector público;2008T3;3.040,9
Ambos sexos;Total;Asalariado sector público;2008T2;2.983,5
Ambos sexos;Total;Asalariado sector público;2008T1;2.920,7
Ambos sexos;Total;Asalariado sector público;2007T4;2.969,5
Ambos sexos;Total;Asalariado sector público;2007T3;2.990,3
Ambos sexos;Total;Asalariado sector público;2007T2;2.932,0
Ambos sexos;Total;Asalariado sector público;2007T1;2.986,8
Ambos sexos;Total;Asalariado sector público;2006T4;2.959,2
Ambos sexos;Total;Asalariado sector público;2006T3;2.944,8
Ambos sexos;Total;Asalariado sector público;2006T2;2.902,7
Ambos sexos;Total;Asalariado sector público;2006T1;2.919,4
Ambos sexos;Total;Asalariado sector público;2005T4;2.916,4
Ambos sexos;Total;Asalariado sector público;2005T3;2.960,6
Ambos sexos;Total;Asalariado sector público;2005T2;2.897,4
Ambos sexos;Total;Asalariado sector público;2005T1;2.893,9
Ambos sexos;Total;Asalariado sector público;2004T4;2.918,6
Ambos sexos;Total;Asalariado sector público;2004T3;2.877,7
Ambos sexos;Total;Asalariado sector público;2004T2;2.791,2
Ambos sexos;Total;Asalariado sector público;2004T1;2.777,1
Ambos sexos;Total;Asalariado sector público;2003T4;2.764,8
Ambos sexos;Total;Asalariado sector público;2003T3;2.766,3
Ambos sexos;Total;Asalariado sector público;2003T2;2.728,7
Ambos sexos;Total;Asalariado sector público;2003T1;2.684,2
Ambos sexos;Total;Asalariado sector público;2002T4;2.672,7
Ambos sexos;Total;Asalariado sector público;2002T3;2.649,0
Ambos sexos;Total;Asalariado sector público;2002T2;2.586,6
Ambos sexos;Total;Asalariado sector público;2002T1;2.569,0
Ambos sexos;Total;Asalariado sector privado;2010T4;12.304,4
Ambos sexos;Total;Asalariado sector privado;2010T3;12.445,9
Ambos sexos;Total;Asalariado sector privado;2010T2;12.451,4
Ambos sexos;Total;Asalariado sector privado;2010T1;12.329,1
Ambos sexos;Total;Asalariado sector privado;2009T4;12.596,9
Ambos sexos;Total;Asalariado sector privado;2009T3;12.699,1
Ambos sexos;Total;Asalariado sector privado;2009T2;12.817,0
Ambos sexos;Total;Asalariado sector privado;2009T1;12.935,7
Ambos sexos;Total;Asalariado sector privado;2008T4;13.395,7
Ambos sexos;Total;Asalariado sector privado;2008T3;13.879,2
Ambos sexos;Total;Asalariado sector privado;2008T2;14.054,1
Ambos sexos;Total;Asalariado sector privado;2008T1;14.089,3
Ambos sexos;Total;Asalariado sector privado;2007T4;14.125,5
Ambos sexos;Total;Asalariado sector privado;2007T3;14.104,3
Ambos sexos;Total;Asalariado sector privado;2007T2;14.049,4
Ambos sexos;Total;Asalariado sector privado;2007T1;13.714,5
Ambos sexos;Total;Asalariado sector privado;2006T4;13.685,7
Ambos sexos;Total;Asalariado sector privado;2006T3;13.603,9
Ambos sexos;Total;Asalariado sector privado;2006T2;13.397,5
Ambos sexos;Total;Asalariado sector privado;2006T1;13.149,1
Ambos sexos;Total;Asalariado sector privado;2005T4;13.108,8
Ambos sexos;Total;Asalariado sector privado;2005T3;13.008,7
Ambos sexos;Total;Asalariado sector privado;2005T2;12.792,4
Ambos sexos;Total;Asalariado sector privado;2005T1;12.317,4
Ambos sexos;Total;Asalariado sector privado;2004T4;12.293,0
Ambos sexos;Total;Asalariado sector privado;2004T3;12.142,6
Ambos sexos;Total;Asalariado sector privado;2004T2;11.960,6
Ambos sexos;Total;Asalariado sector privado;2004T1;11.758,4
Ambos sexos;Total;Asalariado sector privado;2003T4;11.781,7
Ambos sexos;Total;Asalariado sector privado;2003T3;11.702,2
Ambos sexos;Total;Asalariado sector privado;2003T2;11.523,3
Ambos sexos;Total;Asalariado sector privado;2003T1;11.254,0
Ambos sexos;Total;Asalariado sector privado;2002T4;11.196,9
Ambos sexos;Total;Asalariado sector privado;2002T3;11.128,5
Ambos sexos;Total;Asalariado sector privado;2002T2;10.998,5
Ambos sexos;Total;Asalariado sector privado;2002T1;10.734,5
Ambos sexos;Total;Otra situación;2010T4;9,9
Ambos sexos;Total;Otra situación;2010T3;5,6
Ambos sexos;Total;Otra situación;2010T2;10,3
Ambos sexos;Total;Otra situación;2010T1;11,1
Ambos sexos;Total;Otra situación;2009T4;13,0
Ambos sexos;Total;Otra situación;2009T3;10,5
Ambos sexos;Total;Otra situación;2009T2;12,9
Ambos sexos;Total;Otra situación;2009T1;6,5
Ambos sexos;Total;Otra situación;2008T4;14,2
Ambos sexos;Total;Otra situación;2008T3;14,4
Ambos sexos;Total;Otra situación;2008T2;9,7
Ambos sexos;Total;Otra situación;2008T1;10,3
Ambos sexos;Total;Otra situación;2007T4;6,9
Ambos sexos;Total;Otra situación;2007T3;7,6
Ambos sexos;Total;Otra situación;2007T2;9,2
Ambos sexos;Total;Otra situación;2007T1;13,2
Ambos sexos;Total;Otra situación;2006T4;11,6
Ambos sexos;Total;Otra situación;2006T3;13,2
Ambos sexos;Total;Otra situación;2006T2;15,5
Ambos sexos;Total;Otra situación;2006T1;31,0
Ambos sexos;Total;Otra situación;2005T4;26,8
Ambos sexos;Total;Otra situación;2005T3;20,3
Ambos sexos;Total;Otra situación;2005T2;26,8
Ambos sexos;Total;Otra situación;2005T1;30,4
Ambos sexos;Total;Otra situación;2004T4;18,7
Ambos sexos;Total;Otra situación;2004T3;22,8
Ambos sexos;Total;Otra situación;2004T2;15,3
Ambos sexos;Total;Otra situación;2004T1;18,1
Ambos sexos;Total;Otra situación;2003T4;20,4
Ambos sexos;Total;Otra situación;2003T3;32,6
Ambos sexos;Total;Otra situación;2003T2;17,7
Ambos sexos;Total;Otra situación;2003T1;13,8
Ambos sexos;Total;Otra situación;2002T4;16,1
Ambos sexos;Total;Otra situación;2002T3;28,7
Ambos sexos;Total;Otra situación;2002T2;24,2
Ambos sexos;Total;Otra situación;2002T1;21,3
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2010T4;1.514,9
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2010T3;1.493,3
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2010T2;1.497,5
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2010T1;1.499,7
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2009T4;1.500,2
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2009T3;1.511,6
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2009T2;1.519,8
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2009T1;1.508,3
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2008T4;1.562,7
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2008T3;1.580,1
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2008T2;1.564,5
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2008T1;1.561,3
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2007T4;1.570,5
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2007T3;1.545,2
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2007T2;1.504,6
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2007T1;1.438,9
