Sexo;Situación profesional;Periodo;Total
ambos sexos;asalariados sector privado;1987TII;6.324,7
ambos sexos;asalariados sector privado;1987TI;6.197,5
ambos sexos;asalariados sector privado;1986TIV;6.103,2
ambos sexos;asalariados sector privado;1986TIII;6.038,6
ambos sexos;asalariados sector privado;1986TII;5.919,0
ambos sexos;asalariados sector privado;1986TI;5.835,0
ambos sexos;asalariados sector privado;1985TIV;5.763,3
ambos sexos;asalariados sector privado;1985TIII;5.761,6
ambos sexos;asalariados sector privado;1985TII;5.764,9
ambos sexos;asalariados sector privado;1985TI;5.794,4
ambos sexos;asalariados sector privado;1984TIV;5.763,0
ambos sexos;asalariados sector privado;1984TIII;5.848,8
ambos sexos;asalariados sector privado;1984TII;5.890,6
ambos sexos;asalariados sector privado;1984TI;5.928,7
ambos sexos;asalariados sector privado;1983TIV;6.034,7
ambos sexos;asalariados sector privado;1983TIII;6.111,0
ambos sexos;asalariados sector privado;1983TII;6.176,6
ambos sexos;asalariados sector privado;1983TI;6.209,1
ambos sexos;asalariados sector privado;1982TIV;6.297,0
ambos sexos;asalariados sector privado;1982TIII;6.318,7
ambos sexos;asalariados sector privado;1982TII;6.365,4
ambos sexos;asalariados sector privado;1982TI;6.405,1
ambos sexos;asalariados sector privado;1981TIV;6.437,2
ambos sexos;asalariados sector privado;1981TIII;6.477,0
ambos sexos;asalariados sector privado;1981TII;6.510,4
ambos sexos;asalariados sector privado;1981TI;6.556,0
ambos sexos;asalariados sector privado;1980TIV;6.640,4
ambos sexos;asalariados sector privado;1980TIII;6.734,7
ambos sexos;asalariados sector privado;1980TII;6.777,3
ambos sexos;asalariados sector privado;1980TI;6.923,8
ambos sexos;asalariados sector privado;1979TIV;6.994,9
ambos sexos;asalariados sector privado;1979TIII;7.039,8
ambos sexos;asalariados sector privado;1979TII;7.104,8
ambos sexos;asalariados sector privado;1979TI;7.206,8
ambos sexos;asalariados sector privado;1978TIV;7.189,0
ambos sexos;asalariados sector privado;1978TIII;7.255,5
ambos sexos;asalariados sector privado;1978TII;7.277,9
ambos sexos;asalariados sector privado;1978TI;7.411,0
ambos sexos;asalariados sector privado;1977TIV;7.507,1
ambos sexos;asalariados sector privado;1977TIII;7.479,8
ambos sexos;asalariados sector privado;1977TII;7.492,2
ambos sexos;asalariados sector privado;1977TI;7.504,4
ambos sexos;asalariados sector privado;1976TIV;7.460,4
ambos sexos;asalariados sector privado;1976TIII;7.498,1
ambos sexos;otra situación;1995TIV;29,2
ambos sexos;otra situación;1995TIII;34,8
ambos sexos;otra situación;1995TII;31,4
ambos sexos;otra situación;1995TI;34,6
ambos sexos;otra situación;1994TIV;39,1
ambos sexos;otra situación;1994TIII;35,0
ambos sexos;otra situación;1994TII;31,0
ambos sexos;otra situación;1994TI;33,9
ambos sexos;otra situación;1993TIV;32,5
ambos sexos;otra situación;1993TIII;42,5
ambos sexos;otra situación;1993TII;64,0
ambos sexos;otra situación;1993TI;82,3
ambos sexos;otra situación;1992TIV;108,2
ambos sexos;otra situación;1992TIII;111,7
ambos sexos;otra situación;1992TII;116,4
ambos sexos;otra situación;1992TI;106,9
ambos sexos;otra situación;1991TIV;35,7
ambos sexos;otra situación;1991TIII;42,0
ambos sexos;otra situación;1991TII;39,5
ambos sexos;otra situación;1991TI;37,9
ambos sexos;otra situación;1990TIV;34,8
ambos sexos;otra situación;1990TIII;32,6
ambos sexos;otra situación;1990TII;31,4
ambos sexos;otra situación;1990TI;27,8
ambos sexos;otra situación;1989TIV;33,7
ambos sexos;otra situación;1989TIII;29,1
ambos sexos;otra situación;1989TII;23,5
ambos sexos;otra situación;1989TI;25,1
ambos sexos;otra situación;1988TIV;29,1
ambos sexos;otra situación;1988TIII;25,4
ambos sexos;otra situación;1988TII;27,0
ambos sexos;otra situación;1988TI;26,4
ambos sexos;otra situación;1987TIV;26,1
ambos sexos;otra situación;1987TIII;32,1
ambos sexos;otra situación;1987TII;42,7
ambos sexos;otra situación;1987TI;52,8
ambos sexos;otra situación;1986TIV;59,4
ambos sexos;otra situación;1986TIII;60,7
ambos sexos;otra situación;1986TII;53,3
ambos sexos;otra situación;1986TI;56,2
ambos sexos;otra situación;1985TIV;58,4
ambos sexos;otra situación;1985TIII;48,4
ambos sexos;otra situación;1985TII;55,3
ambos sexos;otra situación;1985TI;59,3
ambos sexos;otra situación;1984TIV;77,7
ambos sexos;otra situación;1984TIII;58,2
ambos sexos;otra situación;1984TII;54,9
ambos sexos;otra situación;1984TI;56,1
ambos sexos;otra situación;1983TIV;53,5
ambos sexos;otra situación;1983TIII;62,3
ambos sexos;otra situación;1983TII;41,0
ambos sexos;otra situación;1983TI;38,6
ambos sexos;otra situación;1982TIV;47,5
ambos sexos;otra situación;1982TIII;51,2
ambos sexos;otra situación;1982TII;42,3
ambos sexos;otra situación;1982TI;44,5
ambos sexos;otra situación;1981TIV;57,7
ambos sexos;otra situación;1981TIII;39,5
ambos sexos;otra situación;1981TII;36,0
ambos sexos;otra situación;1981TI;29,9
ambos sexos;otra situación;1980TIV;56,3
ambos sexos;otra situación;1980TIII;29,9
ambos sexos;otra situación;1980TII;31,1
ambos sexos;otra situación;1980TI;24,1
ambos sexos;otra situación;1979TIV;40,4
ambos sexos;otra situación;1979TIII;37,0
ambos sexos;otra situación;1979TII;22,7
ambos sexos;otra situación;1979TI;22,8
ambos sexos;otra situación;1978TIV;42,1
ambos sexos;otra situación;1978TIII;27,5
ambos sexos;otra situación;1978TII;24,9
ambos sexos;otra situación;1978TI;24,8
ambos sexos;otra situación;1977TIV;35,1
ambos sexos;otra situación;1977TIII;36,7
ambos sexos;otra situación;1977TII;28,4
ambos sexos;otra situación;1977TI;27,9
ambos sexos;otra situación;1976TIV;51,8
ambos sexos;otra situación;1976TIII;52,7
varones;total;1995TIV;8.254,8
varones;total;1995TIII;8.292,9
