Comunidades y Ciudades Autónomas;Proporción de parados;Periodo;Total
01 Andalucía;Todos los activos son parados (Porcentaje);2005T3;6,58
01 Andalucía;Todos los activos son parados (Porcentaje);2005T2;6,97
01 Andalucía;Todos los activos son parados (Porcentaje);2005T1;6,89
01 Andalucía;Todos los activos son parados (Porcentaje);2004T4;7,77
01 Andalucía;Todos los activos son parados (Porcentaje);2004T3;8,53
01 Andalucía;Todos los activos son parados (Porcentaje);2004T2;8,52
01 Andalucía;Todos los activos son parados (Porcentaje);2004T1;8,6
01 Andalucía;Todos los activos son parados (Porcentaje);2003T4;9,02
01 Andalucía;Todos los activos son parados (Porcentaje);2003T3;9,3
01 Andalucía;Todos los activos son parados (Porcentaje);2003T2;8,47
01 Andalucía;Todos los activos son parados (Porcentaje);2003T1;9,24
01 Andalucía;Todos los activos son parados (Porcentaje);2002T4;9,63
01 Andalucía;Todos los activos son parados (Porcentaje);2002T3;9,87
01 Andalucía;Todos los activos son parados (Porcentaje);2002T2;8,38
01 Andalucía;Todos los activos son parados (Porcentaje);2002T1;8,72
01 Andalucía;Al menos la mitad de los activos son parados (Porcentaje);2025T4;18,2
01 Andalucía;Al menos la mitad de los activos son parados (Porcentaje);2025T3;18,01
01 Andalucía;Al menos la mitad de los activos son parados (Porcentaje);2025T2;17,78
01 Andalucía;Al menos la mitad de los activos son parados (Porcentaje);2025T1;19,3
01 Andalucía;Al menos la mitad de los activos son parados (Porcentaje);2024T4;18,71
01 Andalucía;Al menos la mitad de los activos son parados (Porcentaje);2024T3;19,43
01 Andalucía;Al menos la mitad de los activos son parados (Porcentaje);2024T2;18,77
