Edad;Sexo;Unidad;Periodo;Total
De 60 a 64 años;Hombres;Porcentaje;2020T2;8,7
De 60 a 64 años;Hombres;Porcentaje;2020T1;9,0
De 60 a 64 años;Hombres;Porcentaje;2019T4;9,2
De 60 a 64 años;Hombres;Porcentaje;2019T3;9,6
De 60 a 64 años;Hombres;Porcentaje;2019T2;9,5
De 60 a 64 años;Hombres;Porcentaje;2019T1;9,5
De 60 a 64 años;Hombres;Porcentaje;2018T4;9,4
De 60 a 64 años;Hombres;Porcentaje;2018T3;9,7
De 60 a 64 años;Hombres;Porcentaje;2018T2;9,5
De 60 a 64 años;Hombres;Porcentaje;2018T1;9,6
De 60 a 64 años;Hombres;Porcentaje;2017T4;9,5
De 60 a 64 años;Hombres;Porcentaje;2017T3;9,5
De 60 a 64 años;Hombres;Porcentaje;2017T2;9,4
De 60 a 64 años;Hombres;Porcentaje;2017T1;9,7
De 60 a 64 años;Hombres;Porcentaje;2016T4;9,8
De 60 a 64 años;Hombres;Porcentaje;2016T3;9,7
De 60 a 64 años;Hombres;Porcentaje;2016T2;9,6
De 60 a 64 años;Hombres;Porcentaje;2016T1;9,5
De 60 a 64 años;Hombres;Porcentaje;2015T4;9,4
De 60 a 64 años;Hombres;Porcentaje;2015T3;9,6
De 60 a 64 años;Hombres;Porcentaje;2015T2;9,7
De 60 a 64 años;Hombres;Porcentaje;2015T1;9,8
De 60 a 64 años;Hombres;Porcentaje;2014T4;9,9
De 60 a 64 años;Hombres;Porcentaje;2014T3;9,9
De 60 a 64 años;Hombres;Porcentaje;2014T2;10,1
De 60 a 64 años;Hombres;Porcentaje;2014T1;10,3
De 60 a 64 años;Hombres;Porcentaje;2013T4;10,4
De 60 a 64 años;Hombres;Porcentaje;2013T3;10,4
De 60 a 64 años;Hombres;Porcentaje;2013T2;10,5
De 60 a 64 años;Hombres;Porcentaje;2013T1;10,7
De 60 a 64 años;Hombres;Porcentaje;2012T4;10,5
De 60 a 64 años;Hombres;Porcentaje;2012T3;10,5
De 60 a 64 años;Hombres;Porcentaje;2012T2;10,3
De 60 a 64 años;Hombres;Porcentaje;2012T1;10,3
De 60 a 64 años;Hombres;Porcentaje;2011T4;10,2
De 60 a 64 años;Hombres;Porcentaje;2011T3;10,4
De 60 a 64 años;Hombres;Porcentaje;2011T2;10,2
De 60 a 64 años;Hombres;Porcentaje;2011T1;10,0
De 60 a 64 años;Hombres;Porcentaje;2010T4;10,3
De 60 a 64 años;Hombres;Porcentaje;2010T3;10,4
De 60 a 64 años;Hombres;Porcentaje;2010T2;10,4
De 60 a 64 años;Hombres;Porcentaje;2010T1;10,3
De 60 a 64 años;Hombres;Porcentaje;2009T4;10,4
De 60 a 64 años;Hombres;Porcentaje;2009T3;10,3
De 60 a 64 años;Hombres;Porcentaje;2009T2;10,0
De 60 a 64 años;Hombres;Porcentaje;2009T1;10,0
De 60 a 64 años;Hombres;Porcentaje;2008T4;9,9
De 60 a 64 años;Hombres;Porcentaje;2008T3;9,9
De 60 a 64 años;Hombres;Porcentaje;2008T2;10,0
De 60 a 64 años;Hombres;Porcentaje;2008T1;10,0
De 60 a 64 años;Hombres;Porcentaje;2007T4;10,0
De 60 a 64 años;Hombres;Porcentaje;2007T3;10,3
De 60 a 64 años;Hombres;Porcentaje;2007T2;10,2
De 60 a 64 años;Hombres;Porcentaje;2007T1;10,1
De 60 a 64 años;Hombres;Porcentaje;2006T4;9,9
De 60 a 64 años;Hombres;Porcentaje;2006T3;9,9
De 60 a 64 años;Hombres;Porcentaje;2006T2;9,5
De 60 a 64 años;Hombres;Porcentaje;2006T1;9,3
De 60 a 64 años;Hombres;Porcentaje;2005T4;9,4
De 60 a 64 años;Hombres;Porcentaje;2005T3;9,6
De 60 a 64 años;Hombres;Porcentaje;2005T2;9,5
De 60 a 64 años;Hombres;Porcentaje;2005T1;9,5
De 60 a 64 años;Hombres;Porcentaje;2004T4;9,3
De 60 a 64 años;Hombres;Porcentaje;2004T3;9,3
De 60 a 64 años;Hombres;Porcentaje;2004T2;9,1
De 60 a 64 años;Hombres;Porcentaje;2004T1;9,0
De 60 a 64 años;Hombres;Porcentaje;2003T4;8,7
De 60 a 64 años;Hombres;Porcentaje;2003T3;8,7
De 60 a 64 años;Hombres;Porcentaje;2003T2;8,4
De 60 a 64 años;Hombres;Porcentaje;2003T1;8,2
De 60 a 64 años;Hombres;Porcentaje;2002T4;8,3
De 60 a 64 años;Hombres;Porcentaje;2002T3;8,5
De 60 a 64 años;Hombres;Porcentaje;2002T2;8,5
De 60 a 64 años;Hombres;Porcentaje;2002T1;8,5
De 60 a 64 años;Mujeres;Valor absoluto;2026T1;775,9
De 60 a 64 años;Mujeres;Valor absoluto;2025T4;770,0
De 60 a 64 años;Mujeres;Valor absoluto;2025T3;777,3
De 60 a 64 años;Mujeres;Valor absoluto;2025T2;784,4
De 60 a 64 años;Mujeres;Valor absoluto;2025T1;797,0
De 60 a 64 años;Mujeres;Valor absoluto;2024T4;821,5
De 60 a 64 años;Mujeres;Valor absoluto;2024T3;823,8
De 60 a 64 años;Mujeres;Valor absoluto;2024T2;795,0
De 60 a 64 años;Mujeres;Valor absoluto;2024T1;794,2
De 60 a 64 años;Mujeres;Valor absoluto;2023T4;782,9
De 60 a 64 años;Mujeres;Valor absoluto;2023T3;808,7
De 60 a 64 años;Mujeres;Valor absoluto;2023T2;806,1
De 60 a 64 años;Mujeres;Valor absoluto;2023T1;820,1
De 60 a 64 años;Mujeres;Valor absoluto;2022T4;835,1
De 60 a 64 años;Mujeres;Valor absoluto;2022T3;825,6
De 60 a 64 años;Mujeres;Valor absoluto;2022T2;819,8
De 60 a 64 años;Mujeres;Valor absoluto;2022T1;818,3
De 60 a 64 años;Mujeres;Valor absoluto;2021T4;826,7
De 60 a 64 años;Mujeres;Valor absoluto;2021T3;824,1
De 60 a 64 años;Mujeres;Valor absoluto;2021T2;834,4
De 60 a 64 años;Mujeres;Valor absoluto;2021T1;858,0
De 60 a 64 años;Mujeres;Valor absoluto;2020T4;858,0
De 60 a 64 años;Mujeres;Valor absoluto;2020T3;871,1
De 60 a 64 años;Mujeres;Valor absoluto;2020T2;881,8
De 60 a 64 años;Mujeres;Valor absoluto;2020T1;853,2
De 60 a 64 años;Mujeres;Valor absoluto;2019T4;854,0
De 60 a 64 años;Mujeres;Valor absoluto;2019T3;872,0
De 60 a 64 años;Mujeres;Valor absoluto;2019T2;857,7
De 60 a 64 años;Mujeres;Valor absoluto;2019T1;864,6
De 60 a 64 años;Mujeres;Valor absoluto;2018T4;861,7
De 60 a 64 años;Mujeres;Valor absoluto;2018T3;869,5
De 60 a 64 años;Mujeres;Valor absoluto;2018T2;856,5
De 60 a 64 años;Mujeres;Valor absoluto;2018T1;854,6
De 60 a 64 años;Mujeres;Valor absoluto;2017T4;850,1
De 60 a 64 años;Mujeres;Valor absoluto;2017T3;842,1
De 60 a 64 años;Mujeres;Valor absoluto;2017T2;836,6
De 60 a 64 años;Mujeres;Valor absoluto;2017T1;839,5
De 60 a 64 años;Mujeres;Valor absoluto;2016T4;829,0
De 60 a 64 años;Mujeres;Valor absoluto;2016T3;825,2
De 60 a 64 años;Mujeres;Valor absoluto;2016T2;817,8
De 60 a 64 años;Mujeres;Valor absoluto;2016T1;818,9
De 60 a 64 años;Mujeres;Valor absoluto;2015T4;818,6
De 60 a 64 años;Mujeres;Valor absoluto;2015T3;839,7
De 60 a 64 años;Mujeres;Valor absoluto;2015T2;834,0
De 60 a 64 años;Mujeres;Valor absoluto;2015T1;848,3
De 60 a 64 años;Mujeres;Valor absoluto;2014T4;846,2
De 60 a 64 años;Mujeres;Valor absoluto;2014T3;862,3
De 60 a 64 años;Mujeres;Valor absoluto;2014T2;849,3
De 60 a 64 años;Mujeres;Valor absoluto;2014T1;857,2
De 60 a 64 años;Mujeres;Valor absoluto;2013T4;871,1
De 60 a 64 años;Mujeres;Valor absoluto;2013T3;873,7
De 60 a 64 años;Mujeres;Valor absoluto;2013T2;893,6
De 60 a 64 años;Mujeres;Valor absoluto;2013T1;884,7
De 60 a 64 años;Mujeres;Valor absoluto;2012T4;889,9
De 60 a 64 años;Mujeres;Valor absoluto;2012T3;880,1
De 60 a 64 años;Mujeres;Valor absoluto;2012T2;873,6
De 60 a 64 años;Mujeres;Valor absoluto;2012T1;890,6
De 60 a 64 años;Mujeres;Valor absoluto;2011T4;883,5
De 60 a 64 años;Mujeres;Valor absoluto;2011T3;873,2
De 60 a 64 años;Mujeres;Valor absoluto;2011T2;887,1
De 60 a 64 años;Mujeres;Valor absoluto;2011T1;902,0
De 60 a 64 años;Mujeres;Valor absoluto;2010T4;896,0
De 60 a 64 años;Mujeres;Valor absoluto;2010T3;910,3
De 60 a 64 años;Mujeres;Valor absoluto;2010T2;914,6
De 60 a 64 años;Mujeres;Valor absoluto;2010T1;917,7
De 60 a 64 años;Mujeres;Valor absoluto;2009T4;925,4
De 60 a 64 años;Mujeres;Valor absoluto;2009T3;926,2
De 60 a 64 años;Mujeres;Valor absoluto;2009T2;916,4
De 60 a 64 años;Mujeres;Valor absoluto;2009T1;932,6
De 60 a 64 años;Mujeres;Valor absoluto;2008T4;932,3
De 60 a 64 años;Mujeres;Valor absoluto;2008T3;939,0
De 60 a 64 años;Mujeres;Valor absoluto;2008T2;932,2
De 60 a 64 años;Mujeres;Valor absoluto;2008T1;924,6
De 60 a 64 años;Mujeres;Valor absoluto;2007T4;925,9
De 60 a 64 años;Mujeres;Valor absoluto;2007T3;917,6
De 60 a 64 años;Mujeres;Valor absoluto;2007T2;898,0
De 60 a 64 años;Mujeres;Valor absoluto;2007T1;897,0
De 60 a 64 años;Mujeres;Valor absoluto;2006T4;897,9
De 60 a 64 años;Mujeres;Valor absoluto;2006T3;897,6
De 60 a 64 años;Mujeres;Valor absoluto;2006T2;882,1
De 60 a 64 años;Mujeres;Valor absoluto;2006T1;868,8
De 60 a 64 años;Mujeres;Valor absoluto;2005T4;872,6
De 60 a 64 años;Mujeres;Valor absoluto;2005T3;864,6
De 60 a 64 años;Mujeres;Valor absoluto;2005T2;870,8
De 60 a 64 años;Mujeres;Valor absoluto;2005T1;868,1
De 60 a 64 años;Mujeres;Valor absoluto;2004T4;866,0
De 60 a 64 años;Mujeres;Valor absoluto;2004T3;847,5
De 60 a 64 años;Mujeres;Valor absoluto;2004T2;830,7
De 60 a 64 años;Mujeres;Valor absoluto;2004T1;816,6
De 60 a 64 años;Mujeres;Valor absoluto;2003T4;810,2
De 60 a 64 años;Mujeres;Valor absoluto;2003T3;800,3
De 60 a 64 años;Mujeres;Valor absoluto;2003T2;792,4
De 60 a 64 años;Mujeres;Valor absoluto;2003T1;787,1
De 60 a 64 años;Mujeres;Valor absoluto;2002T4;788,6
De 60 a 64 años;Mujeres;Valor absoluto;2002T3;787,0
De 60 a 64 años;Mujeres;Valor absoluto;2002T2;783,2
De 60 a 64 años;Mujeres;Valor absoluto;2002T1;791,0
De 60 a 64 años;Mujeres;Porcentaje;2026T1;7,8
De 60 a 64 años;Mujeres;Porcentaje;2025T4;7,8
De 60 a 64 años;Mujeres;Porcentaje;2025T3;7,9
De 60 a 64 años;Mujeres;Porcentaje;2025T2;8,0
De 60 a 64 años;Mujeres;Porcentaje;2025T1;8,1
De 60 a 64 años;Mujeres;Porcentaje;2024T4;8,2
De 60 a 64 años;Mujeres;Porcentaje;2024T3;8,4
De 60 a 64 años;Mujeres;Porcentaje;2024T2;8,1
De 60 a 64 años;Mujeres;Porcentaje;2024T1;8,1
De 60 a 64 años;Mujeres;Porcentaje;2023T4;8,1
De 60 a 64 años;Mujeres;Porcentaje;2023T3;8,4
De 60 a 64 años;Mujeres;Porcentaje;2023T2;8,3
De 60 a 64 años;Mujeres;Porcentaje;2023T1;8,5
De 60 a 64 años;Mujeres;Porcentaje;2022T4;8,6
De 60 a 64 años;Mujeres;Porcentaje;2022T3;8,5
De 60 a 64 años;Mujeres;Porcentaje;2022T2;8,5
De 60 a 64 años;Mujeres;Porcentaje;2022T1;8,5
De 60 a 64 años;Mujeres;Porcentaje;2021T4;8,7
De 60 a 64 años;Mujeres;Porcentaje;2021T3;8,7
De 60 a 64 años;Mujeres;Porcentaje;2021T2;8,7
De 60 a 64 años;Mujeres;Porcentaje;2021T1;8,8
De 60 a 64 años;Mujeres;Porcentaje;2020T4;9,0
De 60 a 64 años;Mujeres;Porcentaje;2020T3;9,0
De 60 a 64 años;Mujeres;Porcentaje;2020T2;8,7
De 60 a 64 años;Mujeres;Porcentaje;2020T1;8,9
De 60 a 64 años;Mujeres;Porcentaje;2019T4;9,1
De 60 a 64 años;Mujeres;Porcentaje;2019T3;9,2
De 60 a 64 años;Mujeres;Porcentaje;2019T2;9,1
De 60 a 64 años;Mujeres;Porcentaje;2019T1;9,2
De 60 a 64 años;Mujeres;Porcentaje;2018T4;9,2
De 60 a 64 años;Mujeres;Porcentaje;2018T3;9,2
De 60 a 64 años;Mujeres;Porcentaje;2018T2;9,2
De 60 a 64 años;Mujeres;Porcentaje;2018T1;9,1
De 60 a 64 años;Mujeres;Porcentaje;2017T4;9,2
De 60 a 64 años;Mujeres;Porcentaje;2017T3;9,0
De 60 a 64 años;Mujeres;Porcentaje;2017T2;9,0
De 60 a 64 años;Mujeres;Porcentaje;2017T1;9,1
De 60 a 64 años;Mujeres;Porcentaje;2016T4;9,0
De 60 a 64 años;Mujeres;Porcentaje;2016T3;9,0
De 60 a 64 años;Mujeres;Porcentaje;2016T2;9,0
De 60 a 64 años;Mujeres;Porcentaje;2016T1;8,9
De 60 a 64 años;Mujeres;Porcentaje;2015T4;9,0
De 60 a 64 años;Mujeres;Porcentaje;2015T3;9,1
De 60 a 64 años;Mujeres;Porcentaje;2015T2;9,2
De 60 a 64 años;Mujeres;Porcentaje;2015T1;9,2
De 60 a 64 años;Mujeres;Porcentaje;2014T4;9,3
De 60 a 64 años;Mujeres;Porcentaje;2014T3;9,4
De 60 a 64 años;Mujeres;Porcentaje;2014T2;9,3
De 60 a 64 años;Mujeres;Porcentaje;2014T1;9,4
De 60 a 64 años;Mujeres;Porcentaje;2013T4;9,6
De 60 a 64 años;Mujeres;Porcentaje;2013T3;9,6
De 60 a 64 años;Mujeres;Porcentaje;2013T2;9,8
De 60 a 64 años;Mujeres;Porcentaje;2013T1;9,7
De 60 a 64 años;Mujeres;Porcentaje;2012T4;9,8
De 60 a 64 años;Mujeres;Porcentaje;2012T3;9,7
De 60 a 64 años;Mujeres;Porcentaje;2012T2;9,6
De 60 a 64 años;Mujeres;Porcentaje;2012T1;9,7
De 60 a 64 años;Mujeres;Porcentaje;2011T4;9,6
De 60 a 64 años;Mujeres;Porcentaje;2011T3;9,5
De 60 a 64 años;Mujeres;Porcentaje;2011T2;9,7
De 60 a 64 años;Mujeres;Porcentaje;2011T1;9,7
De 60 a 64 años;Mujeres;Porcentaje;2010T4;9,6
De 60 a 64 años;Mujeres;Porcentaje;2010T3;9,7
De 60 a 64 años;Mujeres;Porcentaje;2010T2;9,8
De 60 a 64 años;Mujeres;Porcentaje;2010T1;9,8
De 60 a 64 años;Mujeres;Porcentaje;2009T4;9,8
De 60 a 64 años;Mujeres;Porcentaje;2009T3;9,8
De 60 a 64 años;Mujeres;Porcentaje;2009T2;9,7
De 60 a 64 años;Mujeres;Porcentaje;2009T1;9,9
De 60 a 64 años;Mujeres;Porcentaje;2008T4;9,9
De 60 a 64 años;Mujeres;Porcentaje;2008T3;9,8
De 60 a 64 años;Mujeres;Porcentaje;2008T2;9,7
De 60 a 64 años;Mujeres;Porcentaje;2008T1;9,6
De 60 a 64 años;Mujeres;Porcentaje;2007T4;9,5
De 60 a 64 años;Mujeres;Porcentaje;2007T3;9,4
De 60 a 64 años;Mujeres;Porcentaje;2007T2;9,2
De 60 a 64 años;Mujeres;Porcentaje;2007T1;9,2
De 60 a 64 años;Mujeres;Porcentaje;2006T4;9,3
De 60 a 64 años;Mujeres;Porcentaje;2006T3;9,2
De 60 a 64 años;Mujeres;Porcentaje;2006T2;9,1
De 60 a 64 años;Mujeres;Porcentaje;2006T1;8,9
De 60 a 64 años;Mujeres;Porcentaje;2005T4;8,9
De 60 a 64 años;Mujeres;Porcentaje;2005T3;8,7
De 60 a 64 años;Mujeres;Porcentaje;2005T2;8,8
De 60 a 64 años;Mujeres;Porcentaje;2005T1;8,8
De 60 a 64 años;Mujeres;Porcentaje;2004T4;8,7
De 60 a 64 años;Mujeres;Porcentaje;2004T3;8,5
De 60 a 64 años;Mujeres;Porcentaje;2004T2;8,3
De 60 a 64 años;Mujeres;Porcentaje;2004T1;8,2
De 60 a 64 años;Mujeres;Porcentaje;2003T4;8,1
De 60 a 64 años;Mujeres;Porcentaje;2003T3;8,0
De 60 a 64 años;Mujeres;Porcentaje;2003T2;7,9
De 60 a 64 años;Mujeres;Porcentaje;2003T1;7,8
De 60 a 64 años;Mujeres;Porcentaje;2002T4;7,8
De 60 a 64 años;Mujeres;Porcentaje;2002T3;7,7
De 60 a 64 años;Mujeres;Porcentaje;2002T2;7,7
De 60 a 64 años;Mujeres;Porcentaje;2002T1;7,7
De 65 a 69 años;Ambos sexos;Valor absoluto;2026T1;2.594,3
De 65 a 69 años;Ambos sexos;Valor absoluto;2025T4;2.568,4
De 65 a 69 años;Ambos sexos;Valor absoluto;2025T3;2.582,8
De 65 a 69 años;Ambos sexos;Valor absoluto;2025T2;2.550,9
De 65 a 69 años;Ambos sexos;Valor absoluto;2025T1;2.484,8
De 65 a 69 años;Ambos sexos;Valor absoluto;2024T4;2.524,1
De 65 a 69 años;Ambos sexos;Valor absoluto;2024T3;2.474,4
De 65 a 69 años;Ambos sexos;Valor absoluto;2024T2;2.459,9
De 65 a 69 años;Ambos sexos;Valor absoluto;2024T1;2.454,0
De 65 a 69 años;Ambos sexos;Valor absoluto;2023T4;2.465,4
De 65 a 69 años;Ambos sexos;Valor absoluto;2023T3;2.461,1
De 65 a 69 años;Ambos sexos;Valor absoluto;2023T2;2.411,3
De 65 a 69 años;Ambos sexos;Valor absoluto;2023T1;2.428,6
De 65 a 69 años;Ambos sexos;Valor absoluto;2022T4;2.398,5
De 65 a 69 años;Ambos sexos;Valor absoluto;2022T3;2.389,9
De 65 a 69 años;Ambos sexos;Valor absoluto;2022T2;2.336,8
De 65 a 69 años;Ambos sexos;Valor absoluto;2022T1;2.342,4
De 65 a 69 años;Ambos sexos;Valor absoluto;2021T4;2.298,8
De 65 a 69 años;Ambos sexos;Valor absoluto;2021T3;2.322,0
De 65 a 69 años;Ambos sexos;Valor absoluto;2021T2;2.302,2
De 65 a 69 años;Ambos sexos;Valor absoluto;2021T1;2.322,1
De 65 a 69 años;Ambos sexos;Valor absoluto;2020T4;2.317,8
De 65 a 69 años;Ambos sexos;Valor absoluto;2020T3;2.321,8
De 65 a 69 años;Ambos sexos;Valor absoluto;2020T2;2.349,6
De 65 a 69 años;Ambos sexos;Valor absoluto;2020T1;2.300,4
De 65 a 69 años;Ambos sexos;Valor absoluto;2019T4;2.293,0
De 65 a 69 años;Ambos sexos;Valor absoluto;2019T3;2.270,3
De 65 a 69 años;Ambos sexos;Valor absoluto;2019T2;2.242,9
De 65 a 69 años;Ambos sexos;Valor absoluto;2019T1;2.246,7
De 65 a 69 años;Ambos sexos;Valor absoluto;2018T4;2.246,9
De 65 a 69 años;Ambos sexos;Valor absoluto;2018T3;2.217,0
De 65 a 69 años;Ambos sexos;Valor absoluto;2018T2;2.198,8
De 65 a 69 años;Ambos sexos;Valor absoluto;2018T1;2.229,5
De 65 a 69 años;Ambos sexos;Valor absoluto;2017T4;2.233,7
De 65 a 69 años;Ambos sexos;Valor absoluto;2017T3;2.251,2
De 65 a 69 años;Ambos sexos;Valor absoluto;2017T2;2.247,4
De 65 a 69 años;Ambos sexos;Valor absoluto;2017T1;2.252,9
De 65 a 69 años;Ambos sexos;Valor absoluto;2016T4;2.240,8
De 65 a 69 años;Ambos sexos;Valor absoluto;2016T3;2.222,8
De 65 a 69 años;Ambos sexos;Valor absoluto;2016T2;2.199,2
De 65 a 69 años;Ambos sexos;Valor absoluto;2016T1;2.205,3
De 65 a 69 años;Ambos sexos;Valor absoluto;2015T4;2.198,9
De 65 a 69 años;Ambos sexos;Valor absoluto;2015T3;2.219,8
De 65 a 69 años;Ambos sexos;Valor absoluto;2015T2;2.206,2
De 65 a 69 años;Ambos sexos;Valor absoluto;2015T1;2.247,3
De 65 a 69 años;Ambos sexos;Valor absoluto;2014T4;2.273,8
De 65 a 69 años;Ambos sexos;Valor absoluto;2014T3;2.249,1
De 65 a 69 años;Ambos sexos;Valor absoluto;2014T2;2.253,3
De 65 a 69 años;Ambos sexos;Valor absoluto;2014T1;2.217,4
De 65 a 69 años;Ambos sexos;Valor absoluto;2013T4;2.181,5
De 65 a 69 años;Ambos sexos;Valor absoluto;2013T3;2.161,7
De 65 a 69 años;Ambos sexos;Valor absoluto;2013T2;2.155,9
De 65 a 69 años;Ambos sexos;Valor absoluto;2013T1;2.128,3
De 65 a 69 años;Ambos sexos;Valor absoluto;2012T4;2.116,4
De 65 a 69 años;Ambos sexos;Valor absoluto;2012T3;2.085,2
De 65 a 69 años;Ambos sexos;Valor absoluto;2012T2;2.082,9
De 65 a 69 años;Ambos sexos;Valor absoluto;2012T1;2.069,0
De 65 a 69 años;Ambos sexos;Valor absoluto;2011T4;2.032,0
De 65 a 69 años;Ambos sexos;Valor absoluto;2011T3;2.046,5
De 65 a 69 años;Ambos sexos;Valor absoluto;2011T2;2.023,8
De 65 a 69 años;Ambos sexos;Valor absoluto;2011T1;2.021,7
De 65 a 69 años;Ambos sexos;Valor absoluto;2010T4;1.984,7
De 65 a 69 años;Ambos sexos;Valor absoluto;2010T3;1.974,2
De 65 a 69 años;Ambos sexos;Valor absoluto;2010T2;1.929,1
De 65 a 69 años;Ambos sexos;Valor absoluto;2010T1;1.938,8
De 65 a 69 años;Ambos sexos;Valor absoluto;2009T4;1.925,1
De 65 a 69 años;Ambos sexos;Valor absoluto;2009T3;1.911,2
De 65 a 69 años;Ambos sexos;Valor absoluto;2009T2;1.873,9
De 65 a 69 años;Ambos sexos;Valor absoluto;2009T1;1.824,2
De 65 a 69 años;Ambos sexos;Valor absoluto;2008T4;1.791,8
De 65 a 69 años;Ambos sexos;Valor absoluto;2008T3;1.769,0
De 65 a 69 años;Ambos sexos;Valor absoluto;2008T2;1.740,9
De 65 a 69 años;Ambos sexos;Valor absoluto;2008T1;1.695,9
De 65 a 69 años;Ambos sexos;Valor absoluto;2007T4;1.695,4
De 65 a 69 años;Ambos sexos;Valor absoluto;2007T3;1.689,1
De 65 a 69 años;Ambos sexos;Valor absoluto;2007T2;1.678,7
De 65 a 69 años;Ambos sexos;Valor absoluto;2007T1;1.704,7
De 65 a 69 años;Ambos sexos;Valor absoluto;2006T4;1.739,7
De 65 a 69 años;Ambos sexos;Valor absoluto;2006T3;1.765,4
De 65 a 69 años;Ambos sexos;Valor absoluto;2006T2;1.781,0
De 65 a 69 años;Ambos sexos;Valor absoluto;2006T1;1.816,3
De 65 a 69 años;Ambos sexos;Valor absoluto;2005T4;1.861,8
De 65 a 69 años;Ambos sexos;Valor absoluto;2005T3;1.848,5
De 65 a 69 años;Ambos sexos;Valor absoluto;2005T2;1.859,7
De 65 a 69 años;Ambos sexos;Valor absoluto;2005T1;1.788,1
De 65 a 69 años;Ambos sexos;Valor absoluto;2004T4;1.769,3
De 65 a 69 años;Ambos sexos;Valor absoluto;2004T3;1.803,5
De 65 a 69 años;Ambos sexos;Valor absoluto;2004T2;1.835,7
De 65 a 69 años;Ambos sexos;Valor absoluto;2004T1;1.883,6
De 65 a 69 años;Ambos sexos;Valor absoluto;2003T4;1.885,0
De 65 a 69 años;Ambos sexos;Valor absoluto;2003T3;1.886,2
De 65 a 69 años;Ambos sexos;Valor absoluto;2003T2;1.904,2
De 65 a 69 años;Ambos sexos;Valor absoluto;2003T1;1.933,2
De 65 a 69 años;Ambos sexos;Valor absoluto;2002T4;1.948,0
De 65 a 69 años;Ambos sexos;Valor absoluto;2002T3;1.941,4
De 65 a 69 años;Ambos sexos;Valor absoluto;2002T2;1.954,4
De 65 a 69 años;Ambos sexos;Valor absoluto;2002T1;1.991,2
De 65 a 69 años;Ambos sexos;Porcentaje;2026T1;14,8
De 65 a 69 años;Ambos sexos;Porcentaje;2025T4;14,8
De 65 a 69 años;Ambos sexos;Porcentaje;2025T3;15,1
De 65 a 69 años;Ambos sexos;Porcentaje;2025T2;14,8
De 65 a 69 años;Ambos sexos;Porcentaje;2025T1;14,3
De 65 a 69 años;Ambos sexos;Porcentaje;2024T4;14,5
De 65 a 69 años;Ambos sexos;Porcentaje;2024T3;14,5
De 65 a 69 años;Ambos sexos;Porcentaje;2024T2;14,4
De 65 a 69 años;Ambos sexos;Porcentaje;2024T1;14,4
De 65 a 69 años;Ambos sexos;Porcentaje;2023T4;14,5
De 65 a 69 años;Ambos sexos;Porcentaje;2023T3;14,7
De 65 a 69 años;Ambos sexos;Porcentaje;2023T2;14,3
De 65 a 69 años;Ambos sexos;Porcentaje;2023T1;14,3
De 65 a 69 años;Ambos sexos;Porcentaje;2022T4;14,2
De 65 a 69 años;Ambos sexos;Porcentaje;2022T3;14,3
De 65 a 69 años;Ambos sexos;Porcentaje;2022T2;14,0
De 65 a 69 años;Ambos sexos;Porcentaje;2022T1;14,0
De 65 a 69 años;Ambos sexos;Porcentaje;2021T4;13,9
De 65 a 69 años;Ambos sexos;Porcentaje;2021T3;14,2
De 65 a 69 años;Ambos sexos;Porcentaje;2021T2;13,9
De 65 a 69 años;Ambos sexos;Porcentaje;2021T1;13,7
De 65 a 69 años;Ambos sexos;Porcentaje;2020T4;14,0
De 65 a 69 años;Ambos sexos;Porcentaje;2020T3;13,9
De 65 a 69 años;Ambos sexos;Porcentaje;2020T2;13,4
De 65 a 69 años;Ambos sexos;Porcentaje;2020T1;13,9
De 65 a 69 años;Ambos sexos;Porcentaje;2019T4;14,1
De 65 a 69 años;Ambos sexos;Porcentaje;2019T3;14,0
De 65 a 69 años;Ambos sexos;Porcentaje;2019T2;13,9
De 65 a 69 años;Ambos sexos;Porcentaje;2019T1;13,8
De 65 a 69 años;Ambos sexos;Porcentaje;2018T4;13,9
De 65 a 69 años;Ambos sexos;Porcentaje;2018T3;13,8
De 65 a 69 años;Ambos sexos;Porcentaje;2018T2;13,7
De 65 a 69 años;Ambos sexos;Porcentaje;2018T1;13,8
De 65 a 69 años;Ambos sexos;Porcentaje;2017T4;14,0
De 65 a 69 años;Ambos sexos;Porcentaje;2017T3;14,2
De 65 a 69 años;Ambos sexos;Porcentaje;2017T2;14,1
De 65 a 69 años;Ambos sexos;Porcentaje;2017T1;14,2
De 65 a 69 años;Ambos sexos;Porcentaje;2016T4;14,1
De 65 a 69 años;Ambos sexos;Porcentaje;2016T3;14,2
De 65 a 69 años;Ambos sexos;Porcentaje;2016T2;14,1
De 65 a 69 años;Ambos sexos;Porcentaje;2016T1;14,1
De 65 a 69 años;Ambos sexos;Porcentaje;2015T4;14,1
De 65 a 69 años;Ambos sexos;Porcentaje;2015T3;14,2
De 65 a 69 años;Ambos sexos;Porcentaje;2015T2;14,3
De 65 a 69 años;Ambos sexos;Porcentaje;2015T1;14,4
De 65 a 69 años;Ambos sexos;Porcentaje;2014T4;14,7
De 65 a 69 años;Ambos sexos;Porcentaje;2014T3;14,4
De 65 a 69 años;Ambos sexos;Porcentaje;2014T2;14,5
De 65 a 69 años;Ambos sexos;Porcentaje;2014T1;14,2
De 65 a 69 años;Ambos sexos;Porcentaje;2013T4;14,1
De 65 a 69 años;Ambos sexos;Porcentaje;2013T3;14,0
De 65 a 69 años;Ambos sexos;Porcentaje;2013T2;13,9
