Edad;Sexo;Unidad;Periodo;Total
Total;Hombres;Porcentaje;2006T2;100,0
Total;Hombres;Porcentaje;2006T1;100,0
Total;Hombres;Porcentaje;2005T4;100,0
Total;Hombres;Porcentaje;2005T3;100,0
Total;Hombres;Porcentaje;2005T2;100,0
Total;Hombres;Porcentaje;2005T1;100,0
Total;Hombres;Porcentaje;2004T4;100,0
Total;Hombres;Porcentaje;2004T3;100,0
Total;Hombres;Porcentaje;2004T2;100,0
Total;Hombres;Porcentaje;2004T1;100,0
Total;Hombres;Porcentaje;2003T4;100,0
Total;Hombres;Porcentaje;2003T3;100,0
Total;Hombres;Porcentaje;2003T2;100,0
Total;Hombres;Porcentaje;2003T1;100,0
Total;Hombres;Porcentaje;2002T4;100,0
Total;Hombres;Porcentaje;2002T3;100,0
Total;Hombres;Porcentaje;2002T2;100,0
Total;Hombres;Porcentaje;2002T1;100,0
Total;Mujeres;Valor absoluto;2026T1;9.956,6
Total;Mujeres;Valor absoluto;2025T4;9.921,3
Total;Mujeres;Valor absoluto;2025T3;9.796,7
Total;Mujeres;Valor absoluto;2025T2;9.845,6
Total;Mujeres;Valor absoluto;2025T1;9.892,9
Total;Mujeres;Valor absoluto;2024T4;9.973,7
Total;Mujeres;Valor absoluto;2024T3;9.819,9
Total;Mujeres;Valor absoluto;2024T2;9.773,2
Total;Mujeres;Valor absoluto;2024T1;9.812,1
Total;Mujeres;Valor absoluto;2023T4;9.714,7
Total;Mujeres;Valor absoluto;2023T3;9.647,2
Total;Mujeres;Valor absoluto;2023T2;9.686,3
Total;Mujeres;Valor absoluto;2023T1;9.686,2
Total;Mujeres;Valor absoluto;2022T4;9.732,2
Total;Mujeres;Valor absoluto;2022T3;9.686,6
Total;Mujeres;Valor absoluto;2022T2;9.614,5
Total;Mujeres;Valor absoluto;2022T1;9.623,0
Total;Mujeres;Valor absoluto;2021T4;9.548,1
Total;Mujeres;Valor absoluto;2021T3;9.468,5
Total;Mujeres;Valor absoluto;2021T2;9.546,2
Total;Mujeres;Valor absoluto;2021T1;9.720,6
Total;Mujeres;Valor absoluto;2020T4;9.500,4
Total;Mujeres;Valor absoluto;2020T3;9.657,6
Total;Mujeres;Valor absoluto;2020T2;10.154,6
Total;Mujeres;Valor absoluto;2020T1;9.537,3
Total;Mujeres;Valor absoluto;2019T4;9.412,9
Total;Mujeres;Valor absoluto;2019T3;9.437,0
Total;Mujeres;Valor absoluto;2019T2;9.393,9
Total;Mujeres;Valor absoluto;2019T1;9.440,7
Total;Mujeres;Valor absoluto;2018T4;9.406,3
Total;Mujeres;Valor absoluto;2018T3;9.410,3
Total;Mujeres;Valor absoluto;2018T2;9.319,4
Total;Mujeres;Valor absoluto;2018T1;9.374,8
Total;Mujeres;Valor absoluto;2017T4;9.280,5
Total;Mujeres;Valor absoluto;2017T3;9.307,0
Total;Mujeres;Valor absoluto;2017T2;9.268,6
Total;Mujeres;Valor absoluto;2017T1;9.269,5
