Sexo;Sector económico;Periodo;Total
varones;total;1994TIII;8.130,5
varones;total;1994TII;8.072,9
varones;total;1994TI;8.013,7
varones;total;1993TIV;8.097,6
varones;total;1993TIII;8.194,5
varones;total;1993TII;8.214,4
varones;total;1993TI;8.247,7
varones;total;1992TIV;8.458,7
varones;total;1992TIII;8.650,5
varones;total;1992TII;8.681,9
varones;total;1992TI;8.706,8
varones;total;1991TIV;8.829,2
varones;total;1991TIII;8.922,4
varones;total;1991TII;8.905,3
varones;total;1991TI;8.890,8
varones;total;1990TIV;8.920,7
varones;total;1990TIII;8.953,7
varones;total;1990TII;8.858,6
varones;total;1990TI;8.838,9
varones;total;1989TIV;8.809,8
varones;total;1989TIII;8.855,2
varones;total;1989TII;8.688,5
varones;total;1989TI;8.613,9
varones;total;1988TIV;8.619,4
varones;total;1988TIII;8.551,6
varones;total;1988TII;8.423,9
varones;total;1988TI;8.345,7
varones;total;1987TIV;8.365,3
varones;total;1987TIII;8.307,3
varones;total;1987TII;8.214,0
varones;total;1987TI;8.053,1
varones;total;1986TIV;8.062,5
varones;total;1986TIII;8.015,9
varones;total;1986TII;7.931,4
varones;total;1986TI;7.851,5
varones;total;1985TIV;7.856,6
varones;total;1985TIII;7.871,9
varones;total;1985TII;7.789,4
varones;total;1985TI;7.796,9
varones;total;1984TIV;7.866,5
varones;total;1984TIII;7.956,6
varones;total;1984TII;7.926,3
varones;total;1984TI;7.924,8
varones;total;1983TIV;8.116,2
varones;total;1983TIII;8.197,4
varones;total;1983TII;8.163,8
varones;total;1983TI;8.141,9
varones;total;1982TIV;8.228,9
varones;total;1982TIII;8.257,6
varones;total;1982TII;8.277,2
varones;total;1982TI;8.275,7
varones;total;1981TIV;8.327,6
varones;total;1981TIII;8.377,2
varones;total;1981TII;8.349,2
varones;total;1981TI;8.395,3
varones;total;1980TIV;8.486,5
varones;total;1980TIII;8.565,9
varones;total;1980TII;8.537,9
varones;total;1980TI;8.604,6
varones;total;1979TIV;8.728,5
varones;total;1979TIII;8.791,6
varones;total;1979TII;8.766,8
varones;total;1979TI;8.803,3
varones;total;1978TIV;8.857,4
varones;total;1978TIII;8.936,1
varones;total;1978TII;8.912,0
varones;total;1978TI;8.946,0
varones;total;1977TIV;9.027,6
varones;total;1977TIII;9.066,3
varones;total;1977TII;9.061,0
varones;total;1977TI;9.040,0
varones;total;1976TIV;9.075,4
varones;total;1976TIII;9.149,1
varones;agricultura;1995TIV;786,8
varones;agricultura;1995TIII;786,6
varones;agricultura;1995TII;819,0
varones;agricultura;1995TI;834,5
varones;agricultura;1994TIV;820,4
varones;agricultura;1994TIII;817,3
varones;agricultura;1994TII;850,6
varones;agricultura;1994TI;884,3
varones;agricultura;1993TIV;868,0
varones;agricultura;1993TIII;855,7
varones;agricultura;1993TII;873,9
varones;agricultura;1993TI;889,1
varones;agricultura;1992TIV;890,0
varones;agricultura;1992TIII;890,7
varones;agricultura;1992TII;911,4
varones;agricultura;1992TI;944,1
varones;agricultura;1991TIV;940,7
varones;agricultura;1991TIII;964,4
varones;agricultura;1991TII;1.006,4
varones;agricultura;1991TI;1.031,7
varones;agricultura;1990TIV;1.035,8
varones;agricultura;1990TIII;1.062,2
varones;agricultura;1990TII;1.101,4
varones;agricultura;1990TI;1.139,7
varones;agricultura;1989TIV;1.128,3
varones;agricultura;1989TIII;1.193,5
varones;agricultura;1989TII;1.178,9
varones;agricultura;1989TI;1.192,8
varones;agricultura;1988TIV;1.240,5
varones;agricultura;1988TIII;1.244,7
varones;agricultura;1988TII;1.235,5
varones;agricultura;1988TI;1.285,5
varones;agricultura;1987TIV;1.284,6
varones;agricultura;1987TIII;1.267,0
varones;agricultura;1987TII;1.281,6
varones;agricultura;1987TI;1.304,3
varones;agricultura;1986TIV;1.303,1
varones;agricultura;1986TIII;1.299,4
varones;agricultura;1986TII;1.325,4
varones;agricultura;1986TI;1.369,2
varones;agricultura;1985TIV;1.400,3
varones;agricultura;1985TIII;1.420,4
varones;agricultura;1985TII;1.434,2
varones;agricultura;1985TI;1.498,3
varones;agricultura;1984TIV;1.461,8
varones;agricultura;1984TIII;1.450,0
varones;agricultura;1984TII;1.443,8
varones;agricultura;1984TI;1.468,2
varones;agricultura;1983TIV;1.490,2
varones;agricultura;1983TIII;1.512,4
varones;agricultura;1983TII;1.497,0
varones;agricultura;1983TI;1.551,4
varones;agricultura;1982TIV;1.531,1
varones;agricultura;1982TIII;1.514,2
varones;agricultura;1982TII;1.504,5
varones;agricultura;1982TI;1.529,2
varones;agricultura;1981TIV;1.514,4
varones;agricultura;1981TIII;1.523,6
varones;agricultura;1981TII;1.524,6
varones;agricultura;1981TI;1.574,5
varones;agricultura;1980TIV;1.593,9
varones;agricultura;1980TIII;1.609,1
varones;agricultura;1980TII;1.606,1
varones;agricultura;1980TI;1.651,6
varones;agricultura;1979TIV;1.677,9
varones;agricultura;1979TIII;1.693,0
varones;agricultura;1979TII;1.701,5
varones;agricultura;1979TI;1.754,8
varones;agricultura;1978TIV;1.755,5
varones;agricultura;1978TIII;1.801,6
