Sexo;Edad;Tipo de administración;Periodo;Total
Ambos sexos;Total;Comunidad Autónoma;2023T4;2.120
Ambos sexos;Total;Comunidad Autónoma;2023T3;2.063,5
Ambos sexos;Total;Comunidad Autónoma;2023T2;2.065,3
Ambos sexos;Total;Comunidad Autónoma;2023T1;2.070,9
Ambos sexos;Total;Comunidad Autónoma;2022T4;2.075,6
Ambos sexos;Total;Comunidad Autónoma;2022T3;2.051,4
Ambos sexos;Total;Comunidad Autónoma;2022T2;2.022,8
Ambos sexos;Total;Comunidad Autónoma;2022T1;2.062
Ambos sexos;Total;Comunidad Autónoma;2021T4;2.068,4
Ambos sexos;Total;Comunidad Autónoma;2021T3;2.047
Ambos sexos;Total;Comunidad Autónoma;2021T2;2.018,9
Ambos sexos;Total;Comunidad Autónoma;2021T1;1.972,8
Ambos sexos;Total;Comunidad Autónoma;2020T4;1.945,8
Ambos sexos;Total;Comunidad Autónoma;2020T3;1.890,7
Ambos sexos;Total;Comunidad Autónoma;2020T2;1.867,1
Ambos sexos;Total;Comunidad Autónoma;2020T1;1.843,4
Ambos sexos;Total;Comunidad Autónoma;2019T4;1.853,2
Ambos sexos;Total;Comunidad Autónoma;2019T3;1.840
Ambos sexos;Total;Comunidad Autónoma;2019T2;1.833,6
Ambos sexos;Total;Comunidad Autónoma;2019T1;1.826,2
Ambos sexos;Total;Comunidad Autónoma;2018T4;1.830
Ambos sexos;Total;Comunidad Autónoma;2018T3;1.790,5
Ambos sexos;Total;Comunidad Autónoma;2018T2;1.774,1
Ambos sexos;Total;Comunidad Autónoma;2018T1;1.762,4
Ambos sexos;Total;Comunidad Autónoma;2017T4;1.741,9
Ambos sexos;Total;Comunidad Autónoma;2017T3;1.734,4
Ambos sexos;Total;Comunidad Autónoma;2017T2;1.717,1
Ambos sexos;Total;Comunidad Autónoma;2017T1;1.692,9
Ambos sexos;Total;Comunidad Autónoma;2016T4;1.681,8
Ambos sexos;Total;Comunidad Autónoma;2016T3;1.698,8
Ambos sexos;Total;Comunidad Autónoma;2016T2;1.711,4
Ambos sexos;Total;Comunidad Autónoma;2016T1;1.723
Ambos sexos;Total;Comunidad Autónoma;2015T4;1.685,1
Ambos sexos;Total;Comunidad Autónoma;2015T3;1.662,5
Ambos sexos;Total;Comunidad Autónoma;2015T2;1.616,1
Ambos sexos;Total;Comunidad Autónoma;2015T1;1.605,8
Ambos sexos;Total;Comunidad Autónoma;2014T4;1.591,3
Ambos sexos;Total;Comunidad Autónoma;2014T3;1.589,2
Ambos sexos;Total;Comunidad Autónoma;2014T2;1.600
Ambos sexos;Total;Comunidad Autónoma;2014T1;1.596
Ambos sexos;Total;Comunidad Autónoma;2013T4;1.585,5
Ambos sexos;Total;Comunidad Autónoma;2013T3;1.609,4
Ambos sexos;Total;Comunidad Autónoma;2013T2;1.613,8
Ambos sexos;Total;Comunidad Autónoma;2013T1;1.634,2
Ambos sexos;Total;Comunidad Autónoma;2012T4;1.678,4
Ambos sexos;Total;Comunidad Autónoma;2012T3;1.729,8
Ambos sexos;Total;Comunidad Autónoma;2012T2;1.776,9
Ambos sexos;Total;Comunidad Autónoma;2012T1;1.800,1
Ambos sexos;Total;Comunidad Autónoma;2011T4;1.820,3
Ambos sexos;Total;Comunidad Autónoma;2011T3;1.851,9
Ambos sexos;Total;Comunidad Autónoma;2011T2;1.842,2
Ambos sexos;Total;Comunidad Autónoma;2011T1;1.810,4
Ambos sexos;Total;Comunidad Autónoma;2010T4;1.798,4
Ambos sexos;Total;Comunidad Autónoma;2010T3;1.817,3
